"record_id","species","order_raw","order_cn","province_cn","province_en_raw","year","iucn_raw","discover_cause_raw","discovery_method_raw","longitude","latitude","order","province","iucn","discover_reason","discovery_method"
78,"Anser caerulescens","ANSERIFORMES","雁形目","山东省","Shandong",2000,"LC","分布变化","观察",118.983333333333,37.7666666666667,"Anseriformes","Shandong","LC","Range shift or distribution change","Direct observation / photography"
225,"Arenaria interpres","CHARADRIIFORMES","鸻形目","新疆维吾尔自治区","Xinjiang",2000,"NT","分布变化","观察拍摄",83.82097,42.89432,"Charadriiformes","Xinjiang","NT","Range shift or distribution change","Direct observation / photography"
534,"Chloris chloris","PASSERIFORMES","雀形目","新疆维吾尔自治区","Xinjiang",2000,"LC","分布变化","观察拍摄，标本采集",82.27,43.33,"Passeriformes","Xinjiang","LC","Range shift or distribution change","Specimen or carcass collection"
745,"Napothera malacoptila","PASSERIFORMES","雀形目","云南省","Yunnan",2000,"LC","分布变化","网捕",98.34,27.88,"Passeriformes","Yunnan","LC","Range shift or distribution change","Capture or mist-netting"
977,"Oroanassa magnifica","PELECANIFORMES","鹈形目","广东省","Guangdong",2000,"EN","分布变化","当地鸟贩和村民捕获",114.15,24.9,"Pelecaniformes","Guangdong","EN","Range shift or distribution change","Capture or mist-netting"
1017,"Phoenicopterus roseus","PHOENICOPTERIFORMES","红鹳目","新疆维吾尔自治区","Xinjiang",2000,"LC","分布变化","观察拍摄，标本采集，救助",87.9333333333333,43.9833333333333,"Phoenicopteriformes","Xinjiang","LC","Range shift or distribution change","Specimen or carcass collection"
8,"Accipiter trivirgatus","ACCIPITRIFORMES","鹰形目","福建省","Fujian",2001,"LC","分布变化","观察，标本采集",119.33,25.6,"Accipitriformes","Fujian","LC","Range shift or distribution change","Specimen or carcass collection"
67,"Pernis ptilorhynchus","ACCIPITRIFORMES","鹰形目","天津市","Tianjin",2001,"LC","分布变化","标本采集",117.82,39.33,"Accipitriformes","Tianjin","LC","Range shift or distribution change","Specimen or carcass collection"
76,"Anser caerulescens","ANSERIFORMES","雁形目","吉林省","Jilin",2001,"LC","分布变化","观察",122.074222222222,44.9,"Anseriformes","Jilin","LC","Range shift or distribution change","Direct observation / photography"
145,"Charadrius asiaticus","CHARADRIIFORMES","鸻形目","湖北省","Hubei",2001,"LC","分布变化","网捕，枪击",94.332486,39.951323,"Charadriiformes","Hubei","LC","Range shift or distribution change","Capture or mist-netting"
306,"Ciconia boyciana","CICONIIFORMES","鹳形目","天津市","Tianjin",2001,"EN","分布变化","观察",117.483333333333,38.75,"Ciconiiformes","Tianjin","EN","Range shift or distribution change","Direct observation / photography"
419,"Rallina fasciata","GRUIFORMES","鹤形目","广东省","Guangdong",2001,"LC","分布变化","红外相机拍摄",114.669444444444,22.4025,"Gruiformes","Guangdong","LC","Range shift or distribution change","Camera trapping / imaging"
572,"Cutia nipalensis","PASSERIFORMES","雀形目","湖北省","Hubei",2001,"LC","分布变化","观察",110.27643,31.299174,"Passeriformes","Hubei","LC","Range shift or distribution change","Direct observation / photography"
568,"Lanius schach","PASSERIFORMES","雀形目","天津市","Tianjin",2001,"LC","分布变化","标本采集",117,39.14,"Passeriformes","Tianjin","LC","Range shift or distribution change","Specimen or carcass collection"
880,"Spodiopsar sericeus","PASSERIFORMES","雀形目","天津市","Tianjin",2001,"LC","分布变化","标本采集",117.31,39.08,"Passeriformes","Tianjin","LC","Range shift or distribution change","Specimen or carcass collection"
963,"Ardeola bacchus","PELECANIFORMES","鹈形目","新疆维吾尔自治区","Xinjiang",2001,"LC","分布变化","观察拍摄",83.6666666666667,39.1666666666667,"Pelecaniformes","Xinjiang","LC","Range shift or distribution change","Direct observation / photography"
1074,"Sula sula","SULIFORMES","鲣鸟目","福建省","Fujian",2001,"LC","分布变化","救助",116.09428,37.44656,"Suliformes","Fujian","LC","Range shift or distribution change","Rescue or citizen report"
407,"Amaurornis phoenicurus","GRUIFORMES","鹤形目","吉林省","Jilin",2002,"LC","分布变化","标本采集",123.418532374497,46.3862863090179,"Gruiformes","Jilin","LC","Range shift or distribution change","Specimen or carcass collection"
403,"Grus virgo","GRUIFORMES","鹤形目","天津市","Tianjin",2002,"LC","分布变化，调查不足","标本采集",117.41,39.3,"Gruiformes","Tianjin","LC","Mixed: range change + survey/technology","Specimen or carcass collection"
673,"Myophonus caeruleus","PASSERIFORMES","雀形目","广西壮族自治区","Guangxi",2002,"LC","分布变化","标本采集",108.26,22.08,"Passeriformes","Guangxi","LC","Range shift or distribution change","Specimen or carcass collection"
711,"Paradoxornis heudei","PASSERIFORMES","雀形目","天津市","Tianjin",2002,"NT","分布变化","标本采集",117.61,39.29,"Passeriformes","Tianjin","NT","Range shift or distribution change","Specimen or carcass collection"
754,"Phylloscopus burkii","PASSERIFORMES","雀形目","天津市","Tianjin",2002,"LC","分布变化","标本采集",117.21,38.96,"Passeriformes","Tianjin","LC","Range shift or distribution change","Specimen or carcass collection"
886,"Sturnus vulgaris","PASSERIFORMES","雀形目","天津市","Tianjin",2002,"LC","分布变化","标本采集",117.19937,39.085099,"Passeriformes","Tianjin","LC","Range shift or distribution change","Specimen or carcass collection"
969,"Bubulcus ibis","PELECANIFORMES","鹈形目","天津市","Tianjin",2002,"NR","分布变化","标本采集",117.4,39.24,"Pelecaniformes","Tianjin","NA","Range shift or distribution change","Specimen or carcass collection"
1046,"Athene noctua","STRIGIFORMES","鸮形目","云南省","Yunnan",2002,"LC","分布变化","观察拍摄",99.26,28.35,"Strigiformes","Yunnan","LC","Range shift or distribution change","Direct observation / photography"
46,"Gyps himalayensis","ACCIPITRIFORMES","鹰形目","辽宁省","Liaoning",2003,"NT","分布变化","救助",121.02,42.05,"Accipitriformes","Liaoning","NT","Range shift or distribution change","Rescue or citizen report"
353,"Clamator coromandus","CUCULIFORMES","鹃形目","北京市","Beijing",2003,"LC","分布变化，调查不足","录制鸣声",115.433333333333,39.9666666666667,"Cuculiformes","Beijing","LC","Mixed: range change + survey/technology","Acoustic detection"
349,"Centropus bengalensis","CUCULIFORMES","鹃形目","河北省","Hebei",2003,"LC","分布变化","观察拍摄",117.304166666667,38.3847222222222,"Cuculiformes","Hebei","LC","Range shift or distribution change","Direct observation / photography"
352,"Centropus bengalensis","CUCULIFORMES","鹃形目","浙江省","Zhejiang",2003,"LC","分布变化","标本采集",102.27,30.18,"Cuculiformes","Zhejiang","LC","Range shift or distribution change","Specimen or carcass collection"
828,"Pycnonotus sinensis","PASSERIFORMES","雀形目","北京市","Beijing",2003,"LC","分布变化","观察拍摄",116.62,40.36,"Passeriformes","Beijing","LC","Range shift or distribution change","Direct observation / photography"
675,"Niltava grandis","PASSERIFORMES","雀形目","广西壮族自治区","Guangxi",2003,"LC","分布变化","听到鸣声，标本采集",106.34503,24.516148,"Passeriformes","Guangxi","LC","Range shift or distribution change","Acoustic detection"
758,"Phylloscopus castaniceps","PASSERIFORMES","雀形目","黑龙江省","Heilongjiang",2003,"LC","分布变化","环志雾网捕捉",125.25,49.09,"Passeriformes","Heilongjiang","LC","Range shift or distribution change","Capture or mist-netting"
573,"Garrulax canorus","PASSERIFORMES","雀形目","辽宁省","Liaoning",2003,"LC","分布变化，调查不足","听到鸣声，网捕",121.633333333333,38.8666666666667,"Passeriformes","Liaoning","LC","Mixed: range change + survey/technology","Acoustic detection"
593,"Locustella davidi","PASSERIFORMES","雀形目","辽宁省","Liaoning",2003,"LC","分布变化","环志网捕",121.633333333333,38.8666666666667,"Passeriformes","Liaoning","LC","Range shift or distribution change","Capture or mist-netting"
970,"Egretta eulophotes","PELECANIFORMES","鹈形目","广西壮族自治区","Guangxi",2003,"VU","分布变化","观察",108.305833333333,21.6741666666667,"Pelecaniformes","Guangxi","VU","Range shift or distribution change","Direct observation / photography"
79,"Anser erythropus","ANSERIFORMES","雁形目","云南省","Yunnan",2004,"VU","分布变化","观察拍摄",100.083333333333,26.7333333333333,"Anseriformes","Yunnan","VU","Range shift or distribution change","Direct observation / photography"
411,"Coturnicops exquisitus","GRUIFORMES","鹤形目","云南省","Yunnan",2004,"LC","分布变化","环志捕获",100.353888888889,25.2958333333333,"Gruiformes","Yunnan","LC","Range shift or distribution change","Capture or mist-netting"
