n_species_total_order,lower_count,upper_count,lower_prop,upper_prop
1,-0,1,-0,1
2,-0,2,-0,1
3,-0,3,-0,1
4,-0,3,-0,0.75
5,-0,4,-0,0.8
6,0,5,0,0.8333333333333334
7,0,5,0,0.7142857142857143
8,1,6,0.125,0.75
9,1,6,0.1111111111111111,0.6666666666666666
10,1,7,0.1,0.7
11,1,8,0.09090909090909091,0.7272727272727273
12,2,8,0.16666666666666666,0.6666666666666666
13,2,9,0.15384615384615385,0.6923076923076923
14,2,9,0.14285714285714285,0.6428571428571429
15,2,10,0.13333333333333333,0.6666666666666666
16,3,10,0.1875,0.625
17,3,11,0.17647058823529413,0.6470588235294118
18,3,11,0.16666666666666666,0.6111111111111112
19,3,12,0.15789473684210525,0.631578947368421
20,4,12,0.2,0.6
21,4,13,0.19047619047619047,0.6190476190476191
22,4,13,0.18181818181818182,0.5909090909090909
23,5,14,0.21739130434782608,0.6086956521739131
24,5,14,0.20833333333333334,0.5833333333333334
25,5,15,0.2,0.6
26,5,15,0.19230769230769232,0.5769230769230769
27,6,16,0.2222222222222222,0.5925925925925926
28,6,16,0.21428571428571427,0.5714285714285714
29,6,17,0.20689655172413793,0.5862068965517241
30,7,17,0.23333333333333334,0.5666666666666667
31,7,17,0.22580645161290322,0.5483870967741935
32,7,18,0.21875,0.5625
33,8,18,0.24242424242424243,0.5454545454545454
34,8,19,0.23529411764705882,0.5588235294117647
35,8,19,0.22857142857142856,0.5428571428571428
36,8,20,0.2222222222222222,0.5555555555555556
37,9,20,0.24324324324324326,0.5405405405405406
38,9,21,0.23684210526315788,0.5526315789473685
39,9,21,0.23076923076923078,0.5384615384615384
40,10,22,0.25,0.55
41,10,22,0.24390243902439024,0.5365853658536586
42,10,23,0.23809523809523808,0.5476190476190477
43,11,23,0.2558139534883721,0.5348837209302325
44,11,24,0.25,0.5454545454545454
45,11,24,0.24444444444444444,0.5333333333333333
46,12,25,0.2608695652173913,0.5434782608695652
47,12,25,0.2553191489361702,0.5319148936170213
48,12,25,0.25,0.5208333333333334
49,13,26,0.2653061224489796,0.5306122448979592
50,13,26,0.26,0.52
51,13,27,0.2549019607843137,0.5294117647058824
52,14,27,0.2692307692307692,0.5192307692307693
53,14,28,0.2641509433962264,0.5283018867924528
54,14,28,0.25925925925925924,0.5185185185185185
55,15,29,0.2727272727272727,0.5272727272727272
56,15,29,0.26785714285714285,0.5178571428571429
57,15,30,0.2631578947368421,0.5263157894736842
58,15,30,0.25862068965517243,0.5172413793103449
59,16,30,0.2711864406779661,0.5084745762711864
60,16,31,0.26666666666666666,0.5166666666666667
61,16,31,0.26229508196721313,0.5081967213114754
62,17,32,0.27419354838709675,0.5161290322580645
63,17,32,0.2698412698412698,0.5079365079365079
64,17,33,0.265625,0.515625
65,18,33,0.27692307692307694,0.5076923076923077
66,18,34,0.2727272727272727,0.5151515151515151
67,18,34,0.26865671641791045,0.5074626865671642
68,19,35,0.27941176470588236,0.5147058823529411
69,19,35,0.2753623188405797,0.5072463768115942
70,19,35,0.2714285714285714,0.5
71,20,36,0.28169014084507044,0.5070422535211268
72,20,36,0.2777777777777778,0.5
73,20,37,0.273972602739726,0.5068493150684932
74,21,37,0.28378378378378377,0.5
75,21,38,0.28,0.5066666666666667
76,21,38,0.27631578947368424,0.5
77,22,39,0.2857142857142857,0.5064935064935064
78,22,39,0.28205128205128205,0.5
79,22,39,0.27848101265822783,0.4936708860759494
80,23,40,0.2875,0.5
81,23,40,0.2839506172839506,0.49382716049382713
82,23,41,0.2804878048780488,0.5
83,24,41,0.2891566265060241,0.4939759036144578
84,24,42,0.2857142857142857,0.5
85,24,42,0.2823529411764706,0.49411764705882355
86,25,43,0.29069767441860467,0.5
87,25,43,0.28735632183908044,0.4942528735632184
88,26,43,0.29545454545454547,0.48863636363636365
89,26,44,0.29213483146067415,0.4943820224719101
90,26,44,0.28888888888888886,0.4888888888888889
91,27,45,0.2967032967032967,0.4945054945054945
92,27,45,0.29347826086956524,0.4891304347826087
93,27,46,0.2903225806451613,0.4946236559139785
94,28,46,0.2978723404255319,0.48936170212765956
95,28,46,0.29473684210526313,0.4842105263157895
96,28,47,0.2916666666666667,0.4895833333333333
97,29,47,0.29896907216494845,0.4845360824742268
98,29,48,0.29591836734693877,0.4897959183673469
99,29,48,0.29292929292929293,0.48484848484848486
100,30,49,0.3,0.49
101,30,49,0.297029702970297,0.48514851485148514
102,30,50,0.29411764705882354,0.49019607843137253
103,31,50,0.30097087378640774,0.4854368932038835
104,31,50,0.2980769230769231,0.4807692307692308
105,31,51,0.29523809523809524,0.4857142857142857
106,32,51,0.3018867924528302,0.4811320754716981
107,32,52,0.29906542056074764,0.48598130841121495
108,32,52,0.2962962962962963,0.48148148148148145
109,33,53,0.30275229357798167,0.48623853211009177
110,33,53,0.3,0.4818181818181818
111,33,53,0.2972972972972973,0.4774774774774775
112,34,54,0.30357142857142855,0.48214285714285715
113,34,54,0.3008849557522124,0.4778761061946903
114,34,55,0.2982456140350877,0.4824561403508772
115,35,55,0.30434782608695654,0.4782608695652174
116,35,56,0.3017241379310345,0.4827586206896552
117,35,56,0.29914529914529914,0.47863247863247865
118,36,57,0.3050847457627119,0.4830508474576271
119,36,57,0.3025210084033613,0.4789915966386555
120,36,57,0.3,0.475
121,37,58,0.30578512396694213,0.4793388429752066
