species,order,direction
Anser caerulescens,Anseriformes,East
Arenaria interpres,Charadriiformes,East
Chloris chloris,Passeriformes,East
Phoenicopterus roseus,Phoenicopteriformes,Northeast
Accipiter trivirgatus,Accipitriformes,Northeast
Pernis ptilorhynchus,Accipitriformes,Northeast
Charadrius asiaticus,Charadriiformes,East
Ciconia boyciana,Ciconiiformes,Southwest
Rallina fasciata,Gruiformes,North
Cutia nipalensis,Passeriformes,Northeast
Lanius schach,Passeriformes,Northeast
Spodiopsar sericeus,Passeriformes,Northeast
Ardeola bacchus,Pelecaniformes,West
Sula sula,Suliformes,East
Amaurornis phoenicurus,Gruiformes,Northeast
Myophonus caeruleus,Passeriformes,Southeast
Paradoxornis heudei,Passeriformes,Southwest
Phylloscopus burkii,Passeriformes,East
Sturnus vulgaris,Passeriformes,East
Athene noctua,Strigiformes,East
Gyps himalayensis,Accipitriformes,East
Clamator coromandus,Cuculiformes,Northeast
Centropus bengalensis,Cuculiformes,Northeast
Centropus bengalensis,Cuculiformes,North
Pycnonotus sinensis,Passeriformes,North
Niltava grandis,Passeriformes,Northeast
Phylloscopus castaniceps,Passeriformes,Northeast
Garrulax canorus,Passeriformes,Northeast
Locustella davidi,Passeriformes,South
Egretta eulophotes,Pelecaniformes,Southwest
Anser erythropus,Anseriformes,South
Coturnicops exquisitus,Gruiformes,Southwest
Passer cinnamomeus,Passeriformes,Northeast
Aethopyga christinae,Passeriformes,North
Lanius tephronotus,Passeriformes,West
Pelecanus onocrotalus,Pelecaniformes,East
Hydroprogne caspia,Charadriiformes,Northeast
Mixornis gularis,Passeriformes,Northeast
Certhia tianquanensis,Passeriformes,Northeast
Phoebastria immutabilis,Procellariiformes,East
Asio flammeus,Strigiformes,East
Tyto longimembris,Strigiformes,North
Elanus caeruleus,Accipitriformes,Northeast
Aythya nyroca,Anseriformes,East
Aythya fuligula,Anseriformes,Southeast
Gygis alba,Charadriiformes,East
Larus cachinnans,Charadriiformes,East
Charadrius placidus,Charadriiformes,Southwest
Charadrius veredus,Charadriiformes,South
Larus crassirostris,Charadriiformes,Southwest
Synthliboramphus antiquus,Charadriiformes,East
Vanellus cinereus,Charadriiformes,Southwest
Vanellus vanellus,Charadriiformes,Southeast
Tringa guttifer,Charadriiformes,Southwest
Streptopelia decaocto,Columbiformes,East
Spilopelia chinensis,Columbiformes,North
Alcedo hercules,Coraciiformes,East
Todiramphus chloris,Coraciiformes,North
Gavia adamsii,Gaviiformes,Southeast
Gracupica nigricollis,Passeriformes,North
Chloris ambigua,Passeriformes,East
Copsychus saularis,Passeriformes,East
Parus monticolus,Passeriformes,Southeast
Chloris sinica,Passeriformes,Southwest
Dicrurus hottentottus,Passeriformes,East
Gracupica nigricollis,Passeriformes,East
Pycnonotus aurigaster,Passeriformes,East
Riparia riparia,Passeriformes,Southeast
Bucanetes mongolicus,Passeriformes,East
Sitta villosa,Passeriformes,Northeast
Cisticola juncidis,Passeriformes,Northeast
Pycnonotus sinensis,Passeriformes,Northeast
Pycnonotus sinensis,Passeriformes,Northwest
Acrocephalus concinens,Passeriformes,East
Lonchura striata,Passeriformes,Northwest
Emberiza sulphurata,Passeriformes,Southwest
Phylloscopus borealoides,Passeriformes,Southwest
Ardea intermedia,Pelecaniformes,Northeast
Egretta eulophotes,Pelecaniformes,West
Picumnus innominatus,Piciformes,East
Bulweria bulwerii,Procellariiformes,East
Syrrhaptes paradoxus,Pterocliformes,Southeast
Fregata andrewsi,Suliformes,North
Nisaetus nipalensis,Accipitriformes,North
Accipiter trivirgatus,Accipitriformes,North
Anser indicus,Anseriformes,Southeast
Mareca americana,Anseriformes,East
Stercorarius pomarinus,Charadriiformes,East
Numenius madagascariensis,Charadriiformes,Southwest
Calidris melanotos,Charadriiformes,East
Calidris minuta,Charadriiformes,Southeast
Calidris pugnax,Charadriiformes,Southeast
Chrysolophus pictus,Galliformes,Northeast
Cisticola exilis,Passeriformes,Northwest
Phylloscopus collybita,Passeriformes,East
Larvivora cyane,Passeriformes,South
Aegithalos bonvaloti,Passeriformes,Northeast
Anthus godlewskii,Passeriformes,South
Ficedula hyperythra,Passeriformes,North
Monticola rufiventris,Passeriformes,Northeast
Prunella immaculata,Passeriformes,East
Turdus boulboul,Passeriformes,Northeast
Yuhina nigrimenta,Passeriformes,Northeast
Zoothera mollissima,Passeriformes,East
Pitta sordida,Passeriformes,North
Zoothera monticola,Passeriformes,East
Podiceps nigricollis,Podicipediformes,East
Clangula hyemalis,Anseriformes,East
Branta ruficollis,Anseriformes,Southeast
Rissa tridactyla,Charadriiformes,East
Chlidonias leucopterus,Charadriiformes,Southeast
Halcyon coromanda,Coraciiformes,North
Garrulax maesi,Passeriformes,East
Phylloscopus intermedius,Passeriformes,Southeast
Stachyris nonggangensis,Passeriformes,Northeast
Ficedula parva,Passeriformes,East
Ficedula hypoleuca,Passeriformes,Southeast
Prunella montanella,Passeriformes,Southwest
Psilopogon faiostrictus,Piciformes,North
Podiceps grisegena,Podicipediformes,East
Glaucidium cuculoides,Strigiformes,Northeast
Anser anser,Anseriformes,Southeast
Onychoprion aleuticus,Charadriiformes,East
Phalaropus lobatus,Charadriiformes,East
Halcyon smyrnensis,Coraciiformes,East
Gavia adamsii,Gaviiformes,East
Rallina eurizonoides,Gruiformes,Northeast
Ficedula hyperythra,Passeriformes,Northeast
Geokichla citrina,Passeriformes,Northeast
Grandala coelicolor,Passeriformes,East
Pericrocotus solaris,Passeriformes,Northeast
Podoces biddulphi,Passeriformes,East
Ficedula tricolor,Passeriformes,Northeast
Garrulax monileger,Passeriformes,Northeast
Lanius schach,Passeriformes,East
Passer domesticus,Passeriformes,East
Mycerobas affinis,Passeriformes,East
Mycteria leucocephala,Pelecaniformes,East
Ictinaetus malaiensis,Accipitriformes,North
Gypaetus barbatus,Accipitriformes,East
Aviceda leuphotes,Accipitriformes,Northeast
Haliaeetus leucoryphus,Accipitriformes,East
Gracupica nigricollis,Anseriformes,Northeast
Cygnus olor,Anseriformes,East
