"order","n_new_species","n_records","n_species_pool","prop_new_species","size_class"
"Accipitriformes",29,67,55,0.527272727272727,"Species-rich order"
"Anseriformes",32,68,58,0.551724137931034,"Species-rich order"
"Caprimulgiformes",4,4,22,0.181818181818182,"Species-rich order"
"Charadriiformes",71,155,142,0.5,"Species-rich order"
"Ciconiiformes",5,11,7,0.714285714285714,"Species-poor order"
"Columbiformes",11,20,34,0.323529411764706,"Species-rich order"
"Coraciiformes",9,17,23,0.391304347826087,"Species-rich order"
"Cuculiformes",6,14,20,0.3,"Species-poor order"
"Falconiformes",2,2,12,0.166666666666667,"Species-poor order"
"Galliformes",11,13,64,0.171875,"Species-rich order"
"Gaviiformes",4,9,4,1,"Species-poor order"
"Gruiformes",17,35,29,0.586206896551724,"Species-rich order"
"Otidiformes",1,1,3,0.333333333333333,"Species-poor order"
"Passeriformes",317,524,859,0.369033760186263,"Species-rich order"
"Pelecaniformes",22,46,35,0.628571428571429,"Species-rich order"
"Phoenicopteriformes",1,13,1,1,"Species-poor order"
"Piciformes",8,11,43,0.186046511627907,"Species-rich order"
"Podicipediformes",3,5,5,0.6,"Species-poor order"
"Procellariiformes",6,9,19,0.31578947368421,"Species-poor order"
"Pterocliformes",1,1,3,0.333333333333333,"Species-poor order"
"Strigiformes",11,18,32,0.34375,"Species-rich order"
"Suliformes",7,15,13,0.538461538461538,"Species-poor order"
"Trogoniformes",1,1,3,0.333333333333333,"Species-poor order"
