"term","estimate","std.error","statistic","p.value","conf.low","conf.high","model","term_label"
"scale(log_mass)",0.00260710992375152,0.0625929502826539,0.0416518140138542,0.966776267442698,-0.120432883430937,0.1251028592518,"Binary occurrence model","Body mass (log10)"
"scale(range_size_provinces)",0.254795426040206,0.0629799493110436,4.04565943331948,5.21760408635573e-05,0.131536072758118,0.378561936763073,"Binary occurrence model","Range size (no. provinces)"
"migration_classPartial migrant",0.396292796715726,0.159478266900317,2.48493292796712,0.0129575845585774,0.0827314336902229,0.708337814137448,"Binary occurrence model","Migration: Partial migrant"
"migration_classFull migrant",0.52830909718113,0.14311408946203,3.69152400834229,0.000222914350243005,0.247834088627191,0.80913331926757,"Binary occurrence model","Migration: Full migrant"
"risk_groupNT",0.0581671236099655,0.257556340987869,0.225842327883922,0.821324054550255,-0.454956595136524,0.558310152886356,"Binary occurrence model","Risk group: NT"
"risk_groupThreatened/DD",-0.0765457631649315,0.22637222997689,-0.338141136714278,0.7352568317922,-0.526677977683801,0.362824432920903,"Binary occurrence model","Risk group: Threatened/DD"
"scale(log_mass)",0.0667057032709682,0.0492141822518068,1.35541626862081,0.175529626294934,-0.0305091011127547,0.162468380220904,"Quasi-Poisson count model","Body mass (log10)"
"scale(range_size_provinces)",0.15174880894213,0.0481713702206775,3.15018668239984,0.00167032683829329,0.0569664371317715,0.245887903991174,"Quasi-Poisson count model","Range size (no. provinces)"
"migration_classPartial migrant",0.506026131229664,0.128065131998586,3.95131854652874,8.20655895081642e-05,0.253368785748307,0.755973125890946,"Quasi-Poisson count model","Migration: Partial migrant"
"migration_classFull migrant",0.438343803684483,0.119367778692477,3.67221212027218,0.000250603716071184,0.204763866152856,0.673025904258804,"Quasi-Poisson count model","Migration: Full migrant"
"risk_groupNT",-0.0134830190978132,0.204981811568042,-0.0657766608396745,0.947566147545003,-0.438424307892906,0.368269698932185,"Quasi-Poisson count model","Risk group: NT"
"risk_groupThreatened/DD",-0.0320975751347922,0.178375121570897,-0.179944236909937,0.857225488306448,-0.396565692341833,0.304520319116563,"Quasi-Poisson count model","Risk group: Threatened/DD"
