"record_id","species","order_raw","order_cn","province_cn","province_en_raw","year","discover_cause_raw","discovery_method_raw","longitude","latitude","order","province","discover_reason"
78,"Anser caerulescens","ANSERIFORMES","雁形目","山东省","Shandong",2000,"分布变化","观察",118.983333333333,37.7666666666667,"Anseriformes","Shandong","Range shift or distribution change"
225,"Arenaria interpres","CHARADRIIFORMES","鸻形目","新疆维吾尔自治区","Xinjiang",2000,"分布变化","观察拍摄",83.82097,42.89432,"Charadriiformes","Xinjiang","Range shift or distribution change"
534,"Chloris chloris","PASSERIFORMES","雀形目","新疆维吾尔自治区","Xinjiang",2000,"分布变化","观察拍摄，标本采集",82.27,43.33,"Passeriformes","Xinjiang","Range shift or distribution change"
745,"Napothera malacoptila","PASSERIFORMES","雀形目","云南省","Yunnan",2000,"分布变化","网捕",98.34,27.88,"Passeriformes","Yunnan","Range shift or distribution change"
977,"Oroanassa magnifica","PELECANIFORMES","鹈形目","广东省","Guangdong",2000,"分布变化","当地鸟贩和村民捕获",114.15,24.9,"Pelecaniformes","Guangdong","Range shift or distribution change"
1017,"Phoenicopterus roseus","PHOENICOPTERIFORMES","红鹳目","新疆维吾尔自治区","Xinjiang",2000,"分布变化","观察拍摄，标本采集，救助",87.9333333333333,43.9833333333333,"Phoenicopteriformes","Xinjiang","Range shift or distribution change"
8,"Accipiter trivirgatus","ACCIPITRIFORMES","鹰形目","福建省","Fujian",2001,"分布变化","观察，标本采集",119.33,25.6,"Accipitriformes","Fujian","Range shift or distribution change"
67,"Pernis ptilorhynchus","ACCIPITRIFORMES","鹰形目","天津市","Tianjin",2001,"分布变化","标本采集",117.82,39.33,"Accipitriformes","Tianjin","Range shift or distribution change"
76,"Anser caerulescens","ANSERIFORMES","雁形目","吉林省","Jilin",2001,"分布变化","观察",122.074222222222,44.9,"Anseriformes","Jilin","Range shift or distribution change"
145,"Charadrius asiaticus","CHARADRIIFORMES","鸻形目","湖北省","Hubei",2001,"分布变化","网捕，枪击",94.332486,39.951323,"Charadriiformes","Hubei","Range shift or distribution change"
306,"Ciconia boyciana","CICONIIFORMES","鹳形目","天津市","Tianjin",2001,"分布变化","观察",117.483333333333,38.75,"Ciconiiformes","Tianjin","Range shift or distribution change"
419,"Rallina fasciata","GRUIFORMES","鹤形目","广东省","Guangdong",2001,"分布变化","红外相机拍摄",114.669444444444,22.4025,"Gruiformes","Guangdong","Range shift or distribution change"
572,"Cutia nipalensis","PASSERIFORMES","雀形目","湖北省","Hubei",2001,"分布变化","观察",110.27643,31.299174,"Passeriformes","Hubei","Range shift or distribution change"
568,"Lanius schach","PASSERIFORMES","雀形目","天津市","Tianjin",2001,"分布变化","标本采集",117,39.14,"Passeriformes","Tianjin","Range shift or distribution change"
880,"Spodiopsar sericeus","PASSERIFORMES","雀形目","天津市","Tianjin",2001,"分布变化","标本采集",117.31,39.08,"Passeriformes","Tianjin","Range shift or distribution change"
963,"Ardeola bacchus","PELECANIFORMES","鹈形目","新疆维吾尔自治区","Xinjiang",2001,"分布变化","观察拍摄",83.6666666666667,39.1666666666667,"Pelecaniformes","Xinjiang","Range shift or distribution change"
