"species","province","year","n_dups"
"Acanthis flammea","Qinghai",2015,2
"Anthreptes malacensis","Yunnan",2010,2
"Charadrius atrifrons","Guizhou",2024,2
"Ciconia nigra","Tibet",2021,2
"Clamator coromandus","Heilongjiang",2013,2
"Clamator jacobinus","Yunnan",2021,2
"Cyanoderma pyrrhops","Tibet",2010,2
"Elanus caeruleus","Inner Mongolia",2023,2
"Emberiza yessoensis","Anhui",2017,2
"Ficedula elisae","Jiangxi",2012,2
"Gavia stellata","Anhui",2021,2
"Grus virgo","Anhui",2021,2
"Haliastur indus","Hunan",2025,2
"Ianthocincla lunulata","Ningxia",2018,2
"Pardaliparus venustulus","Jilin",2012,2
"Phylloscopus ricketti","Anhui",2017,2
"Phylloscopus yunnanensis","Jiangxi",2012,2
"Zoothera mollissima","Hunan",2014,2
