"species","order","n_new_records","new_record","mass","migration_av","trophic_level_av","centroid_latitude","centroid_longitude","migration_cn","range_size_provinces","iucn_pool","log_mass","migration_class","iucn_group","risk_group"
"Accipiter badius","Accipitriformes",1,1,131.15,"3","Carnivore",8.23,44.98,"RP",11,"LC",2.11776829492637,"Full migrant","LC","LC/NE"
"Accipiter gentilis","Accipitriformes",0,0,866.04,"2","Carnivore",54.91,19.06,"SWP",34,"LC",2.9375379513454,"Partial migrant","LC","LC/NE"
"Accipiter gularis","Accipitriformes",1,1,120.66,"3","Carnivore",49.07,117.11,"SWPV",29,"LC",2.08156332098039,"Full migrant","LC","LC/NE"
"Accipiter nisus","Accipitriformes",0,0,220.79,"2","Carnivore",54.67,77.29,"RSWP",34,"LC",2.3439793994776,"Partial migrant","LC","LC/NE"
"Accipiter soloensis","Accipitriformes",3,1,164.77,"3","Carnivore",31.97,117.13,"RSWP",27,"LC",2.21687814170286,"Full migrant","LC","LC/NE"
"Accipiter trivirgatus","Accipitriformes",7,1,265.04,"1","Carnivore",13.91,101.71,"R",22,"LC",2.4233114228739,"Resident/low mobility","LC","LC/NE"
"Accipiter virgatus","Accipitriformes",1,1,116.99,"2","Carnivore",22.08,101.25,"R",25,"LC",2.06814874097329,"Partial migrant","LC","LC/NE"
"Aegypius monachus","Accipitriformes",0,0,9320.55,"1","Scavenger",41.63,87.87,"RW",34,"NT",3.969441540564,"Resident/low mobility","NT","NT"
"Aquila chrysaetos","Accipitriformes",0,0,4247.97,"2","Carnivore",50.67,38.05,"RSW",31,"LC",3.62818144101116,"Partial migrant","LC","LC/NE"
"Aquila fasciata","Accipitriformes",2,1,1936.49,"2","Carnivore",27.52,62.08,"RPV",16,"LC",3.28701525863889,"Partial migrant","LC","LC/NE"
"Aquila heliaca","Accipitriformes",2,1,3125.21,"3","Carnivore",49.87,70.89,"RWPV",26,"VU",3.49487920528872,"Full migrant","Threatened","Threatened/DD"
"Aquila nipalensis","Accipitriformes",0,0,2714.33,"3","Carnivore",43.73,85.14,"SWP",26,"EN",3.4336626467381,"Full migrant","Threatened","Threatened/DD"
"Aviceda jerdoni","Accipitriformes",2,1,363,"1","Carnivore",6.17,107.44,"R",6,"LC",2.55990662503611,"Resident/low mobility","LC","LC/NE"
"Aviceda leuphotes","Accipitriformes",4,1,193.98,"3","Carnivore",23.21,103.96,"RSP",21,"LC",2.2877569549952,"Full migrant","LC","LC/NE"
"Butastur indicus","Accipitriformes",2,1,414.6,"3","Carnivore",44.31,129.81,"SWP",28,"LC",2.61762929775784,"Full migrant","LC","LC/NE"
"Butastur liventer","Accipitriformes",0,0,337.99,"1","Carnivore",12.53,104.1,"S",1,"LC",2.52890385113841,"Resident/low mobility","LC","LC/NE"
"Butastur teesa","Accipitriformes",0,0,325,"1","Carnivore",23.18,78.91,"R",1,"LC",2.51188336097887,"Resident/low mobility","LC","LC/NE"
"Buteo buteo","Accipitriformes",0,0,759.1,"2","Carnivore",52.89,40.23,"WP",2,"LC",2.88029899142575,"Partial migrant","LC","LC/NE"
"Buteo hemilasius","Accipitriformes",0,0,1358.89,"1","Carnivore",42.4,100.83,"RSWP",26,"LC",3.13318430270269,"Resident/low mobility","LC","LC/NE"
"Buteo japonicus","Accipitriformes",0,0,759.1,"2","Carnivore",54.33,126.58,"SWP",34,"LC",2.88029899142575,"Partial migrant","LC","LC/NE"
"Buteo lagopus","Accipitriformes",0,0,949.76,"3","Carnivore",67.33,2.14,"WPV",22,"LC",2.9776138749269,"Full migrant","LC","LC/NE"
"Buteo refectus","Accipitriformes",0,0,759.1,"2","Carnivore",29.54,82.67,"R",1,"LC",2.88029899142575,"Partial migrant","LC","LC/NE"
"Buteo rufinus","Accipitriformes",0,0,1166.18,"3","Carnivore",40.86,49.85,"RWP",6,"LC",3.06676558899369,"Full migrant","LC","LC/NE"
"Circaetus gallicus","Accipitriformes",3,1,1699.12,"3","Carnivore",40.79,51.26,"RP",8,"LC",3.23022405191052,"Full migrant","LC","LC/NE"
"Circus aeruginosus","Accipitriformes",2,1,704.07,"2","Carnivore",50.03,51.14,"SWP",21,"LC",2.84761583968535,"Partial migrant","LC","LC/NE"
"Circus cyaneus","Accipitriformes",0,0,392.98,"3","Carnivore",58.07,84.36,"SWP",34,"LC",2.59437044831268,"Full migrant","LC","LC/NE"
"Circus macrourus","Accipitriformes",1,1,384.36,"3","Carnivore",51.02,62.85,"SWP",13,"NT",2.58473818471145,"Full migrant","NT","NT"
"Circus melanoleucos","Accipitriformes",0,0,336.3,"3","Carnivore",49.1,122.04,"SWP",29,"LC",2.52672686731464,"Full migrant","LC","LC/NE"
"Circus pygargus","Accipitriformes",0,0,310.75,"3","Carnivore",49.91,45.8,"SW",5,"LC",2.49241113731368,"Full migrant","LC","LC/NE"
"Circus spilonotus","Accipitriformes",1,1,558.78,"3","Carnivore",52.88,121.45,"SWP",34,"LC",2.74724085333857,"Full migrant","LC","LC/NE"
"Clanga clanga","Accipitriformes",1,1,2154.29,"3","Carnivore",55.15,73.97,"RWP",27,"VU",3.3333041654997,"Full migrant","Threatened","Threatened/DD"
"Elanus caeruleus","Accipitriformes",8,1,259.76,"2","Carnivore",3.69,41.21,"RSP",20,"LC",2.41457227561795,"Partial migrant","LC","LC/NE"
"Gypaetus barbatus","Accipitriformes",2,1,5694.98,"2","Scavenger",34.75,76.41,"RP",14,"NT",3.75549220323428,"Partial migrant","NT","NT"
"Gyps bengalensis","Accipitriformes",0,0,4385,"1","Scavenger",23.99,83.33,"R",1,"CR",3.64196959770206,"Resident/low mobility","Threatened","Threatened/DD"
"Gyps fulvus","Accipitriformes",0,0,7435.99,"1","Scavenger",36.3,52.81,"R",2,"LC",3.87133879705632,"Resident/low mobility","LC","LC/NE"
"Gyps himalayensis","Accipitriformes",2,1,9797.95,"1","Scavenger",34.8,88.99,"RW",10,"NT",3.99113521887419,"Resident/low mobility","NT","NT"
"Gyps tenuirostris","Accipitriformes",1,1,5515,"1","Scavenger",24.18,93.19,NA,NA,"CR",3.74154551677621,"Resident/low mobility","Threatened","Threatened/DD"
"Haliaeetus albicilla","Accipitriformes",0,0,4729.27,"2","Carnivore",59.89,91.01,"SWP",33,"LC",3.67479410914395,"Partial migrant","LC","LC/NE"
"Haliaeetus humilis","Accipitriformes",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","Unknown"
"Haliaeetus leucogaster","Accipitriformes",0,0,2827.01,"1","Carnivore",-9.12,123.68,"RV",8,"LC",3.4513273447248,"Resident/low mobility","LC","LC/NE"
"Haliaeetus leucoryphus","Accipitriformes",1,1,2885.92,"3","Carnivore",27.12,85.7,"SWP",22,"EN",3.46028428793554,"Full migrant","Threatened","Threatened/DD"
"Haliaeetus pelagicus","Accipitriformes",1,1,7756.99,"3","Carnivore",58.65,151.19,"WPV",9,"VU",3.88969323156954,"Full migrant","Threatened","Threatened/DD"
"Haliastur indus","Accipitriformes",1,1,529,"1","Carnivore",9.01,106.46,"RSWPV",12,"LC",2.72345567203519,"Resident/low mobility","LC","LC/NE"
"Hieraaetus pennatus","Accipitriformes",7,1,823.75,"3","Carnivore",42.1,55.17,"RP",11,"LC",2.91579542760207,"Full migrant","LC","LC/NE"
"Ictinaetus malaiensis","Accipitriformes",2,1,1028,"1","Carnivore",9.61,101.89,NA,NA,"LC",3.01199311465926,"Resident/low mobility","LC","LC/NE"
"Lophotriorchis kienerii","Accipitriformes",1,1,799,"1","Carnivore",9.42,104.2,"R",1,"NT",2.90254677931399,"Resident/low mobility","NT","NT"
"Milvus migrans","Accipitriformes",0,0,734.1,"3","Omnivore",26.77,69.99,"RSWP",34,"LC",2.86575522407145,"Full migrant","LC","LC/NE"
"Neophron percnopterus","Accipitriformes",1,1,2082,"3","Omnivore",27.02,47.48,"P",1,"EN",3.31848072517452,"Full migrant","Threatened","Threatened/DD"
"Nisaetus cirrhatus","Accipitriformes",0,0,1475.12,"1","Carnivore",13.11,94.36,"R",2,"LC",3.16882735130943,"Resident/low mobility","LC","LC/NE"
"Nisaetus nipalensis","Accipitriformes",3,1,3004.99,"1","Carnivore",26.77,106.31,"R",17,"NT",3.47784303109681,"Resident/low mobility","NT","NT"
"Pernis apivorus","Accipitriformes",0,0,754.37,"3","Carnivore",54.03,38.95,"P",1,"LC",2.87758440892662,"Full migrant","LC","LC/NE"
"Pernis ptilorhynchus","Accipitriformes",2,1,1141.13,"1","Carnivore",32.05,103.73,"RSWP",34,"LC",3.05733512300419,"Resident/low mobility","LC","LC/NE"
"Sarcogyps calvus","Accipitriformes",0,0,4469.89,"1","Scavenger",24.15,83.35,"R",1,"CR",3.65029683566419,"Resident/low mobility","Threatened","Threatened/DD"
"Spilornis cheela","Accipitriformes",2,1,597.74,"1","Carnivore",16.74,98.68,"R",20,"LC",2.7765123192401,"Resident/low mobility","LC","LC/NE"
"Pandion haliaetus","Accipitriformes",0,0,1483.2,"3","Carnivore",49.18,25.45,"RSW",34,"LC",3.17119971680042,"Full migrant","LC","LC/NE"
"Aix galericulata","Anseriformes",2,1,567.04,"3","Herbivore",45.58,131.94,"SWPV",32,"LC",2.75361369587094,"Full migrant","LC","LC/NE"
"Anas acuta","Anseriformes",0,0,944.62,"3","Herbivore",59.6,26.95,"SWP",34,"LC",2.97525713645314,"Full migrant","LC","LC/NE"
"Anas crecca","Anseriformes",0,0,341.89,"2","Herbivore",58.18,22.29,"SWP",34,"LC",2.53388639822762,"Partial migrant","LC","LC/NE"
"Anas luzonica","Anseriformes",0,0,832.04,"1","Omnivore",11.81,122.91,"V",2,"VU",2.92014420533123,"Resident/low mobility","Threatened","Threatened/DD"
"Anas platyrhynchos","Anseriformes",0,0,843.42,"2","Herbivore",51.63,11.04,"RSWP",34,"LC",2.92604389521649,"Partial migrant","LC","LC/NE"
"Anas poecilorhyncha","Anseriformes",0,0,999.96,"2","Herbivore",21.93,88.08,"VR",5,"LC",2.99998262787328,"Partial migrant","LC","LC/NE"
"Anas zonorhyncha","Anseriformes",0,0,1156,"2","Herbivore",41.57,115.32,"RSWPV",34,"LC",3.06295783408451,"Partial migrant","LC","LC/NE"
"Anser albifrons","Anseriformes",1,1,2506.39,"3","Herbivore",68.29,12.71,"WP",21,"LC",3.39904864912808,"Full migrant","LC","LC/NE"
"Anser anser","Anseriformes",1,1,3302.41,"3","Herbivore",51.74,74.51,"SWP",34,"LC",3.51883099069656,"Full migrant","LC","LC/NE"
"Anser caerulescens","Anseriformes",4,1,2636.15,"3","Herbivore",72.41,-90.29,"W",9,"LC",3.42097011848603,"Full migrant","LC","LC/NE"
"Anser cygnoides","Anseriformes",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","Unknown"
"Anser erythropus","Anseriformes",1,1,1755.5,"3","Herbivore",68.29,95.41,"WPV",23,"VU",3.24440083380137,"Full migrant","Threatened","Threatened/DD"
"Anser fabalis","Anseriformes",1,1,2754.73,"3","Herbivore",62.77,105.89,"WP",23,"LC",3.44007903866642,"Full migrant","LC","LC/NE"
