"province_cn","year","report_count","user_count","province"
"上海市",2002,13,5,"Shanghai"
"上海市",2003,124,14,"Shanghai"
"上海市",2004,119,13,"Shanghai"
"上海市",2005,191,25,"Shanghai"
"上海市",2006,222,35,"Shanghai"
"上海市",2007,385,37,"Shanghai"
"上海市",2008,304,32,"Shanghai"
"上海市",2009,280,40,"Shanghai"
"上海市",2010,183,34,"Shanghai"
"上海市",2011,136,33,"Shanghai"
"上海市",2012,129,36,"Shanghai"
"上海市",2013,138,31,"Shanghai"
"上海市",2014,56,12,"Shanghai"
"上海市",2015,105,32,"Shanghai"
"上海市",2016,400,47,"Shanghai"
"上海市",2017,380,46,"Shanghai"
"上海市",2018,824,79,"Shanghai"
"上海市",2019,659,66,"Shanghai"
"上海市",2020,2018,176,"Shanghai"
"上海市",2021,6033,432,"Shanghai"
"上海市",2022,9405,580,"Shanghai"
"上海市",2023,18693,1185,"Shanghai"
"上海市",2024,22830,1742,"Shanghai"
"云南省",2000,2,1,"Yunnan"
"云南省",2002,2,2,"Yunnan"
"云南省",2003,41,10,"Yunnan"
"云南省",2004,51,9,"Yunnan"
"云南省",2005,112,17,"Yunnan"
"云南省",2006,169,26,"Yunnan"
"云南省",2007,159,28,"Yunnan"
"云南省",2008,355,50,"Yunnan"
"云南省",2009,250,48,"Yunnan"
"云南省",2010,228,50,"Yunnan"
"云南省",2011,149,43,"Yunnan"
"云南省",2012,167,36,"Yunnan"
"云南省",2013,145,46,"Yunnan"
"云南省",2014,104,24,"Yunnan"
"云南省",2015,536,88,"Yunnan"
"云南省",2016,515,87,"Yunnan"
"云南省",2017,497,93,"Yunnan"
"云南省",2018,1268,120,"Yunnan"
"云南省",2019,984,128,"Yunnan"
"云南省",2020,2119,215,"Yunnan"
"云南省",2021,3871,365,"Yunnan"
"云南省",2022,6804,475,"Yunnan"
"云南省",2023,16429,1199,"Yunnan"
"云南省",2024,16889,1518,"Yunnan"
"内蒙古自治区",2002,4,1,"Inner Mongolia"
"内蒙古自治区",2004,2,2,"Inner Mongolia"
"内蒙古自治区",2005,2,2,"Inner Mongolia"
