"term","estimate","std.error","statistic","p.value","conf.low","conf.high","predictor","significant","model"
"z_hist_report_density",0.0629865524291349,0.138405854700881,0.455085896223534,0.652975010974512,-0.208288922784593,0.334262027642863,"Historical survey effort",FALSE,"Primary report-effort"
"z_curr_report_density",0.449144032194964,0.195748871142197,2.29449104648319,0.0304343872546833,0.0654762447562576,0.832811819633671,"Current survey effort",TRUE,"Primary report-effort"
"z_gdp_per_capita",0.135965165316477,0.204091644078496,0.666196629119141,0.51138672117832,-0.264054457077374,0.535984787710328,"Per capita GDP",FALSE,"Primary report-effort"
"z_area_km2",-0.589067799160688,0.12406014459265,-4.74824369337053,7.15489932187031e-05,-0.832225682562282,-0.345909915759093,"Area",TRUE,"Primary report-effort"
"z_habitat_heterogeneity",-0.0473539579366085,0.125023568390928,-0.378760249335874,0.708063565682371,-0.292400151982827,0.19769223610961,"Habitat heterogeneity",FALSE,"Primary report-effort"
"z_hist_report_density",0.0735151888454888,0.135937723484091,0.54080050012087,0.593431430140716,-0.192922749183329,0.339953126874307,"Historical survey effort",NA,"Alternative user-effort"
"z_curr_user_density",0.492390070328794,0.195199497878866,2.52249660311295,0.0183886940119388,0.109799054486216,0.874981086171372,"Current user effort",NA,"Alternative user-effort"
"z_gdp_per_capita",0.102083553792896,0.202038778700804,0.505267129653709,0.617796853790731,-0.293912452460679,0.498079560046471,"Per capita GDP",NA,"Alternative user-effort"
"z_area_km2",-0.578444744002117,0.122003087355729,-4.74123037817497,7.28619237078993e-05,-0.817570795219347,-0.339318692784888,"Area",NA,"Alternative user-effort"
"z_habitat_heterogeneity",-0.036646743053247,0.123320476562611,-0.297166732360469,0.768794412703406,-0.278354877115964,0.205061391009471,"Habitat heterogeneity",NA,"Alternative user-effort"
"z_hist_report_density",3.04144132724123,3.14556203765098,0.966899171224899,0.343652311084805,-3.12386026655468,9.20674292103715,"Historical survey effort",NA,"Influence-filtered"
"z_curr_report_density",0.606926627535379,0.168761009048546,3.59636761451686,0.0015235442535604,0.276155049800228,0.937698205270529,"Current survey effort",NA,"Influence-filtered"
"z_gdp_per_capita",-0.0438213989400967,0.177270885365149,-0.247200203518089,0.806946563583215,-0.391272334255789,0.303629536375596,"Per capita GDP",NA,"Influence-filtered"
"z_area_km2",-0.591109178050605,0.113836150820072,-5.19263146014927,2.89641476992746e-05,-0.814228033657947,-0.367990322443263,"Area",NA,"Influence-filtered"
"z_habitat_heterogeneity",0.0635451639294058,0.107600857590568,0.59056373111078,0.56057150794275,-0.147352516948108,0.27444284480692,"Habitat heterogeneity",NA,"Influence-filtered"
