"term","estimate","std.error","statistic","p.value","conf.low","conf.high","model","term_label","significant"
"z_log_mass",0.00260710992375152,0.0625929502826539,0.0416518140138542,0.966776267442698,-0.12007507263025,0.125289292477753,"Occurrence (binomial)","Body mass (log10)",FALSE
"z_range_size",0.254795426040206,0.0629799493110436,4.04565943331948,5.21760408635573e-05,0.131354725390561,0.378236126689852,"Occurrence (binomial)","Range size (no. provinces)",TRUE
"migration_classPartial migrant",0.396292796715726,0.159478266900317,2.48493292796712,0.0129575845585774,0.0837153935911047,0.708870199840346,"Occurrence (binomial)","Migration: partial migrant",TRUE
"migration_classFull migrant",0.52830909718113,0.14311408946203,3.69152400834229,0.000222914350243005,0.247805481835551,0.808812712526709,"Occurrence (binomial)","Migration: full migrant",TRUE
"risk_groupNT",0.0581671236099655,0.257556340987869,0.225842327883922,0.821324054550255,-0.446643304726258,0.562977551946188,"Occurrence (binomial)","Risk group: NT",FALSE
"risk_groupThreatened/DD",-0.0765457631649315,0.22637222997689,-0.338141136714278,0.7352568317922,-0.520235333919636,0.367143807589773,"Occurrence (binomial)","Risk group: Threatened or DD",FALSE
"z_log_mass",0.0524868471191158,0.0501422390430006,1.04675914201008,0.295210678973158,-0.0457919414051654,0.150765635643397,"Frequency (negative binomial)","Body mass (log10)",FALSE
"z_range_size",0.229396018348627,0.0495144999705771,4.63290588585042,3.60568481525229e-06,0.132347598406296,0.326444438290959,"Frequency (negative binomial)","Range size (no. provinces)",TRUE
"migration_classPartial migrant",0.498330830018004,0.128040993226425,3.8919631710195,9.94363418898424e-05,0.247370483294211,0.749291176741797,"Frequency (negative binomial)","Migration: partial migrant",TRUE
"migration_classFull migrant",0.428356288726489,0.117178901509009,3.65557522054051,0.000256605951324608,0.198685641768832,0.658026935684146,"Frequency (negative binomial)","Migration: full migrant",TRUE
"risk_groupNT",-0.0593685691392765,0.210322548905857,-0.282273914271791,0.777733486010489,-0.471600764994757,0.352863626716204,"Frequency (negative binomial)","Risk group: NT",FALSE
"risk_groupThreatened/DD",-0.0840177801330147,0.183042282764284,-0.459007497416376,0.646228782113948,-0.442780654351011,0.274745094084982,"Frequency (negative binomial)","Risk group: Threatened or DD",FALSE
