species,province,longitude,latitude,grid_id,pub_year,dist_to_grid
Accipiter badius,Hunan,111.63,25.19,301,2025,0.283467811983494
Accipiter gularis,Xinjiang,88.36,36.47,2059,2013,0.100945417141702
Accipiter soloensis,Gansu,116.22,33.7,1511,2015,0.267992149050713
Accipiter soloensis,Heilongjiang,125.25,49.09,3702,2020,0.271709235772348
Accipiter soloensis,Inner Mongolia,105.66,38.11,2165,2023,0.0977444864719711
Accipiter trivirgatus,Anhui,117.82,30.23,981,2010,0.175816357344209
Accipiter trivirgatus,Beijing,116.17,39.99,2557,2013,0.226329745255773
Accipiter trivirgatus,Gansu,105.4,32.6,1257,2022,0.20607674097447
Accipiter trivirgatus,Henan,114.25,31.95,1196,2008,0.117258549783966
Accipiter trivirgatus,Liaoning,121.14,38.73,2640,2021,1.09066453841354
Accipiter trivirgatus,Shaanxi,107.67,33.55,1418,2007,0.0893129586602061
Accipiter virgatus,Anhui,117.12,31.77,1202,2012,0.230431474915114
Aquila fasciata,Liaoning,121.14,38.73,2640,2021,1.09066453841354
Aquila fasciata,Shaanxi,110.01,32.85,1265,2020,0.237155470680841
Aquila heliaca,Hunan,110.87,29.98,824,2023,0.113563787299042
Aquila heliaca,Ningxia,106.51,38.55,2245,2021,0.237057674238532
Aviceda jerdoni,Guangdong,111.44,21.83,37,2023,0.225139367684796
Aviceda jerdoni,Hunan,110.88,29.98,824,2018,0.123202328074107
Aviceda leuphotes,Gansu,105.63,33.55,1414,2019,0.129884041043459
Aviceda leuphotes,Jiangsu,119.07,32.25,1360,2010,0.133019057756277
Aviceda leuphotes,Ningxia,106.31,35.35,1723,2024,0.206653400104973
Aviceda leuphotes,Shanxi,111.38,35.01,1657,2023,0.323337999999875
Butastur indicus,Anhui,116.82,31.47,1127,2013,0.196463275705357
Butastur indicus,Gansu,105.5,32.98,1335,2024,0.223224369550447
Circaetus gallicus,Guangxi,109.05,21.45,21,2021,0.234069444307317
Circaetus gallicus,Hunan,110.87,29.97,824,2023,0.111204671963124
Circaetus gallicus,Jiangsu,118.95,32.5,1360,2025,0.169357190150482
Circus aeruginosus,Gansu,103.47,37.89,2161,2025,0.27668848425182
Circus aeruginosus,Ningxia,106.26,37,2015,2025,0.217672359839036
Circus macrourus,Zhejiang,120.63,27.86,639,2023,0.296744190820629
Circus spilonotus,Xinjiang,86.82,47.78,3572,2015,0.189346063557913
Clanga clanga,Gansu,104.08,35.82,1792,2023,0.21878502402619
Elanus caeruleus,Beijing,116.17,39.99,2557,2013,0.226329745255773
Elanus caeruleus,Gansu,106.71,35.55,1724,2025,0.149802309752434
Elanus caeruleus,Henan,113.74,33.54,1429,2014,0.207462107825261
Elanus caeruleus,Liaoning,121.14,38.73,2640,2021,1.09066453841354
Elanus caeruleus,Inner Mongolia,113.83,41.44,2788,2023,0.297182827796906
Elanus caeruleus,Shaanxi,109.06,34.44,1576,2016,0.192391759221971
Elanus caeruleus,Sichuan,101.89,26.47,363,2016,0.0808142222515099
Elanus caeruleus,Tianjin,117.11,39.17,2486,2006,0.30671559338874
Gypaetus barbatus,Shaanxi,109.94,36.87,1949,2024,0.291015111997995
Gypaetus barbatus,Chongqing,107.86,28.98,679,2010,0.304761494816398
Gyps himalayensis,Guangxi,109.08,21.44,21,2013,0.203915754766874
Gyps himalayensis,Liaoning,121.02,42.05,3016,2003,0.0574711354990683
Gyps tenuirostris,Yunnan,100.63,23.79,121,2021,0.0834489787933443
Haliaeetus leucoryphus,Yunnan,99.95,27.91,489,2010,0.181706002039827
Haliaeetus pelagicus,Jiangsu,120.96,32.76,1442,2024,0.245368682479495
Haliastur indus,Hunan,110.76,27.25,464,2025,0.177119754129838
Hieraaetus pennatus,Gansu,94.12,39.88,2520,2014,0.155907574256791
Hieraaetus pennatus,Hainan,110.35,18.67,7,2022,0.261859647199221
Hieraaetus pennatus,Henan,112.38,34.6,1659,2012,0.225195106163472
Hieraaetus pennatus,Hunan,110.87,29.97,824,2021,0.111204671963124
Hieraaetus pennatus,Qinghai,96.37,37.43,2073,2017,0.0920140398026281
Hieraaetus pennatus,Shaanxi,109.06,34.31,1576,2021,0.248593669278936
Hieraaetus pennatus,Tibet,85.35,28.35,775,2016,0.0699294750676325
Ictinaetus malaiensis,Anhui,117.45,30,909,2010,0.201140595224802
Ictinaetus malaiensis,Shandong,118.62,36.2,1964,2023,0.186303689484146
Lophotriorchis kienerii,Tibet,95.35,29.45,724,2019,0.326585753456014
Neophron percnopterus,Xinjiang,75.25,39.92,3028,2012,0.209919251891233
Nisaetus nipalensis,Gansu,104.71,32.93,1255,2007,0.313018927734845
Nisaetus nipalensis,Guizhou,105.83,28.12,553,2018,0.262229572619607
Pernis ptilorhynchus,Tianjin,117.82,39.33,2560,2001,0.396449024053109
Spilornis cheela,Heilongjiang,124.56,47.08,3555,2011,0.296920823566593
Spilornis cheela,Shanghai,121.97,30.89,1210,2018,0.497189478314864
Aix galericulata,Tibet,91.18,29.65,859,2021,0.195779962763971
Aix galericulata,Xinjiang,82.94,37.26,2282,2015,0.201410094876813
Anas carolinensis,Shandong,119.43,35.37,1892,2023,0.386831399591192
Anser albifrons,Gansu,105.76,33,1335,2023,0.29978510305302
Anser anser,Hainan,110.58,19.9,17,2009,0.11180301222408
Anser caerulescens,Guizhou,104.22,26.86,409,2024,0.25884722820056
Anser caerulescens,Jilin,122.07,44.9,3373,2001,0.275869589165079
Anser caerulescens,Liaoning,122.27,40.7,2800,2018,0.292078370105084
Anser caerulescens,Shandong,118.98,37.77,2266,2000,0.072133700467201
Anser erythropus,Yunnan,100.08,26.73,401,2004,0.186761642403879
Anser fabalis,Tibet,95.83,29.27,724,2016,0.211101767143955
Anser indicus,Henan,111.13,34.77,1657,2019,0.0553649406172515
Anser indicus,Chongqing,106.43,29.84,745,2007,0.242607087283141
Asarcornis scutulata,Yunnan,97.57,24.72,192,2019,0.265348074333811
Aythya collaris,Shandong,120.08,36.25,2040,2023,0.274284798353685
Aythya fuligula,Hainan,109.17,18.75,5,2006,0.063250465686206
Aythya nyroca,Fujian,119.52,25.96,440,2006,0.0656135762956228
Aythya nyroca,Jilin,123.88,46.01,3487,2012,0.1713252195507
Branta bernicla,Anhui,117.09,30.75,1054,2017,0.120084816660559
Branta bernicla,Henan,112.66,34.84,1660,2020,0.162383754912306
Branta canadensis,Heilongjiang,124.39,47.03,3554,2024,0.202486200552655
Branta canadensis,Liaoning,123.8,39.83,2721,2022,0.276855113857557
Branta canadensis,Tianjin,117.43,39.26,2486,2017,0.0265241834630415
Branta canadensis,Zhejiang,120.71,30.2,1061,2019,0.218101638471427
Branta hutchinsii,Hebei,118.33,39.24,2561,2025,0.469976498015709
Branta hutchinsii,Hubei,114.15,30.75,974,2016,0.196349059269798
Branta leucopsis,Jilin,122.3,45,3373,2019,0.0252392132647875
Branta ruficollis,Hebei,115.61,37.67,2182,2021,0.212763913262256
Branta ruficollis,Henan,112.78,35,1735,2008,0.177444533963647
Branta ruficollis,Sichuan,104.22,31.01,956,2011,0.243077397610381
Branta ruficollis,Xinjiang,83.57,45.95,3469,2024,0.159085900081503
Clangula hyemalis,Gansu,40.15,40.15,2959,2008,33.6717958755945
Clangula hyemalis,Hubei,112.17,31.95,1192,2024,0.240718755366696
Clangula hyemalis,Jiangsu,119.35,35.07,1819,2010,0.357109603466544
Clangula hyemalis,Jiangxi,117.09,28.03,633,2018,0.248558085532762
Clangula hyemalis,Ningxia,106.78,37.75,2091,2022,0.145837477476676
Clangula hyemalis,Shandong,117.64,37.23,2110,2014,0.222245104423142
Clangula hyemalis,Yunnan,100.13,25.88,318,2018,0.160476495356039
Cygnus columbianus,Yunnan,100.2,26.58,359,2011,0.302167944978008
Cygnus cygnus,Guangxi,108.16,21.58,31,2017,0.399276011780571
Cygnus olor,Jilin,122.55,44.96,3373,2010,0.234265852368942
Cygnus olor,Shaanxi,107.66,34.31,1574,2016,0.215820730621112
Dendrocygna javanica,Guizhou,106.65,26.51,372,2021,0.146925346204146
Histrionicus histrionicus,Beijing,116.4,39.98,2557,2017,0.202929038025832
Histrionicus histrionicus,Jiangsu,120.85,33.12,1520,2022,0.0599011918540297
Histrionicus histrionicus,Inner Mongolia,118.72,44.22,3236,2014,0.24901005304554
Mareca americana,Jilin,122.35,45.05,3373,2007,0.0467141884387888
Mareca falcata,Gansu,101.65,37.98,2158,2019,0.145755815826837
Mareca falcata,Xinjiang,87.63,44.18,3266,2023,0.252824853794448
Melanitta fusca,Guangdong,113.75,22.53,114,2025,0.462572982521494
Melanitta fusca,Henan,112.53,34.88,1660,2025,0.29125298765556
Melanitta fusca,Shanghai,121.94,30.91,1210,2021,0.461134496825083
Melanitta stejnegeri,Guizhou,105.7,28.52,552,2025,0.290335915777411
Melanitta stejnegeri,Shaanxi,109.04,32.71,1263,2017,0.254701459156678
Mergus serrator,Guizhou,106.48,26.44,372,2024,0.065757040290128
Mergus serrator,Hunan,114.13,28.17,627,2022,0.248398103932566
Mergus serrator,Shaanxi,109.17,33.42,1421,2017,0.251744550784093
Mergus serrator,Yunnan,103.3,23.59,127,2017,0.304755209438616
Netta rufina,Anhui,117.93,33.22,1515,2017,0.269745499232985
Netta rufina,Jilin,125.35,43.88,3295,2023,0.226871145382949
Netta rufina,Liaoning,123.02,39.66,2720,2022,0.314736081524929
Netta rufina,Shanghai,121.9,31.05,1210,2018,0.36334600023757
Oxyura leucocephala,Shaanxi,109.54,34.81,1654,2019,0.124530359905217
Oxyura leucocephala,Sichuan,104.81,31.37,1031,2022,0.190114551101206
Sibirionetta formosa,Tibet,91.42,29.83,859,2025,0.112630179061871
Gracupica nigricollis,Anhui,117.22,30.37,980,2010,0.0852917807547008
Hirundapus caudacutus,Hunan,110.65,30.07,824,2014,0.164509177255325
Caprimulgus macrurus,Guizhou,106.8,26.54,373,2019,0.212045342994669
Hemiprocne coronata,Inner Mongolia,120.72,51.28,3743,2018,0.283293096724178
Brachyramphus perdix,Jiangsu,119.62,34.87,1747,2016,0.332205391930156
Synthliboramphus antiquus,Hainan,110.59,19.97,17,2006,0.0502867259218301
Burhinus indicus,Tibet,95.3,29.33,723,2025,0.226144578097332
Charadrius asiaticus,Hubei,94.33,39.95,2520,2001,0.113652373918208
Charadrius atrifrons,Guizhou,106.63,26.63,372,2024,0.180455408015977
Charadrius atrifrons,Yunnan,103.32,27.44,450,2025,0.151313277369049
Charadrius dealbatus,Jiangxi,115.82,29.69,834,2024,0.192487518238499
Charadrius hiaticula,Jiangsu,120.81,31.9,1285,2018,0.270863931095187
Charadrius hiaticula,Xinjiang,86.75,47.75,3572,2010,0.234530301511104
Charadrius hiaticula,Yunnan,103.3,23.57,127,2021,0.318514990008192
Charadrius hiaticula,Zhejiang,121.27,30.39,1062,2019,0.151693598154945
Charadrius mongolus,Shaanxi,109.25,34.62,1577,2021,0.241554755256421
Charadrius mongolus,Shaanxi,107.53,33.61,1418,2020,0.20209549211639
Charadrius mongolus,Yunnan,103.3,23.59,127,2013,0.304755209438616
Charadrius placidus,Hainan,108.94,18.09,5,2006,0.63767151708691
Charadrius veredus,Hainan,110.79,19.54,15,2006,0.185921981184004
Charadrius veredus,Jilin,122.96,46.05,3455,2010,0.324493478703801
Charadrius veredus,Xinjiang,90.8,43.9,3219,2010,0.320209610321339
Charadrius veredus,Yunnan,101.82,24.03,161,2024,0.292999209801399
Pluvialis apricaria,Shandong,117.94,38.23,2342,2021,0.140956159977708
Vanellus cinereus,Hainan,110.12,19,11,2006,0.105325920216058
Vanellus indicus,Chongqing,106.68,29.74,745,2019,0.160896034590943
Vanellus leucurus,Xinjiang,77.12,38.43,2727,2012,0.241541319321279
Vanellus vanellus,Hainan,110.59,19.97,17,2006,0.0502867259218301
Glareola lactea,Guangxi,108.28,22.85,73,2025,0.100061545955078
Glareola lactea,Hainan,110.17,20.06,16,2019,0.0362986799709702
Ibidorhyncha struthersii,Anhui,116.49,30.66,1053,2023,0.265121286542741
Hydrophasianus chirurgus,Gansu,107.92,35.5,1726,2023,0.17085054143916
Hydrophasianus chirurgus,Liaoning,122.92,41.74,3019,2024,0.146234414328818
Hydrophasianus chirurgus,Tianjin,117.32,39.12,2486,2015,0.162225780143665
Hydrophasianus chirurgus,Yunnan,98.53,24.4,194,2025,0.130575019022254
Anous stolidus,Anhui,118.73,30.6,1057,2024,0.049330627460562
Anous stolidus,Jiangsu,120.62,31.76,1285,2020,0.0355896104410344
Chlidonias leucopterus,Yunnan,102.69,24.81,202,2008,0.209832459390103
Chlidonias niger,Gansu,100.47,39.99,2457,2022,0.328013718547496
Chlidonias niger,Hubei,114.41,30.45,975,2021,0.180433952329068
Larus brunnicephalus,Fujian,118.59,24.57,315,2024,0.308087839917544
Larus genei,Fujian,118.57,24.4,315,2024,0.436579493211524
Larus genei,Jiangxi,116.3,29.3,764,2022,0.256764934951091
Gelochelidon nilotica,Hubei,114.36,30.65,975,2021,0.163148430029609
Gelochelidon nilotica,Hunan,113.24,28.18,567,2020,0.1752758112914
Gygis alba,Fujian,119.74,25.61,398,2006,0.249058682106745
Hydrocoloeus minutus,Zhejiang,119.95,28.48,771,2017,0.197624485714489
Hydroprogne caspia,Hubei,114.47,30.71,975,2021,0.121221331707912
Hydroprogne caspia,Ningxia,105.12,37.58,2088,2024,0.137449678091537
Hydroprogne caspia,Yunnan,102.64,25,243,2005,0.18425508039817
Larus ichthyaetus,Anhui,117.02,30.85,1054,2025,0.18830753897065
Larus ichthyaetus,Liaoning,121.67,39.11,2640,2014,0.572901426631284
Larus relictus,Ningxia,106.77,37.72,2091,2019,0.114377002352514
Larus argentatus,Tibet,91.11,29.68,859,2025,0.251623145380098
Larus canus,Tibet,91.16,29.9,859,2025,0.253270627817689
Larus crassirostris,Hainan,109.69,19.91,13,2006,0.322528302682541
Larus fuscus,Hubei,114.12,30.33,902,2022,0.224305236260571
Larus fuscus,Inner Mongolia,100.69,42.42,2929,2023,0.0166796000095749
Larus fuscus,Tibet,91.08,29.92,931,2018,0.329442244621288
Larus glaucescens,Inner Mongolia,112.69,40.55,2628,2018,0.1140274027044
Larus glaucescens,Shanghai,121.49,31.24,1210,2018,0.100211036285897
Larus hyperboreus,Gansu,103.88,36.08,1865,2025,0.216902643616019
Larus hyperboreus,Shanxi,111.5,37.8,2175,2020,0.176570338601013
Larus hyperboreus,Tibet,91.84,30.03,932,2015,0.212925883169038
Onychoprion aleuticus,Fujian,117.67,23.78,233,2009,0.194323645349158
Onychoprion aleuticus,Jiangsu,120.85,31.82,1285,2025,0.272882969527874
