species,centroid_lon,centroid_lat
Accipiter badius,95.4954667438299,34.9109515670697
Accipiter soloensis,110.617564154199,30.082204069779
Accipiter trivirgatus,103.059862866445,30.1183148055148
Accipiter virgatus,110.358343106803,17.7878288549739
Aquila fasciata,117.683248517012,35.9766250134939
Aquila heliaca,102.441079849356,35.3614976980126
Aviceda jerdoni,106.1040322922,27.6172083049529
Aviceda leuphotes,104.027534446149,30.9305874200139
Butastur indicus,95.6898827433522,34.3143379249755
Circaetus gallicus,99.5714093352385,35.1896614010944
Circus aeruginosus,,
Circus macrourus,113.696736706079,30.1401757747978
Circus spilonotus,,
Clanga clanga,93.8985219134204,37.2380139757355
Elanus caeruleus,110.989529409804,30.2426800413865
Gypaetus barbatus,95.5333665250675,36.7111614935999
Gyps himalayensis,92.378713668353,35.5235410655364
Gyps tenuirostris,,
Haliaeetus pelagicus,121.469264939024,31.2045240127431
Haliastur indus,102.288511316231,29.8435872046141
Hieraaetus pennatus,98.7329457199565,38.0378408550013
Ictinaetus malaiensis,100.295800047307,31.0337509238331
Lophotriorchis kienerii,103.194005491059,25.0088414547876
Nisaetus nipalensis,108.396086849793,29.9348804967107
Spilornis cheela,125.337700535981,44.0660546243762
Aix galericulata,90.9801283319071,35.1756468078951
Anas carolinensis,,
Anser albifrons,114.537796467178,32.9120371169596
Anser caerulescens,116.815221581547,34.6660395614672
Anser erythropus,113.47382777924,27.6208006930459
Anser fabalis,91.2366525867244,38.9305563963654
Anser indicus,94.397547678229,35.6578125382228
Asarcornis scutulata,,
Aythya nyroca,97.2093699310782,34.5047130288728
Branta bernicla,117.560868831817,35.7662163816721
Branta canadensis,118.977476315303,33.0438160070797
Branta hutchinsii,115.537759942068,32.8639495037472
Branta leucopsis,112.895345772038,32.3492506899504
Branta ruficollis,100.512634529996,36.2876300674896
Clangula hyemalis,103.758098659213,37.0495139270953
Cygnus columbianus,,
Cygnus cygnus,95.9233929131041,41.2389256061768
Cygnus olor,92.3638997591095,39.1982773329948
Dendrocygna javanica,114.01494348869,25.6286747115874
Histrionicus histrionicus,119.436165071957,40.257531325644
Mareca falcata,98.1880198185964,36.5743013289442
Melanitta fusca,90.4259505576905,39.257484332787
Melanitta stejnegeri,105.265708865592,37.1795405886176
Mergus serrator,101.020261411734,38.1040981808854
Netta rufina,97.6805371839738,34.6272030854704
