term,estimate,std.error,statistic,p.value,conf.low,conf.high,climate_spec,climate_label,climate_var,effort_spec,effort_label,effort_var,hr,hr_lower,hr_upper
temp_grad_z:log_effort_record_z,0.192555867701931,0.0447502431862075,4.30290103454183,1.68576161411112e-05,0.104845391056964,0.280266344346897,clim_orig,"Temp gradient
(legacy)",temp_grad_z,spec_A,Record-based,log_effort_record_z,1.21234423270172,1.11053889783671,1.32348226741829
temp_grad_z:log_effort_visits_z,0.255955465386821,0.0452367484662596,5.65813136586791,1.53029987790919e-08,0.167291438392952,0.34461949238069,clim_orig,"Temp gradient
(legacy)",temp_grad_z,spec_B,Observer visits,log_effort_visits_z,1.29169520151261,1.18209872406412,1.41145274895009
temp_grad_z:effort_pc1_z,0.162605452594193,0.0404401638801524,4.02089005069532,5.79786630401298e-05,0.0833427313890944,0.241868173799292,clim_orig,"Temp gradient
(legacy)",temp_grad_z,spec_C,PCA composite,effort_pc1_z,1.17657238451723,1.08691426435409,1.27362628443488
temp_grad_z:log_effort_days_z,0.268271682917988,0.0478529776891516,5.60616487986716,2.06858914457279e-08,0.174479846647251,0.362063519188725,clim_orig,"Temp gradient
(legacy)",temp_grad_z,spec_D,Birding days,log_effort_days_z,1.30770237215383,1.1906267470224,1.43629017104936
climate_velocity_z:log_effort_record_z,-0.0214437713501972,0.0533089615602559,-0.402254531369159,0.687496713546677,-0.125929336008299,0.0830417933079044,clim_velocity,"Climate
velocity",climate_velocity_z,spec_A,Record-based,log_effort_record_z,0.978784511653422,0.881677147408812,1.08658721967353
climate_velocity_z:log_effort_visits_z,-0.0700647603269388,0.0571546855211838,-1.22587955279659,0.220244004438523,-0.182087943948459,0.0419584232945815,clim_velocity,"Climate
velocity",climate_velocity_z,spec_B,Observer visits,log_effort_visits_z,0.932333439732476,0.833528033445918,1.04285111953561
climate_velocity_z:effort_pc1_z,-0.127728847339104,0.0611216823520436,-2.0897469183427,0.0366405399266972,-0.24752734474911,-0.00793034992909887,clim_velocity,"Climate
velocity",climate_velocity_z,spec_C,PCA composite,effort_pc1_z,0.880091986077587,0.780728871683915,0.99210101233656
climate_velocity_z:log_effort_days_z,-0.0662740282197846,0.0586983792589857,-1.12906061558146,0.258872264032501,-0.181322851567397,0.0487747951278273,clim_velocity,"Climate
velocity",climate_velocity_z,spec_D,Birding days,log_effort_days_z,0.9358743731619,0.83416600341557,1.04998386263032
mahalanobis_dist_z:log_effort_record_z,0.115257387706797,0.0432569939985942,2.66447982285922,0.00771074919142467,0.0304736794695521,0.200041095944041,clim_mahal,"Mahalanobis
distance",mahalanobis_dist_z,spec_A,Record-based,log_effort_record_z,1.12216223116772,1.03094275473151,1.22145295389098
mahalanobis_dist_z:log_effort_visits_z,0.103512701718109,0.0462180304635018,2.23966059739072,0.0251129654471874,0.0129253620096456,0.194100041426573,clim_mahal,"Mahalanobis
distance",mahalanobis_dist_z,spec_B,Observer visits,log_effort_visits_z,1.10905988024157,1.01300925556304,1.21421774895609
mahalanobis_dist_z:effort_pc1_z,0.122758048227613,0.0398272976527977,3.0822590399625,0.0020543597805138,0.0446965448281296,0.200819551627096,clim_mahal,"Mahalanobis
distance",mahalanobis_dist_z,spec_C,PCA composite,effort_pc1_z,1.13061083455617,1.0457104855016,1.2224041710767
