term,estimate,std.error,statistic,p.value,conf.low,conf.high,model
(Intercept),-3.34112519906557,0.116908737549413,-28.5789177875042,1.22848217371066e-179,-3.57026632466242,-3.11198407346872,M_multi_top2
year_c,-0.0276183704250766,0.0159843072738609,-1.72784281182087,0.0840164095528464,-0.058947612681844,0.00371087183169084,M_multi_top2
climate_velocity_z,-0.0845844788585946,0.119065734285782,-0.710401522032985,0.477455179602872,-0.317953318058728,0.148784360341539,M_multi_top2
log_effort_visits_z,0.147621375666721,0.10546197798657,1.39975921640233,0.161585434456899,-0.0590841011869569,0.354326852520399,M_multi_top2
mahalanobis_dist_z,0.0319214866331635,0.0651697011162653,0.489820976410715,0.624260585911617,-0.0958111275547164,0.159654100821043,M_multi_top2
climate_velocity_z:log_effort_visits_z,-0.0729076132170641,0.057314489824585,-1.27206250007987,0.203350913664402,-0.185244013273251,0.0394287868391225,M_multi_top2
(Intercept),-3.3395588113115,0.112551946544424,-29.6712665914968,1.80360824746292e-193,-3.56016062653857,-3.11895699608443,M_multi_top3
year_c,-0.0306856581709852,0.0159789661674257,-1.92037819277321,0.0548101460382598,-0.0620044318591397,0.00063311551716921,M_multi_top3
climate_velocity_z,-0.011025165383292,0.118927542542076,-0.0927048953306278,0.926138007850978,-0.244123148765761,0.222072817999177,M_multi_top3
log_effort_visits_z,0.167468065681925,0.105307445576883,1.59027754176849,0.111772258591743,-0.0389345276487659,0.373870659012616,M_multi_top3
mahalanobis_dist_z,0.0410571876075237,0.0642679322343239,0.638844073243671,0.522924373599804,-0.0849079595717511,0.167022334786799,M_multi_top3
climate_exposure_z,-0.261252063232067,0.131602378150354,-1.98516217490833,0.0471264311535879,-0.519192724406762,-0.00331140205737202,M_multi_top3
climate_velocity_z:log_effort_visits_z,-0.0617043923712423,0.0562494596145608,-1.09697751398965,0.272651221814309,-0.171953333215782,0.048544548473297,M_multi_top3
(Intercept),-3.33969685549372,0.1115083816155,-29.9501867672115,4.37532582406213e-197,-3.5582532834601,-3.12114042752734,M_multi_full
year_c,-0.0318958177401006,0.0159152935454744,-2.00409861426467,0.0450594978400346,-0.0630897930892303,-0.000701842390970823,M_multi_full
temp_grad_z,-0.068373762341443,0.0515756089042099,-1.32569956601835,0.184939231238564,-0.169461955793694,0.0327144311108084,M_multi_full
climate_velocity_z,0.0562837394864862,0.129862549004693,0.433410093347639,0.6647168691443,-0.198246856562711,0.310814335535684,M_multi_full
mahalanobis_dist_z,0.0732233462466577,0.0678295743352433,1.07951947162098,0.280356218353941,-0.0597226194504191,0.206169311943735,M_multi_full
climate_exposure_z,0.0109019366684889,0.271508093914873,0.0401532658245798,0.967970936025864,-0.521253927404663,0.54305780074164,M_multi_full
warming_rate_z,-0.318542919984063,0.279972579620218,-1.13776470687296,0.255218745831556,-0.867289176039691,0.230203336071565,M_multi_full
log_effort_visits_z,0.148331760963863,0.104866475086194,1.41448218643703,0.157220374060154,-0.0572065302050764,0.353870052132802,M_multi_full
climate_velocity_z:log_effort_visits_z,-0.0567696320241555,0.0560035706494009,-1.01367879522451,0.310736045479327,-0.166536630496981,0.0529973664486702,M_multi_full
