term,Estimate,Std. Error,z value,Pr(>|z|),model,scale_id,climate_id,climate_label,climate_var,effort_id,effort_label,effort_var,hr,hr_lower,hr_upper
(Intercept),-3.34853134107635,0.117445677271392,-28.5113204578709,8.48004316571244e-179,M0,province,temp_grad,Temperature gradient,temp_grad_z,record,Record-based (legacy),log_effort_record_z,0.0351359189068634,0.027911266107413,0.0442306268973517
year_c,-0.0048853659093653,0.00758139207488204,-0.644389033189701,0.519323194245253,M0,province,temp_grad,Temperature gradient,temp_grad_z,record,Record-based (legacy),log_effort_record_z,0.995126548081372,0.98044875939865,1.01002407030809
(Intercept),-3.34346050823978,0.118059827809614,-28.3200523859099,1.9575395340107e-176,M1,province,temp_grad,Temperature gradient,temp_grad_z,record,Record-based (legacy),log_effort_record_z,0.0353145397737331,0.0280194106706904,0.044509027476981
year_c,-0.00683100802935959,0.00772940969528069,-0.883768398708424,0.37682124866533,M1,province,temp_grad,Temperature gradient,temp_grad_z,record,Record-based (legacy),log_effort_record_z,0.993192270271077,0.978259163173226,1.00835333095832
temp_grad_z,-0.0598575553873736,0.0485778603757993,-1.23219826736531,0.217875030386754,M1,province,temp_grad,Temperature gradient,temp_grad_z,record,Record-based (legacy),log_effort_record_z,0.941898692423296,0.856355092026227,1.03598747184368
(Intercept),-3.36322519478049,0.119348437754752,-28.1798845301315,1.03169699640129e-174,M2,province,temp_grad,Temperature gradient,temp_grad_z,record,Record-based (legacy),log_effort_record_z,0.0346234114308519,0.0274017572952971,0.0437483116937099
year_c,0.00797296354347721,0.0131242114909734,0.607500385753525,0.543518886714414,M2,province,temp_grad,Temperature gradient,temp_grad_z,record,Record-based (legacy),log_effort_record_z,1.00800483225704,0.982406120970753,1.03427057320196
log_effort_record_z,-0.0968046627443968,0.0799042223766465,-1.21150872713693,0.225700491977035,M2,province,temp_grad,Temperature gradient,temp_grad_z,record,Record-based (legacy),log_effort_record_z,0.90773330294859,0.776144209870463,1.06163228276801
(Intercept),-3.35883714159998,0.120050746921325,-27.9784776666253,2.96990329774949e-172,M3,province,temp_grad,Temperature gradient,temp_grad_z,record,Record-based (legacy),log_effort_record_z,0.0347756746266825,0.0274844028152589,0.0440012305841144
year_c,0.00690263129530168,0.0131379384710295,0.525396835319537,0.599307353047959,M3,province,temp_grad,Temperature gradient,temp_grad_z,record,Record-based (legacy),log_effort_record_z,1.00692650936358,0.981328779656516,1.03319194981117
temp_grad_z,-0.0648030476168891,0.0488803965948067,-1.32574717333153,0.184923456279575,M3,province,temp_grad,Temperature gradient,temp_grad_z,record,Record-based (legacy),log_effort_record_z,0.937252039223181,0.851625310796849,1.03148811324792
log_effort_record_z,-0.104530653413859,0.0800438960935059,-1.30591660970311,0.191580917496792,M3,province,temp_grad,Temperature gradient,temp_grad_z,record,Record-based (legacy),log_effort_record_z,0.900747186007418,0.769960018308549,1.0537501607975
(Intercept),-3.34357353481782,0.121249654707105,-27.5759427348034,2.16269650019503e-167,M4,province,temp_grad,Temperature gradient,temp_grad_z,record,Record-based (legacy),log_effort_record_z,0.0353105485177105,0.0278416310673231,0.0447831103575307
year_c,0.00318389850535877,0.0130876418777248,0.243275185484542,0.807792226153098,M4,province,temp_grad,Temperature gradient,temp_grad_z,record,Record-based (legacy),log_effort_record_z,1.0031889724938,0.977782643483026,1.0292554498086
