record_id,species,order_raw,order_cn,province_cn,province_en_raw,year,iucn_raw,discover_cause_raw,discovery_method_raw,longitude,latitude,order,province,iucn,discover_reason,discovery_method,paper_id,species_cn,english_name,naming_time,identity_source,identity_change_flag,duplicate_group_size,keep_record
977,Oroanassa magnifica,PELECANIFORMES,鹈形目,广东省,Guangdong,2000,EN,分布变化,当地鸟贩和村民捕获,114.15,24.9,Pelecaniformes,Guangdong,EN,Range shift or distribution change,当地鸟贩和村民捕获,广东发现濒危鸟类海南鳽,海南鳽,White-eared Night Heron,NA,raw_table,FALSE,2,TRUE
78,Anser caerulescens,ANSERIFORMES,雁形目,山东省,Shandong,2000,LC,分布变化,观察,118.983333333333,37.7666666666667,Anseriformes,Shandong,LC,Range shift or distribution change,观察,雪雁在中国的重新发现,雪雁,Snow Goose,NA,raw_table,FALSE,1,TRUE
225,Arenaria interpres,CHARADRIIFORMES,鸻形目,新疆维吾尔自治区,Xinjiang,2000,NT,分布变化,观察拍摄,83.82097,42.89432,Charadriiformes,Xinjiang,NT,Range shift or distribution change,观察拍摄,新疆鸟类新纪录－－－翻石鹬,翻石鹬,Ruddy Turnstone,NA,raw_table,FALSE,1,TRUE
534,Chloris chloris,PASSERIFORMES,雀形目,新疆维吾尔自治区,Xinjiang,2000,LC,分布变化,观察拍摄，标本采集,82.27,43.33,Passeriformes,Xinjiang,LC,Range shift or distribution change,观察拍摄，标本采集,中国鸟类新纪录－－－欧金翅,欧金翅雀,European Greenfinch,NA,raw_table,FALSE,1,TRUE
1017,Phoenicopterus roseus,PHOENICOPTERIFORMES,红鹳目,新疆维吾尔自治区,Xinjiang,2000,LC,分布变化,观察拍摄，标本采集，救助,87.9333333333333,43.9833333333333,Phoenicopteriformes,Xinjiang,LC,Range shift or distribution change,观察拍摄，标本采集，救助,中国鸟类一新纪录 (鸟纲：红鹳目：红鹳科),大红鹳,Greater Flamingo,NA,raw_table,FALSE,1,TRUE
745,Napothera malacoptila,PASSERIFORMES,雀形目,云南省,Yunnan,2000,LC,分布变化,网捕,98.34,27.88,Passeriformes,Yunnan,LC,Range shift or distribution change,网捕,中国鸟类种的新记录———长嘴鹩鹛Rimator malacoptilus,长嘴鹩鹛,Long-billed Wren-babbler,NA,raw_table,FALSE,1,TRUE
8,Accipiter trivirgatus,ACCIPITRIFORMES,鹰形目,福建省,Fujian,2001,LC,分布变化,观察，标本采集,119.33,25.6,Accipitriformes,Fujian,LC,Range shift or distribution change,观察，标本采集,福建鸟类亚种新纪录——凤头鹰,凤头鹰,Crested Goshawk,NA,raw_table,FALSE,1,TRUE
1074,Sula sula,SULIFORMES,鲣鸟目,福建省,Fujian,2001,LC,分布变化,救助,116.09428,37.44656,Suliformes,Fujian,LC,Range shift or distribution change,救助,福建省鸟类新记录种－－－红脚鲣鸟,红脚鲣鸟,Red-footed Booby,NA,raw_table,FALSE,1,TRUE
419,Rallina fasciata,GRUIFORMES,鹤形目,广东省,Guangdong,2001,LC,分布变化,红外相机拍摄,114.669444444444,22.4025,Gruiformes,Guangdong,LC,Range shift or distribution change,红外相机拍摄,中国大陆鸟类新记录———红脚斑秧鸡,红脚斑秧鸡,Red-legged Crake,NA,raw_table,FALSE,1,TRUE
145,Charadrius atrifrons,CHARADRIIFORMES,鸻形目,湖北省,Hubei,2001,LC,分布变化,网捕，枪击,94.332486,39.951323,Charadriiformes,Hubei,LC,Range shift or distribution change,网捕，枪击,湖北省鸟类1新纪录,青藏沙鸻,Caspian Plover,NA,true_mismatch,TRUE,1,TRUE
