species,order,mass,migration_av,habitat_av,trophic_level_av,trophic_niche_av,lifestyle_av,centroid_latitude,centroid_longitude,migration_cn,diet_cn,range_size_provinces,iucn_pool,log_mass,migration_class,iucn_group,risk_group,trophic_group,n_new_records,new_record
Calidris minuta,Charadriiformes,21.1,3,Grassland,Carnivore,Aquatic predator,Terrestrial,71.29,95.22,P,食肉，食虫,14,LC,1.32428245529769,Full migrant,LC,LC/NE,Carnivore,10,1
Turdus boulboul,Passeriformes,97.1,2,Forest,Omnivore,Invertivore,Insessorial,24.7,97.64,S,杂食性,9,LC,1.987219229908,Partial migrant,LC,LC/NE,Omnivore,10,1
Phoenicopterus roseus,Phoenicopteriformes,3031.59,2,Wetland,Carnivore,Aquatic predator,Terrestrial,-8.68,28.91,NA,NA,NA,LC,3.4816704658328,Partial migrant,LC,LC/NE,Carnivore,10,1
Spodiopsar sericeus,Passeriformes,65,2,Shrubland,Omnivore,Invertivore,Insessorial,27.11,112,RSW,杂食性,26,LC,1.81291335664286,Partial migrant,LC,LC/NE,Omnivore,9,1
Phoenicopterus roseus,Pelecaniformes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1
Elanus caeruleus,Accipitriformes,259.76,2,Grassland,Carnivore,Vertivore,Aerial,3.69,41.21,RSP,食肉，食虫,20,LC,2.41457227561795,Partial migrant,LC,LC/NE,Carnivore,8,1
Stercorarius parasiticus,Charadriiformes,444.31,3,Marine,Carnivore,Aquatic predator,Aerial,68.31,-11.33,P,食肉,8,LC,2.64768608793352,Full migrant,LC,LC/NE,Carnivore,8,1
Erithacus rubecula,Passeriformes,17.7,3,Forest,Carnivore,Omnivore,Generalist,53.82,30.86,RV,杂食性,3,LC,1.24797326636181,Full migrant,LC,LC/NE,Carnivore,8,1
Phylloscopus collybita,Passeriformes,8.3,3,Forest,Carnivore,Invertivore,Insessorial,53.49,26.75,SPV,食虫,6,LC,0.919078092376074,Full migrant,LC,LC/NE,Carnivore,8,1
Accipiter trivirgatus,Accipitriformes,265.04,1,Forest,Carnivore,Vertivore,Insessorial,13.91,101.71,R,食肉，食虫,22,LC,2.4233114228739,Resident/low mobility,LC,LC/NE,Carnivore,7,1
Hieraaetus pennatus,Accipitriformes,823.75,3,Forest,Carnivore,Vertivore,Generalist,42.1,55.17,RP,食肉,11,LC,2.91579542760207,Full migrant,LC,LC/NE,Carnivore,7,1
Clangula hyemalis,Anseriformes,871,3,Wetland,Carnivore,Aquatic predator,Aquatic,68.24,-27.99,WP,食肉，食虫,19,VU,2.94001815500766,Full migrant,Threatened,Threatened/DD,Carnivore,7,1
Hydrophasianus chirurgus,Charadriiformes,160.03,2,Wetland,Omnivore,Aquatic predator,Terrestrial,23.9,94.46,RS,杂食性,23,LC,2.20420140523815,Partial migrant,LC,LC/NE,Omnivore,7,1
Rissa tridactyla,Charadriiformes,415.99,2,Marine,Carnivore,Aquatic predator,Aerial,59.56,-52.28,WP,食肉,16,VU,2.61908289073006,Partial migrant,Threatened,Threatened/DD,Carnivore,7,1
Ficedula parva,Passeriformes,10.8,3,Woodland,Carnivore,Invertivore,Insessorial,54,34.95,VW,食虫,8,LC,1.03342375548695,Full migrant,LC,LC/NE,Carnivore,7,1
Oroanassa magnifica,Pelecaniformes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1
Charadrius atrifrons,Charadriiformes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LC,NA,NA,LC,LC/NE,Other,6,1
Limnodromus scolopaceus,Charadriiformes,104.4,3,Wetland,Carnivore,Aquatic predator,Terrestrial,68.11,18.59,PWV,食虫,12,NT,2.01870049866624,Full migrant,NT,NT,Carnivore,6,1
Artamus fuscus,Passeriformes,39.8,1,Woodland,Carnivore,Invertivore,Aerial,19.83,91.87,R,食虫,5,LC,1.59988307207369,Resident/low mobility,LC,LC/NE,Carnivore,6,1
Eumyias thalassinus,Passeriformes,18.1,1,Forest,Carnivore,Invertivore,Insessorial,17.79,104.13,SWPV,食虫,19,LC,1.25767857486918,Resident/low mobility,LC,LC/NE,Carnivore,6,1
Fringilla coelebs,Passeriformes,23.81,2,Forest,Omnivore,Invertivore,Generalist,52.79,39.43,WPV,杂食性,10,LC,1.37675939540488,Partial migrant,LC,LC/NE,Omnivore,6,1
Lanius schach,Passeriformes,51.51,2,Shrubland,Carnivore,Invertivore,Insessorial,23.44,92.75,RS,食虫，食肉,27,LC,1.71189154988058,Partial migrant,LC,LC/NE,Carnivore,6,1
Otocichla mupinensis,Passeriformes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1
Calidris melanotos,Charadriiformes,79.73,3,Wetland,Carnivore,Aquatic predator,Terrestrial,69.87,-13.6,P,杂食性,10,LC,1.90162176409336,Full migrant,LC,LC/NE,Carnivore,5,1
Calidris pugnax,Charadriiformes,131.68,3,Wetland,Carnivore,Aquatic predator,Terrestrial,64.07,75.55,WP,食虫,23,LC,2.11951981786819,Full migrant,LC,LC/NE,Carnivore,5,1
Phalaropus lobatus,Charadriiformes,36.68,3,Wetland,Carnivore,Aquatic predator,Terrestrial,65.91,-35.96,WP,食虫,26,LC,1.56442932699798,Full migrant,LC,LC/NE,Carnivore,5,1
Anastomus oscitans,Ciconiiformes,1590,2,Wetland,Carnivore,Aquatic predator,Terrestrial,20.66,85.13,V,食肉,6,LC,3.20139712432045,Partial migrant,LC,LC/NE,Carnivore,5,1
Halcyon smyrnensis,Coraciiformes,91.4,2,Human Modified,Carnivore,Omnivore,Insessorial,21.21,83.74,RV,食肉，食虫,17,LC,1.9609461957338301,Partial migrant,LC,LC/NE,Carnivore,5,1
Clamator coromandus,Cuculiformes,74.59,3,Woodland,Carnivore,Invertivore,Insessorial,24.55,100.85,RSPV,食虫,25,LC,1.87268060715193,Full migrant,LC,LC/NE,Carnivore,5,1
Abroscopus albogularis,Passeriformes,4.84,1,Forest,Carnivore,Invertivore,Insessorial,24.78,105.57,RS,食虫,19,LC,0.684845361644412,Resident/low mobility,LC,LC/NE,Carnivore,5,1
Anthus gustavi,Passeriformes,19.8,3,Shrubland,Carnivore,Invertivore,Terrestrial,65.91,119.79,SP,食虫,19,LC,1.29666519026153,Full migrant,LC,LC/NE,Carnivore,5,1
