record_id,source_name,source_priority,issue_group,issue_type,corrected_species,corrected_species_cn,corrected_english_name
432,true_mismatch,1,疑似真正错配,同一中文名对应多个英文名,Aegithalos concinnus,红头长尾山雀,Black-Throated Bushtit
431,true_mismatch,1,疑似真正错配,同一中文名对应多个英文名,Aegithalos concinnus,红头长尾山雀,Black-throated Tit
93,true_mismatch,1,疑似真正错配,同一中文名对应多个英文名,Branta hutchinsii,小美洲黑雁,Branta hutchinsii
94,true_mismatch,1,疑似真正错配,同一中文名对应多个英文名,Branta hutchinsii,小美洲黑雁,Cackling Goose
145,true_mismatch,1,疑似真正错配,同一中文名对应多个英文名,Charadrius atrifrons,青藏沙鸻,Caspian Plover
144,true_mismatch,1,疑似真正错配,同一中文名对应多个英文名,Charadrius atrifrons,青藏沙鸻,Tibetan Sandplover
26,true_mismatch,1,疑似真正错配,同一中文名对应多个英文名,Circaetus gallicus,短趾雕,Short-toed Snake-eagle
27,true_mismatch,1,疑似真正错配,同一中文名对应多个英文名,Circaetus gallicus,短趾雕,Short-toed Snake-eagle
28,true_mismatch,1,疑似真正错配,同一中文名对应多个英文名,Circaetus gallicus,短趾雕,short-toed snake eagle
612,true_mismatch,1,疑似真正错配,同一中文名对应多个英文名,Erithacus rubecula,欧亚鸲,Eurasian Robin
611,true_mismatch,1,疑似真正错配,同一中文名对应多个英文名,Erithacus rubecula,欧亚鸲,European Robin
613,true_mismatch,1,疑似真正错配,同一中文名对应多个英文名,Erithacus rubecula,欧亚鸲,European Robin
614,true_mismatch,1,疑似真正错配,同一中文名对应多个英文名,Erithacus rubecula,欧亚鸲,European Robin
165,true_mismatch,1,疑似真正错配,同一中文名对应多个英文名,Glareola lactea,灰燕鸻,Little Pratincole
164,true_mismatch,1,疑似真正错配,同一中文名对应多个英文名,Glareola lactea,灰燕鸻,Small Pratincole
123,true_mismatch,1,疑似真正错配,同一中文名对应多个英文名,Melanitta stejnegeri,斑脸海番鸭,Siberian Scoter
122,true_mismatch,1,疑似真正错配,同一中文名对应多个英文名,Melanitta stejnegeri,斑脸海番鸭,Stejneger's Scoter
413,true_mismatch,1,疑似真正错配,同一中文名对应多个英文名,Rallina fasciata,红脚斑秧鸡,Rallina fasciata
412,true_mismatch,1,疑似真正错配,同一中文名对应多个英文名,Rallina fasciata,红脚斑秧鸡,Red-legged Crake
287,true_mismatch,1,疑似真正错配,同一中文名对应多个英文名,Stercorarius parasiticus,短尾贼鸥,Arctic Jaeger
288,true_mismatch,1,疑似真正错配,同一中文名对应多个英文名,Stercorarius parasiticus,短尾贼鸥,Arctic Jaeger
289,true_mismatch,1,疑似真正错配,同一中文名对应多个英文名,Stercorarius parasiticus,短尾贼鸥,Arctic Jaeger
291,true_mismatch,1,疑似真正错配,同一中文名对应多个英文名,Stercorarius parasiticus,短尾贼鸥,Arctic Jaeger
290,true_mismatch,1,疑似真正错配,同一中文名对应多个英文名,Stercorarius parasiticus,短尾贼鸥,Parasitic Jaeger
1056,true_mismatch,1,疑似真正错配,同一中文名对应多个英文名,Sula dactylatra,蓝脸鲣鸟,Blue-faced Booby
1057,true_mismatch,1,疑似真正错配,同一中文名对应多个英文名,Sula dactylatra,蓝脸鲣鸟,Masked Booby
516,true_mismatch,1,疑似真正错配,同一学名对应多个中文名,Acanthis flammea,极北朱顶雀,Redpoll
515,true_mismatch,1,疑似真正错配,同一学名对应多个中文名,Acanthis flammea,白腰朱顶雀,Redpoll
151,true_mismatch,1,疑似真正错配,同一学名对应多个中文名,Charadrius atrifrons,蒙古沙鸻,Siberian Sandplover
152,true_mismatch,1,疑似真正错配,同一学名对应多个中文名,Charadrius atrifrons,蒙古沙鸻,Siberian Sandplover
153,true_mismatch,1,疑似真正错配,同一学名对应多个中文名,Charadrius atrifrons,蒙古沙鸻,Siberian Sandplover
310,true_mismatch,1,疑似真正错配,同一学名对应多个中文名,Columba oenas,欧鸽,Stock Dove
311,true_mismatch,1,疑似真正错配,同一学名对应多个中文名,Columba oenas,鸥鸽,Stock Dove
497,true_mismatch,1,疑似真正错配,同一学名对应多个中文名,Emberiza leucocephalos,白头鹀,Pine Bunting
506,true_mismatch,1,疑似真正错配,同一学名对应多个中文名,Emberiza leucocephalos,白顶鹀,White-capped Bunting
376,true_mismatch,1,疑似真正错配,同一学名对应多个中文名,Gavia adamsii,白嘴潜鸟,Yellow-billed Loon
374,true_mismatch,1,疑似真正错配,同一学名对应多个中文名,Gavia adamsii,黄嘴潜鸟,Yellow-billed Loon
375,true_mismatch,1,疑似真正错配,同一学名对应多个中文名,Gavia adamsii,黄嘴潜鸟,Yellow-billed Loon
167,true_mismatch,1,疑似真正错配,同一学名对应多个中文名,Hydrophasianus chirurgus,水雉,Pheasant-tailed Jacana
168,true_mismatch,1,疑似真正错配,同一学名对应多个中文名,Hydrophasianus chirurgus,水雉,Pheasant-tailed Jacana
169,true_mismatch,1,疑似真正错配,同一学名对应多个中文名,Hydrophasianus chirurgus,水雉,Pheasant-tailed Jacana
170,true_mismatch,1,疑似真正错配,同一学名对应多个中文名,Hydrophasianus chirurgus,黑胸鹌鹑,Pheasant-tailed Jacana
558,true_mismatch,1,疑似真正错配,同一学名对应多个中文名,Lanius schach,棕背伯劳,Long-tailed Shrike
560,true_mismatch,1,疑似真正错配,同一学名对应多个中文名,Lanius schach,棕背伯劳,Long-tailed Shrike
559,true_mismatch,1,疑似真正错配,同一学名对应多个中文名,Lanius schach,黑伯劳,Long-tailed Shrike
585,true_mismatch,1,疑似真正错配,同一学名对应多个中文名,Locustella davidi,北短翅莺,Baikal Grasshopper-warbler
584,true_mismatch,1,疑似真正错配,同一学名对应多个中文名,Locustella davidi,北短翅蝗莺,Baikal Grasshopper-warbler
670,true_mismatch,1,疑似真正错配,同一学名对应多个中文名,Oenanthe deserti,漠䳭,Desert Wheatear
671,true_mismatch,1,疑似真正错配,同一学名对应多个中文名,Oenanthe deserti,漠䳭,Desert Wheatear
669,true_mismatch,1,疑似真正错配,同一学名对应多个中文名,Oenanthe deserti,漠鵖,Desert Wheatear
