"species_lat","class_lat","order_lat","family_lat","genus_lat","species","order","family","genus","genus_size","n_congeners","n_new_records","new_record","mass","hwi","habitat_av","habitat_density_av","migration_av_raw","trophic_level_av","trophic_niche_av","range_size_av","centroid_latitude","centroid_longitude","endemic_cn","diet_cn","clutch_raw","migration_cn_raw","range_size_provinces","clutch_size","endemic_status","migration_class_av","diet_group_av","forest_association","log_mass","log_hwi","log_range_provinces","log_clutch_size","log_n_congeners","tree_label","z_log_mass","z_log_hwi","z_log_range_provinces","z_log_clutch_size","z_log_n_congeners"
"Accipiter badius","Aves","ACCIPITRIFORMES","Accipitridae","Accipiter","Accipiter badius","Accipitriformes","Accipitridae","Accipiter",7,6,1,1,131.15,32.9,"Shrubland",2,"3","Carnivore","Vertivore",22374973,8.23,44.98,"否","食肉，食虫","3-4","RP",11,3.5,"Non_endemic","Long_distance_migrant","Vertebrate_aquatic","Non_forest",2.11776829492637,3.5234150143864,2.484906649788,1.50407739677627,1.94591014905531,"Accipiter_badius",0.261235036172116,0.307246098922119,0.311025322273778,-0.195966294958842,0.451030460808055
"Accipiter gentilis","Aves","ACCIPITRIFORMES","Accipitridae","Accipiter","Accipiter gentilis","Accipitriformes","Accipitridae","Accipiter",7,6,0,0,866.04,36.3,"Forest",1,"2","Carnivore","Vertivore",31775270.74,54.91,19.06,"否","食肉","2","SWP",34,2,"Non_endemic","Partial_migrant","Vertebrate_aquatic","Forest_primary",2.9375379513454,3.61899332664977,3.55534806148941,1.09861228866811,1.94591014905531,"Accipiter_gentilis",1.33205272611035,0.499848715866532,1.38421084243174,-1.31556032589471,0.451030460808055
"Accipiter gularis","Aves","ACCIPITRIFORMES","Accipitridae","Accipiter","Accipiter gularis","Accipitriformes","Accipitridae","Accipiter",7,6,1,1,120.66,33.2,"Forest",1,"3","Carnivore","Vertivore",4785704.92,49.07,117.11,"否","食肉，食虫","5-6","SWPV",29,5.5,"Non_endemic","Long_distance_migrant","Vertebrate_aquatic","Forest_primary",2.08156332098039,3.53222564406856,3.40119738166216,1.87180217690159,1.94591014905531,"Accipiter_gularis",0.213942572659293,0.32500065320882,1.22966499274327,0.819416929448424,0.451030460808055
"Accipiter nisus","Aves","ACCIPITRIFORMES","Accipitridae","Accipiter","Accipiter nisus","Accipitriformes","Accipitridae","Accipiter",7,6,0,0,220.79,35.5,"Forest",1,"2","Carnivore","Vertivore",23601609.31,54.67,77.29,"否","食肉，食虫","3-4","RSWP",34,3.5,"Non_endemic","Partial_migrant","Vertebrate_aquatic","Forest_primary",2.3439793994776,3.59731226058845,3.55534806148941,1.50407739677627,1.94591014905531,"Accipiter_nisus",0.556721518889773,0.456158573587715,1.38421084243174,-0.195966294958842,0.451030460808055
"Accipiter soloensis","Aves","ACCIPITRIFORMES","Accipitridae","Accipiter","Accipiter soloensis","Accipitriformes","Accipitridae","Accipiter",7,6,3,1,164.77,39,"Forest",1,"3","Carnivore","Vertivore",2375886.74,31.97,117.13,"否","食肉，食虫","2-5","RSWP",27,3.5,"Non_endemic","Long_distance_migrant","Vertebrate_aquatic","Forest_primary",2.21687814170286,3.68887945411394,3.3322045101752,1.50407739677627,1.94591014905531,"Accipiter_soloensis",0.390696496893809,0.640678269339078,1.16049525597437,-0.195966294958842,0.451030460808055
"Accipiter trivirgatus","Aves","ACCIPITRIFORMES","Accipitridae","Accipiter","Accipiter trivirgatus","Accipitriformes","Accipitridae","Accipiter",7,6,7,1,265.04,23,"Forest",1,"1","Carnivore","Vertivore",3366430.69,13.91,101.71,"否","食肉，食虫","2-3","R",22,2.5,"Non_endemic","Resident_low","Vertebrate_aquatic","Forest_primary",2.4233114228739,3.17805383034795,3.13549421592915,1.25276296849537,1.94591014905531,"Accipiter_trivirgatus",0.660348352801196,-0.388701195622484,0.963280689027329,-0.889910430137798,0.451030460808055
"Accipiter virgatus","Aves","ACCIPITRIFORMES","Accipitridae","Accipiter","Accipiter virgatus","Accipitriformes","Accipitridae","Accipiter",7,6,1,1,116.99,27.4,"Forest",1,"2","Carnivore","Vertivore",4398429.71,22.08,101.25,"否","食肉，食虫","3-4","R",25,3.5,"Non_endemic","Partial_migrant","Vertebrate_aquatic","Forest_primary",2.06814874097329,3.34638914516716,3.25809653802148,1.50407739677627,1.94591014905531,"Accipiter_virgatus",0.1964198826424,-0.0494838419093913,1.08619730582572,-0.195966294958842,0.451030460808055
"Aegypius monachus","Aves","ACCIPITRIFORMES","Accipitridae","Aegypius","Aegypius monachus","Accipitriformes","Accipitridae","Aegypius",1,0,0,0,9320.55,41.1,"Forest",2,"1","Scavenger","Scavenger",7718571.19,41.63,87.87,"否","食腐","1","RW",34,1,"Non_endemic","Resident_low","Vertebrate_aquatic","Forest_primary",3.969441540564,3.74004774068834,3.55534806148941,0.693147180559945,0,"Aegypius_monachus",2.67996870347513,0.743788961141578,1.38421084243174,-2.43515435683057,-1.47201845540291
"Aquila chrysaetos","Aves","ACCIPITRIFORMES","Accipitridae","Aquila","Aquila chrysaetos","Accipitriformes","Accipitridae","Aquila",4,3,0,0,4247.97,36.7,"Grassland",3,"2","Carnivore","Vertivore",39450257.98,50.67,38.05,"否","食肉，食腐","2","RSW",31,2,"Non_endemic","Partial_migrant","Vertebrate_aquatic","Non_forest",3.62818144101116,3.62966009445396,3.46573590279973,1.09861228866811,1.38629436111989,"Aquila_chrysaetos",2.23420037256672,0.521343627680473,1.29436896030294,-1.31556032589471,-0.102010765173633
"Aquila fasciata","Aves","ACCIPITRIFORMES","Accipitridae","Aquila","Aquila fasciata","Accipitriformes","Accipitridae","Aquila",4,3,2,1,1936.49,37.3,"Rock",3,"2","Carnivore","Vertivore",5630034.84,27.52,62.08,"否","食肉，食虫","2","RPV",16,2,"Non_endemic","Partial_migrant","Vertebrate_aquatic","Non_forest",3.28701525863889,3.6454498961866,2.83321334405622,1.09861228866811,1.38629436111989,"Aquila_fasciata",1.78855472023951,0.55316211309544,0.660224911131802,-1.31556032589471,-0.102010765173633
