"province_cn","province","year_min","year_max","n_years","report_sum","user_sum"
"北京市","Beijing",2002,2024,23,91903,6435
"广东省","Guangdong",2002,2024,23,91060,8895
"上海市","Shanghai",2002,2024,23,63627,4732
"云南省","Yunnan",2000,2024,24,51846,4678
"江苏省","Jiangsu",1980,2024,26,47461,4799
"湖北省","Hubei",2002,2024,23,40098,3660
"福建省","Fujian",2002,2024,23,34551,3714
"浙江省","Zhejiang",2002,2024,23,33618,4950
"四川省","Sichuan",2002,2024,23,32701,4042
"湖南省","Hunan",2002,2024,23,32278,2529
"江西省","Jiangxi",2002,2024,23,17752,3288
"广西壮族自治区","Guangxi",2002,2024,23,16122,2445
"新疆维吾尔自治区","Xinjiang",2003,2024,22,14290,1158
"海南省","Hainan",2003,2024,22,12207,1702
"安徽省","Anhui",2002,2024,23,11890,1875
"青海省","Qinghai",2000,2024,24,10968,1364
"西藏自治区","Tibet",1999,2024,23,10291,1000
"河南省","Henan",2002,2024,23,9853,2053
"天津市","Tianjin",2002,2024,23,9815,1055
"陕西省","Shaanxi",2002,2024,23,9740,1723
"辽宁省","Liaoning",2003,2024,22,8129,1079
"甘肃省","Gansu",2004,2024,21,7967,1212
"河北省","Hebei",2002,2024,23,7935,2102
"山东省","Shandong",2002,2024,23,7302,2065
"内蒙古自治区","Inner Mongolia",2002,2024,22,6925,1262
"重庆市","Chongqing",2005,2024,20,5868,865
"山西省","Shanxi",2003,2024,22,5230,958
"贵州省","Guizhou",2003,2024,22,5045,1096
"吉林省","Jilin",2004,2024,21,3810,697
"黑龙江省","Heilongjiang",2003,2024,22,3540,565
"香港特别行政区","Hong Kong",2003,2024,22,2580,724
"宁夏回族自治区","Ningxia",2005,2024,18,2022,391
"台湾省","Taiwan",2003,2024,19,1818,170
"澳门特别行政区","Macao",2003,2024,12,233,122
