"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail","model"
"b_Intercept",-0.675836382177795,-0.669457915,0.395041293826085,0.366179827566,-1.327670545,-0.0341641365500006,1.00119442342593,4725.71034517895,2874.9580370385,"Continuous phylogenetic"
"b_z_log_mass",0.0042844956679925,0.0090161313,0.158278083520213,0.15510036472728,-0.256290077,0.2614044645,1.00112223873442,5172.2349271827,3297.67262815746,"Continuous phylogenetic"
"b_z_log_hwi",-0.0050703813240185,-0.00122703685,0.157091867553541,0.15357172310319,-0.267718048,0.2514851875,1.00070912856183,6365.34165175429,3108.72673699923,"Continuous phylogenetic"
"b_z_log_range_provinces",0.51623907907,0.515065175,0.0997294708315835,0.098689980648,0.357608356,0.684692145,1.00048929495695,5404.71364207721,3172.52647301203,"Continuous phylogenetic"
"b_z_log_clutch_size",-0.19926128954764,-0.19604701,0.126212137615115,0.122028862284,-0.4115774535,0.00205044389499989,1.00119898416789,4659.28532918023,3071.04515336466,"Continuous phylogenetic"
"b_z_log_n_congeners",0.0691857575163354,0.071011626,0.100333527504875,0.0970990307574,-0.09955514075,0.2333133005,1.00011964222737,6192.7715699484,2880.64197077747,"Continuous phylogenetic"
"sd_phylo_species__Intercept",1.038849129565,1.02205425,0.330747485187108,0.31798426737,0.5221263695,1.607130285,1.00519636287772,545.244415173822,1290.88239494881,"Continuous phylogenetic"
"b_Intercept",-1.34106658944675,-1.34411195,0.389729458726354,0.37688129367,-1.966899245,-0.681486583500001,1.00014812282234,3810.29997720626,2573.92207291473,"Categorical phylogenetic"
"b_endemic_statusEndemic",-0.409115249174637,-0.396269155,0.406367566898215,0.406197944376,-1.094598115,0.244103904,1.00047575077378,5305.44180551983,2979.48975928134,"Categorical phylogenetic"
"b_migration_class_avPartial_migrant",0.368660611961499,0.37171246,0.222806279407675,0.223523773872,0.00133540718485002,0.7291679755,1.0003501982108,4806.3725346045,3244.07555133126,"Categorical phylogenetic"
"b_migration_class_avLong_distance_migrant",0.59829293053483,0.60323239,0.197252917283812,0.199395600474,0.26694435,0.911745237999999,1.00082497033153,3515.57291259929,3015.05454586157,"Categorical phylogenetic"
"b_diet_group_avOmnivore",0.264044743845858,0.264750555,0.234481132289103,0.234625756953,-0.1221039755,0.64607496,1.00084564628192,5358.89453732545,3487.14420924376,"Categorical phylogenetic"
"b_diet_group_avFruit_nectar",-0.231789172188997,-0.231549715,0.434096462601827,0.435606249414,-0.9616139285,0.4619685545,1.00168129848155,6711.25726371735,3021.35979659359,"Categorical phylogenetic"
"b_diet_group_avPlant_seed",0.141920757570618,0.14078333,0.313696549920204,0.316764057918,-0.3765247385,0.6596024205,1.00084867387407,4461.91123740958,2894.67039928401,"Categorical phylogenetic"
"b_diet_group_avVertebrate_aquatic",0.480758236567225,0.48471597,0.276632746054824,0.280125424026,0.0365940154,0.93332924,1.00102516498417,4544.9738856589,2933.77544050764,"Categorical phylogenetic"
"b_forest_associationForest_primary",0.47459567799915,0.47109474,0.197623375755695,0.195580359177,0.155481799,0.7972125835,1.00066889984615,4891.49287824464,3172.04314467291,"Categorical phylogenetic"
"sd_phylo_species__Intercept",0.826406948687456,0.81657574,0.316772341137399,0.316098859776,0.3163166255,1.35438625,1.00298656557956,564.468524015763,957.116922791662,"Categorical phylogenetic"
