"Order","Number of newly recorded bird species","Number of papers","Proportion of newly recorded bird species","Proportion to total species in the order"
"Passeriformes",289,383,"54.7%","33.6%"
"Charadriiformes",61,128,"11.6%","43.0%"
"Anseriformes",30,65,"5.7%","51.7%"
"Accipitriformes",28,59,"5.3%","50.9%"
"Pelecaniformes",19,38,"3.6%","54.3%"
"Gruiformes",15,30,"2.8%","51.7%"
"Strigiformes",12,18,"2.3%","37.5%"
"Columbiformes",11,18,"2.1%","32.4%"
"Galliformes",9,13,"1.7%","14.1%"
"Coraciiformes",8,14,"1.5%","34.8%"
"Piciformes",8,11,"1.5%","18.6%"
"Suliformes",7,14,"1.3%","53.8%"
"Ciconiiformes",5,11,"0.9%","71.4%"
"Procellariiformes",5,9,"0.9%","26.3%"
"Cuculiformes",4,12,"0.8%","20.0%"
"Gaviiformes",4,9,"0.8%","100.0%"
"Caprimulgiformes",4,4,"0.8%","18.2%"
"Podicipediformes",3,5,"0.6%","60.0%"
"Falconiformes",2,2,"0.4%","16.7%"
"Phoenicopteriformes",1,10,"0.2%","100.0%"
"Otidiformes",1,1,"0.2%","33.3%"
"Pterocliformes",1,1,"0.2%","33.3%"
"Trogoniformes",1,1,"0.2%","33.3%"
"Total",528,765,"100.0%","35.1%"
