order_bar,n_records,province_label_bar
Accipitriformes,4,Anhui
Anseriformes,3,Anhui
Charadriiformes,5,Anhui
Columbiformes,1,Anhui
Coraciiformes,0,Anhui
Gruiformes,3,Anhui
Others,3,Anhui
Passeriformes,20,Anhui
Pelecaniformes,2,Anhui
Strigiformes,1,Anhui
Suliformes,0,Anhui
Accipitriformes,2,Beijing
Anseriformes,1,Beijing
Charadriiformes,1,Beijing
Columbiformes,0,Beijing
Coraciiformes,1,Beijing
Gruiformes,1,Beijing
Others,2,Beijing
Passeriformes,8,Beijing
Pelecaniformes,0,Beijing
Strigiformes,1,Beijing
Suliformes,1,Beijing
Accipitriformes,1,Chongqing
Anseriformes,1,Chongqing
Charadriiformes,2,Chongqing
Columbiformes,0,Chongqing
Coraciiformes,0,Chongqing
Gruiformes,0,Chongqing
Others,0,Chongqing
Passeriformes,7,Chongqing
Pelecaniformes,0,Chongqing
Strigiformes,1,Chongqing
Suliformes,0,Chongqing
Accipitriformes,1,Fujian
Anseriformes,1,Fujian
Charadriiformes,5,Fujian
Columbiformes,0,Fujian
Coraciiformes,2,Fujian
Gruiformes,1,Fujian
Others,2,Fujian
Passeriformes,2,Fujian
Pelecaniformes,0,Fujian
Strigiformes,0,Fujian
Suliformes,2,Fujian
Accipitriformes,9,Gansu
Anseriformes,3,Gansu
Charadriiformes,5,Gansu
Columbiformes,2,Gansu
Coraciiformes,0,Gansu
Gruiformes,2,Gansu
Others,4,Gansu
Passeriformes,22,Gansu
Pelecaniformes,2,Gansu
Strigiformes,1,Gansu
Suliformes,0,Gansu
Accipitriformes,1,Guangdong
Anseriformes,1,Guangdong
Charadriiformes,0,Guangdong
Columbiformes,2,Guangdong
Coraciiformes,0,Guangdong
Gruiformes,1,Guangdong
Others,2,Guangdong
Passeriformes,4,Guangdong
Pelecaniformes,1,Guangdong
Strigiformes,0,Guangdong
Suliformes,1,Guangdong
Accipitriformes,2,Guangxi
Anseriformes,1,Guangxi
Charadriiformes,4,Guangxi
Columbiformes,0,Guangxi
Coraciiformes,0,Guangxi
Gruiformes,0,Guangxi
Others,4,Guangxi
Passeriformes,22,Guangxi
Pelecaniformes,2,Guangxi
Strigiformes,3,Guangxi
Suliformes,0,Guangxi
Accipitriformes,1,Guizhou
Anseriformes,4,Guizhou
Charadriiformes,5,Guizhou
Columbiformes,0,Guizhou
Coraciiformes,0,Guizhou
Gruiformes,0,Guizhou
Others,2,Guizhou
Passeriformes,18,Guizhou
Pelecaniformes,3,Guizhou
Strigiformes,0,Guizhou
Suliformes,0,Guizhou
Accipitriformes,1,Hainan
Anseriformes,2,Hainan
Charadriiformes,10,Hainan
Columbiformes,0,Hainan
Coraciiformes,0,Hainan
Gruiformes,0,Hainan
Others,0,Hainan
Passeriformes,15,Hainan
Pelecaniformes,2,Hainan
Strigiformes,1,Hainan
Suliformes,0,Hainan
Accipitriformes,0,Hebei
Anseriformes,2,Hebei
Charadriiformes,1,Hebei
Columbiformes,0,Hebei
Coraciiformes,0,Hebei
Gruiformes,0,Hebei
Others,3,Hebei
Passeriformes,5,Hebei
Pelecaniformes,0,Hebei
Strigiformes,1,Hebei
Suliformes,1,Hebei
Accipitriformes,2,Heilongjiang
Anseriformes,1,Heilongjiang
Charadriiformes,1,Heilongjiang
Columbiformes,1,Heilongjiang
Coraciiformes,0,Heilongjiang
Gruiformes,1,Heilongjiang
Others,1,Heilongjiang
Passeriformes,13,Heilongjiang
Pelecaniformes,1,Heilongjiang
Strigiformes,0,Heilongjiang
Suliformes,0,Heilongjiang
Accipitriformes,3,Henan
Anseriformes,4,Henan
Charadriiformes,3,Henan
Columbiformes,1,Henan
Coraciiformes,1,Henan
Gruiformes,0,Henan
Others,2,Henan
Passeriformes,22,Henan
Pelecaniformes,1,Henan
Strigiformes,1,Henan
Suliformes,0,Henan
Accipitriformes,0,Hong Kong
Anseriformes,0,Hong Kong
Charadriiformes,0,Hong Kong
Columbiformes,0,Hong Kong
Coraciiformes,0,Hong Kong
Gruiformes,0,Hong Kong
Others,0,Hong Kong
Passeriformes,1,Hong Kong
Pelecaniformes,0,Hong Kong
Strigiformes,0,Hong Kong
Suliformes,0,Hong Kong
Accipitriformes,0,Hubei
Anseriformes,2,Hubei
Charadriiformes,7,Hubei
Columbiformes,0,Hubei
Coraciiformes,0,Hubei
Gruiformes,0,Hubei
Others,0,Hubei
Passeriformes,25,Hubei
Pelecaniformes,1,Hubei
Strigiformes,0,Hubei
Suliformes,0,Hubei
Accipitriformes,6,Hunan
Anseriformes,1,Hunan
Charadriiformes,5,Hunan
Columbiformes,1,Hunan
Coraciiformes,0,Hunan
Gruiformes,1,Hunan
Others,3,Hunan
Passeriformes,40,Hunan
Pelecaniformes,1,Hunan
Strigiformes,1,Hunan
Suliformes,0,Hunan
Accipitriformes,2,Neimenggu
Anseriformes,1,Neimenggu
Charadriiformes,4,Neimenggu
Columbiformes,2,Neimenggu
Coraciiformes,1,Neimenggu
Gruiformes,3,Neimenggu
Others,2,Neimenggu
Passeriformes,19,Neimenggu
Pelecaniformes,0,Neimenggu
Strigiformes,1,Neimenggu
Suliformes,0,Neimenggu
Accipitriformes,3,Jiangsu
Anseriformes,2,Jiangsu
Charadriiformes,6,Jiangsu
Columbiformes,1,Jiangsu
Coraciiformes,1,Jiangsu
Gruiformes,0,Jiangsu
Others,2,Jiangsu
Passeriformes,29,Jiangsu
Pelecaniformes,3,Jiangsu
Strigiformes,0,Jiangsu
Suliformes,2,Jiangsu
Accipitriformes,0,Jiangxi
Anseriformes,1,Jiangxi
Charadriiformes,3,Jiangxi
Columbiformes,2,Jiangxi
Coraciiformes,0,Jiangxi
Gruiformes,1,Jiangxi
Others,0,Jiangxi
Passeriformes,20,Jiangxi
Pelecaniformes,1,Jiangxi
Strigiformes,1,Jiangxi
Suliformes,1,Jiangxi
Accipitriformes,0,Jilin
Anseriformes,6,Jilin
Charadriiformes,6,Jilin
Columbiformes,1,Jilin
Coraciiformes,0,Jilin
Gruiformes,2,Jilin
Others,1,Jilin
Passeriformes,7,Jilin
Pelecaniformes,1,Jilin
Strigiformes,0,Jilin
Suliformes,0,Jilin
Accipitriformes,4,Liaoning
Anseriformes,3,Liaoning
Charadriiformes,7,Liaoning
Columbiformes,0,Liaoning
Coraciiformes,1,Liaoning
Gruiformes,1,Liaoning
Others,4,Liaoning
Passeriformes,10,Liaoning
Pelecaniformes,1,Liaoning
Strigiformes,0,Liaoning
Suliformes,2,Liaoning
Accipitriformes,0,Macau
Anseriformes,0,Macau
Charadriiformes,0,Macau
Columbiformes,0,Macau
Coraciiformes,0,Macau
Gruiformes,0,Macau
Others,0,Macau
Passeriformes,0,Macau
Pelecaniformes,0,Macau
Strigiformes,0,Macau
Suliformes,0,Macau
Accipitriformes,3,Ningxia
Anseriformes,1,Ningxia
Charadriiformes,4,Ningxia
Columbiformes,0,Ningxia
