order_bar,n_records,year
Accipitriformes,0,2000
Anseriformes,1,2000
Caprimulgiformes,0,2000
Charadriiformes,1,2000
Ciconiiformes,0,2000
Columbiformes,0,2000
Coraciiformes,0,2000
Cuculiformes,0,2000
Falconiformes,0,2000
Galliformes,0,2000
Gaviiformes,0,2000
Gruiformes,0,2000
Others,0,2000
Passeriformes,2,2000
Pelecaniformes,1,2000
Phoenicopteriformes,1,2000
Piciformes,0,2000
Podicipediformes,0,2000
Procellariiformes,0,2000
Strigiformes,0,2000
Suliformes,0,2000
Accipitriformes,2,2001
Anseriformes,1,2001
Caprimulgiformes,0,2001
Charadriiformes,1,2001
Ciconiiformes,1,2001
Columbiformes,0,2001
Coraciiformes,0,2001
Cuculiformes,0,2001
Falconiformes,0,2001
Galliformes,0,2001
Gaviiformes,0,2001
Gruiformes,1,2001
Others,0,2001
Passeriformes,3,2001
Pelecaniformes,1,2001
Phoenicopteriformes,0,2001
Piciformes,0,2001
Podicipediformes,0,2001
Procellariiformes,0,2001
Strigiformes,0,2001
Suliformes,1,2001
Accipitriformes,0,2002
Anseriformes,0,2002
Caprimulgiformes,0,2002
Charadriiformes,0,2002
Ciconiiformes,0,2002
Columbiformes,0,2002
Coraciiformes,0,2002
Cuculiformes,0,2002
Falconiformes,0,2002
Galliformes,0,2002
Gaviiformes,0,2002
Gruiformes,2,2002
Others,0,2002
Passeriformes,4,2002
Pelecaniformes,1,2002
Phoenicopteriformes,0,2002
Piciformes,0,2002
Podicipediformes,0,2002
Procellariiformes,0,2002
Strigiformes,1,2002
Suliformes,0,2002
Accipitriformes,1,2003
Anseriformes,0,2003
Caprimulgiformes,0,2003
Charadriiformes,0,2003
Ciconiiformes,0,2003
Columbiformes,0,2003
Coraciiformes,0,2003
Cuculiformes,3,2003
Falconiformes,0,2003
Galliformes,0,2003
Gaviiformes,0,2003
Gruiformes,0,2003
Others,0,2003
Passeriformes,5,2003
Pelecaniformes,1,2003
Phoenicopteriformes,0,2003
Piciformes,0,2003
Podicipediformes,0,2003
Procellariiformes,0,2003
Strigiformes,0,2003
Suliformes,0,2003
Accipitriformes,0,2004
Anseriformes,1,2004
Caprimulgiformes,0,2004
Charadriiformes,0,2004
Ciconiiformes,0,2004
Columbiformes,0,2004
Coraciiformes,0,2004
Cuculiformes,0,2004
Falconiformes,0,2004
Galliformes,0,2004
Gaviiformes,0,2004
Gruiformes,1,2004
Others,0,2004
Passeriformes,3,2004
Pelecaniformes,1,2004
Phoenicopteriformes,0,2004
Piciformes,0,2004
Podicipediformes,0,2004
Procellariiformes,0,2004
Strigiformes,1,2004
Suliformes,0,2004
Accipitriformes,0,2005
Anseriformes,0,2005
Caprimulgiformes,0,2005
Charadriiformes,1,2005
Ciconiiformes,0,2005
Columbiformes,0,2005
Coraciiformes,0,2005
Cuculiformes,0,2005
Falconiformes,0,2005
Galliformes,0,2005
Gaviiformes,0,2005
Gruiformes,0,2005
Others,0,2005
Passeriformes,3,2005
Pelecaniformes,0,2005
Phoenicopteriformes,0,2005
Piciformes,0,2005
Podicipediformes,0,2005
Procellariiformes,1,2005
Strigiformes,2,2005
Suliformes,0,2005
Accipitriformes,1,2006
Anseriformes,2,2006
Caprimulgiformes,0,2006
Charadriiformes,9,2006
Ciconiiformes,0,2006
Columbiformes,2,2006
Coraciiformes,2,2006
Cuculiformes,0,2006
Falconiformes,0,2006
Galliformes,0,2006
Gaviiformes,1,2006
Gruiformes,0,2006
Others,1,2006
Passeriformes,24,2006
Pelecaniformes,4,2006
Phoenicopteriformes,0,2006
Piciformes,1,2006
Podicipediformes,0,2006
Procellariiformes,1,2006
Strigiformes,0,2006
Suliformes,1,2006
Accipitriformes,2,2007
Anseriformes,2,2007
Caprimulgiformes,0,2007
Charadriiformes,4,2007
Ciconiiformes,0,2007
Columbiformes,0,2007
Coraciiformes,0,2007
Cuculiformes,0,2007
Falconiformes,0,2007
Galliformes,2,2007
Gaviiformes,0,2007
Gruiformes,0,2007
Others,0,2007
Passeriformes,15,2007
Pelecaniformes,0,2007
Phoenicopteriformes,0,2007
Piciformes,0,2007
Podicipediformes,1,2007
Procellariiformes,0,2007
Strigiformes,0,2007
Suliformes,0,2007
Accipitriformes,1,2008
Anseriformes,2,2008
Caprimulgiformes,0,2008
Charadriiformes,2,2008
Ciconiiformes,0,2008
Columbiformes,0,2008
Coraciiformes,1,2008
Cuculiformes,0,2008
Falconiformes,0,2008
Galliformes,0,2008
Gaviiformes,0,2008
Gruiformes,0,2008
Others,0,2008
Passeriformes,9,2008
Pelecaniformes,1,2008
Phoenicopteriformes,0,2008
Piciformes,1,2008
Podicipediformes,1,2008
Procellariiformes,0,2008
Strigiformes,1,2008
Suliformes,0,2008
Accipitriformes,0,2009
Anseriformes,1,2009
Caprimulgiformes,0,2009
Charadriiformes,3,2009
Ciconiiformes,0,2009
Columbiformes,0,2009
Coraciiformes,1,2009
Cuculiformes,0,2009
Falconiformes,0,2009
Galliformes,0,2009
Gaviiformes,1,2009
Gruiformes,2,2009
Others,0,2009
Passeriformes,13,2009
Pelecaniformes,1,2009
Phoenicopteriformes,0,2009
Piciformes,0,2009
Podicipediformes,0,2009
Procellariiformes,0,2009
Strigiformes,0,2009
Suliformes,0,2009
Accipitriformes,5,2010
Anseriformes,3,2010
Caprimulgiformes,1,2010
Charadriiformes,7,2010
Ciconiiformes,0,2010
Columbiformes,0,2010
Coraciiformes,1,2010
Cuculiformes,0,2010
Falconiformes,0,2010
Galliformes,0,2010
Gaviiformes,0,2010
Gruiformes,1,2010
Others,0,2010
Passeriformes,28,2010
Pelecaniformes,2,2010
Phoenicopteriformes,1,2010
Piciformes,0,2010
Podicipediformes,0,2010
Procellariiformes,0,2010
Strigiformes,0,2010
Suliformes,0,2010
Accipitriformes,1,2011
Anseriformes,2,2011
Caprimulgiformes,0,2011
Charadriiformes,7,2011
Ciconiiformes,1,2011
Columbiformes,2,2011
Coraciiformes,1,2011
Cuculiformes,0,2011
Falconiformes,0,2011
Galliformes,0,2011
Gaviiformes,0,2011
Gruiformes,1,2011
Others,0,2011
Passeriformes,21,2011
Pelecaniformes,0,2011
Phoenicopteriformes,0,2011
Piciformes,0,2011
Podicipediformes,0,2011
Procellariiformes,0,2011
Strigiformes,1,2011
Suliformes,1,2011
Accipitriformes,3,2012
Anseriformes,1,2012
Caprimulgiformes,0,2012
Charadriiformes,4,2012
Ciconiiformes,0,2012
Columbiformes,0,2012
Coraciiformes,0,2012
Cuculiformes,0,2012
Falconiformes,0,2012
Galliformes,0,2012
Gaviiformes,1,2012
Gruiformes,1,2012
Others,0,2012
Passeriformes,10,2012
Pelecaniformes,0,2012
Phoenicopteriformes,0,2012
Piciformes,0,2012
Podicipediformes,0,2012
Procellariiformes,1,2012
Strigiformes,1,2012
