total_records,percentage,year
6,0.005870841487279843,2000
11,0.010763209393346379,2001
8,0.007827788649706457,2002
10,0.009784735812133072,2003
7,0.00684931506849315,2004
7,0.00684931506849315,2005
49,0.04794520547945205,2006
26,0.025440313111545987,2007
19,0.018590998043052837,2008
22,0.021526418786692758,2009
49,0.04794520547945205,2010
38,0.03718199608610567,2011
23,0.022504892367906065,2012
41,0.040117416829745595,2013
45,0.04403131115459882,2014
32,0.03131115459882583,2015
42,0.0410958904109589,2016
64,0.06262230919765166,2017
53,0.05185909980430528,2018
73,0.07142857142857142,2019
42,0.0410958904109589,2020
56,0.0547945205479452,2021
62,0.060665362035225046,2022
73,0.07142857142857142,2023
90,0.08806262230919765,2024
73,0.07142857142857142,2025
1,9.784735812133072e-4,NA
