province,year,effort_record
Shanghai,2002,13
Shanghai,2003,124
Shanghai,2004,119
Shanghai,2005,191
Shanghai,2006,222
Shanghai,2007,385
Shanghai,2008,304
Shanghai,2009,280
Shanghai,2010,183
Shanghai,2011,136
Shanghai,2012,129
Shanghai,2013,138
Shanghai,2014,56
Shanghai,2015,105
Shanghai,2016,400
Shanghai,2017,380
Shanghai,2018,824
Shanghai,2019,659
Shanghai,2020,2018
Shanghai,2021,6033
Shanghai,2022,9405
Shanghai,2023,18693
Shanghai,2024,22830
Yunnan,2000,2
Yunnan,2002,2
Yunnan,2003,41
Yunnan,2004,51
Yunnan,2005,112
Yunnan,2006,169
Yunnan,2007,159
Yunnan,2008,355
Yunnan,2009,250
Yunnan,2010,228
Yunnan,2011,149
Yunnan,2012,167
Yunnan,2013,145
Yunnan,2014,104
Yunnan,2015,536
Yunnan,2016,515
Yunnan,2017,497
Yunnan,2018,1268
Yunnan,2019,984
Yunnan,2020,2119
Yunnan,2021,3871
Yunnan,2022,6804
Yunnan,2023,16429
Yunnan,2024,16889
Inner Mongolia,2002,4
Inner Mongolia,2004,2
Inner Mongolia,2005,2
Inner Mongolia,2006,4
Inner Mongolia,2007,11
Inner Mongolia,2008,84
Inner Mongolia,2009,17
Inner Mongolia,2010,13
Inner Mongolia,2011,18
Inner Mongolia,2012,19
Inner Mongolia,2013,32
Inner Mongolia,2014,27
Inner Mongolia,2015,60
Inner Mongolia,2016,70
Inner Mongolia,2017,88
Inner Mongolia,2018,241
Inner Mongolia,2019,127
Inner Mongolia,2020,299
Inner Mongolia,2021,670
Inner Mongolia,2022,698
Inner Mongolia,2023,1828
Inner Mongolia,2024,2611
Beijing,2002,9
Beijing,2003,193
Beijing,2004,189
Beijing,2005,364
Beijing,2006,525
Beijing,2007,557
Beijing,2008,406
Beijing,2009,496
Beijing,2010,448
Beijing,2011,250
Beijing,2012,204
Beijing,2013,227
Beijing,2014,101
Beijing,2015,404
Beijing,2016,263
Beijing,2017,273
Beijing,2018,817
Beijing,2019,909
Beijing,2020,3360
Beijing,2021,8662
Beijing,2022,17469
Beijing,2023,25923
Beijing,2024,29854
Taiwan,2003,2
Taiwan,2004,2
Taiwan,2008,1
Taiwan,2009,17
Taiwan,2010,2
Taiwan,2011,5
Taiwan,2012,31
Taiwan,2013,45
Taiwan,2014,4
Taiwan,2015,13
Taiwan,2016,20
Taiwan,2017,58
Taiwan,2018,144
Taiwan,2019,68
Taiwan,2020,99
Taiwan,2021,12
Taiwan,2022,287
Taiwan,2023,535
Taiwan,2024,473
Jilin,2004,5
Jilin,2005,10
Jilin,2006,10
Jilin,2007,32
Jilin,2008,26
Jilin,2009,60
Jilin,2010,24
Jilin,2011,15
Jilin,2012,7
Jilin,2013,5
Jilin,2014,4
Jilin,2015,14
Jilin,2016,8
Jilin,2017,37
Jilin,2018,92
Jilin,2019,46
Jilin,2020,140
Jilin,2021,519
Jilin,2022,318
Jilin,2023,1378
Jilin,2024,1060
Sichuan,2002,4
Sichuan,2003,7
Sichuan,2004,50
Sichuan,2005,149
Sichuan,2006,183
Sichuan,2007,185
Sichuan,2008,154
Sichuan,2009,205
Sichuan,2010,122
Sichuan,2011,87
Sichuan,2012,119
Sichuan,2013,78
Sichuan,2014,3
Sichuan,2015,67
Sichuan,2016,29
Sichuan,2017,31
Sichuan,2018,333
Sichuan,2019,530
Sichuan,2020,1170
Sichuan,2021,3016
Sichuan,2022,4234
Sichuan,2023,10766
Sichuan,2024,11179
Tianjin,2002,2
Tianjin,2003,31
Tianjin,2004,28
Tianjin,2005,20
Tianjin,2006,18
Tianjin,2007,23
Tianjin,2008,24
Tianjin,2009,11
Tianjin,2010,37
Tianjin,2011,34
Tianjin,2012,22
Tianjin,2013,39
Tianjin,2014,10
Tianjin,2015,189
Tianjin,2016,103
Tianjin,2017,55
Tianjin,2018,146
Tianjin,2019,100
Tianjin,2020,203
Tianjin,2021,554
Tianjin,2022,1003
Tianjin,2023,3515
Tianjin,2024,3648
Ningxia,2005,4
Ningxia,2008,7
Ningxia,2009,4
Ningxia,2010,4
Ningxia,2011,9
Ningxia,2012,6
Ningxia,2013,5
Ningxia,2014,6
Ningxia,2015,2
Ningxia,2016,6
Ningxia,2017,7
Ningxia,2018,37
Ningxia,2019,25
Ningxia,2020,105
Ningxia,2021,266
Ningxia,2022,283
Ningxia,2023,578
Ningxia,2024,668
Anhui,2002,1
Anhui,2003,8
Anhui,2004,10
Anhui,2005,38
Anhui,2006,40
Anhui,2007,43
Anhui,2008,57
Anhui,2009,74
Anhui,2010,74
Anhui,2011,58
Anhui,2012,91
Anhui,2013,146
Anhui,2014,60
Anhui,2015,216
Anhui,2016,108
Anhui,2017,89
Anhui,2018,68
Anhui,2019,66
Anhui,2020,216
Anhui,2021,1553
Anhui,2022,1749
Anhui,2023,3380
Anhui,2024,3745
Shandong,2002,7
Shandong,2003,30
Shandong,2004,16
Shandong,2005,13
Shandong,2006,10
Shandong,2007,38
Shandong,2008,37
Shandong,2009,28
Shandong,2010,50
Shandong,2011,43
Shandong,2012,40
Shandong,2013,38
Shandong,2014,3
Shandong,2015,20
Shandong,2016,21
Shandong,2017,22
Shandong,2018,35
Shandong,2019,41
Shandong,2020,65
Shandong,2021,150
Shandong,2022,145
Shandong,2023,937
Shandong,2024,5513
Shanxi,2003,3
Shanxi,2004,5
Shanxi,2005,4
Shanxi,2006,12
Shanxi,2007,5
Shanxi,2008,4
Shanxi,2009,3
Shanxi,2010,4
Shanxi,2011,11
Shanxi,2012,6
Shanxi,2013,20
Shanxi,2014,7
Shanxi,2015,34
Shanxi,2016,34
Shanxi,2017,26
Shanxi,2018,65
Shanxi,2019,73
Shanxi,2020,232
Shanxi,2021,413
Shanxi,2022,402
Shanxi,2023,1404
Shanxi,2024,2463
Guangdong,2002,41
Guangdong,2003,366
Guangdong,2004,136
Guangdong,2005,170
Guangdong,2006,174
Guangdong,2007,450
Guangdong,2008,483
Guangdong,2009,604
Guangdong,2010,442
Guangdong,2011,601
Guangdong,2012,387
Guangdong,2013,494
Guangdong,2014,20
Guangdong,2015,534
Guangdong,2016,489
Guangdong,2017,509
Guangdong,2018,940
Guangdong,2019,1043
Guangdong,2020,3330
Guangdong,2021,8479
Guangdong,2022,16096
Guangdong,2023,27868
Guangdong,2024,27404
Guangxi,2002,5
Guangxi,2003,9
Guangxi,2004,16
Guangxi,2005,34
Guangxi,2006,56
Guangxi,2007,92
Guangxi,2008,167
Guangxi,2009,218
Guangxi,2010,97
Guangxi,2011,64
Guangxi,2012,53
Guangxi,2013,80
