threshold,model,model_label,term,term_label,estimate,std_error,p_value,hazard_ratio,hazard_ratio_low,hazard_ratio_high
50,M1,Climate model,temp_grad_z,Temperature gradient,-0.05843005772327803,0.05186446603002064,0.2599153068181208,0.9432442107401858,0.852071861571515,1.0441720718883312
50,M2,Effort model,log_effort_record_z,Record effort,-0.09518921300273868,0.12476266942826862,0.44548588078461593,0.9092008855621496,0.7119667663871047,1.1610742092665882
50,M3,Climate + effort model,log_effort_record_z,Record effort,-0.10166386344871207,0.12527099439980802,0.4170490303187535,0.9033331439294552,0.7066675058422076,1.1547308489145125
50,M3,Climate + effort model,temp_grad_z,Temperature gradient,-0.06026440530482199,0.0519326681183468,0.24587237386207417,0.9415155589622316,0.8503966129805747,1.042397787381842
50,M4,Joint-driver interaction model,log_effort_record_z,Record effort,-0.08295033685604106,0.12599265505748553,0.5102975903895876,0.9203968558866504,0.7189985479754858,1.178208738684288
50,M4,Joint-driver interaction model,temp_grad_z,Temperature gradient,-0.13717683057649596,0.05408736879255994,0.01120600752655387,0.8718160487663732,0.784124027023266,0.969315053094348
50,M4,Joint-driver interaction model,temp_grad_z:log_effort_record_z,Temperature x record effort,0.2163201680282819,0.04545660201554716,1.947198985630686e-6,1.2414998039202338,1.1356727743746151,1.3571882657684948
100,M1,Climate model,temp_grad_z,Temperature gradient,-0.07604988595235962,0.05114719390850942,0.13704575194983784,0.9267699726034776,0.8383677887896971,1.0244937766029856
100,M2,Effort model,log_effort_record_z,Record effort,-0.10994222643698316,0.1231445327354868,0.3719695596596543,0.8958858923214759,0.7037687122080438,1.1404478746184783
100,M3,Climate + effort model,log_effort_record_z,Record effort,-0.11814501940251255,0.12342986045936875,0.33847467003706744,0.8885671837885178,0.6976292024851923,1.1317640335198216
100,M3,Climate + effort model,temp_grad_z,Temperature gradient,-0.07818808742027329,0.05120188008078653,0.1267473333638049,0.9247904687308572,0.8364874410310416,1.0224151243696926
100,M4,Joint-driver interaction model,log_effort_record_z,Record effort,-0.08760484129968944,0.12386989878339236,0.4794218889408136,0.9161228191087984,0.7186435207309397,1.167868345683004
100,M4,Joint-driver interaction model,temp_grad_z,Temperature gradient,-0.14286249736818785,0.05277242057334001,0.00678649852701913,0.8668732580553198,0.781690464931519,0.9613386362558208
100,M4,Joint-driver interaction model,temp_grad_z:log_effort_record_z,Temperature x record effort,0.20766750056972752,0.04516080426818539,4.257453488944704e-6,1.2308038599228284,1.126541504757715,1.3447157829544312
200,M1,Climate model,temp_grad_z,Temperature gradient,-0.08258689998086469,0.05252357324998144,0.1158629621901214,0.920731422837177,0.8306613372859796,1.0205679678912405
200,M2,Effort model,log_effort_record_z,Record effort,-0.0790931484546544,0.1236582794425096,0.5224257781363577,0.9239538555627396,0.7250871850167849,1.177362867321245
200,M3,Climate + effort model,log_effort_record_z,Record effort,-0.0876714864420723,0.12397254909738815,0.4794517228464,0.9160617660075476,0.7184510651991642,1.168025492325268
200,M3,Climate + effort model,temp_grad_z,Temperature gradient,-0.08419473825405573,0.05257499494936469,0.10928354769002536,0.9192522250902468,0.8292432605469231,1.0190310775345202
200,M4,Joint-driver interaction model,log_effort_record_z,Record effort,-0.05812872122269095,0.1244911543376952,0.6405495784260944,0.9435284874791772,0.7392409342816779,1.2042704420173886
200,M4,Joint-driver interaction model,temp_grad_z,Temperature gradient,-0.1404136046735167,0.05399928353327878,0.00931459756706485,0.8689987391194801,0.7817250486935722,0.96601587713388
200,M4,Joint-driver interaction model,temp_grad_z:log_effort_record_z,Temperature x record effort,0.1973564085750272,0.0466666339242228,2.346605137201217e-5,1.218178132476624,1.111699367249576,1.3348554529770524
