"order","n_new_species","n_papers","n_species_total_order","prop_new_species_all","prop_to_total_species_order"
"Passeriformes",317,391,859,0.546551724137931,0.369033760186263
"Charadriiformes",72,130,142,0.124137931034483,0.507042253521127
"Anseriformes",32,66,58,0.0551724137931034,0.551724137931034
"Accipitriformes",29,62,55,0.05,0.527272727272727
"Pelecaniformes",22,44,35,0.0379310344827586,0.628571428571429
"Gruiformes",17,33,29,0.0293103448275862,0.586206896551724
"Columbiformes",11,18,34,0.0189655172413793,0.323529411764706
"Strigiformes",11,18,32,0.0189655172413793,0.34375
"Galliformes",11,13,64,0.0189655172413793,0.171875
"Coraciiformes",9,16,23,0.0155172413793103,0.391304347826087
"Piciformes",8,11,43,0.0137931034482759,0.186046511627907
"Suliformes",7,15,13,0.0120689655172414,0.538461538461538
"Cuculiformes",6,12,20,0.0103448275862069,0.3
"Procellariiformes",6,9,19,0.0103448275862069,0.31578947368421
"Ciconiiformes",5,11,7,0.00862068965517241,0.714285714285714
"Gaviiformes",4,9,4,0.00689655172413793,1
"Caprimulgiformes",4,4,22,0.00689655172413793,0.181818181818182
"Podicipediformes",3,5,5,0.00517241379310345,0.6
"Falconiformes",2,2,12,0.00344827586206897,0.166666666666667
"Phoenicopteriformes",1,13,1,0.00172413793103448,1
"Otidiformes",1,1,3,0.00172413793103448,0.333333333333333
"Pterocliformes",1,1,3,0.00172413793103448,0.333333333333333
"Trogoniformes",1,1,3,0.00172413793103448,0.333333333333333
"Total",580,785,1504,1,0.38563829787234
