"species","species_cn","order","order_cn","family","family_cn","genus","genus_cn","tree_label_direct","target_tree_label","bridge_type","bridge_note","tree_label_final","exact_match","bridged_match","unresolved","match_status"
"Accipiter badius","褐耳鹰","Accipitriformes","鹰形目","Accipitridae","鹰科","Accipiter","鹰属","Accipiter_badius",NA,NA,NA,"Accipiter_badius",TRUE,FALSE,FALSE,"Exact match"
"Accipiter gentilis","苍鹰","Accipitriformes","鹰形目","Accipitridae","鹰科","Accipiter","鹰属","Accipiter_gentilis",NA,NA,NA,"Accipiter_gentilis",TRUE,FALSE,FALSE,"Exact match"
"Accipiter gularis","日本松雀鹰","Accipitriformes","鹰形目","Accipitridae","鹰科","Accipiter","鹰属","Accipiter_gularis",NA,NA,NA,"Accipiter_gularis",TRUE,FALSE,FALSE,"Exact match"
"Accipiter nisus","雀鹰","Accipitriformes","鹰形目","Accipitridae","鹰科","Accipiter","鹰属","Accipiter_nisus",NA,NA,NA,"Accipiter_nisus",TRUE,FALSE,FALSE,"Exact match"
"Accipiter soloensis","赤腹鹰","Accipitriformes","鹰形目","Accipitridae","鹰科","Accipiter","鹰属","Accipiter_soloensis",NA,NA,NA,"Accipiter_soloensis",TRUE,FALSE,FALSE,"Exact match"
"Accipiter trivirgatus","凤头鹰","Accipitriformes","鹰形目","Accipitridae","鹰科","Accipiter","鹰属","Accipiter_trivirgatus",NA,NA,NA,"Accipiter_trivirgatus",TRUE,FALSE,FALSE,"Exact match"
"Accipiter virgatus","松雀鹰","Accipitriformes","鹰形目","Accipitridae","鹰科","Accipiter","鹰属","Accipiter_virgatus",NA,NA,NA,"Accipiter_virgatus",TRUE,FALSE,FALSE,"Exact match"
"Aegypius monachus","秃鹫","Accipitriformes","鹰形目","Accipitridae","鹰科","Aegypius","秃鹫属","Aegypius_monachus",NA,NA,NA,"Aegypius_monachus",TRUE,FALSE,FALSE,"Exact match"
"Aquila chrysaetos","金雕","Accipitriformes","鹰形目","Accipitridae","鹰科","Aquila","鵰属","Aquila_chrysaetos",NA,NA,NA,"Aquila_chrysaetos",TRUE,FALSE,FALSE,"Exact match"
"Aquila fasciata","白腹隼雕","Accipitriformes","鹰形目","Accipitridae","鹰科","Aquila","鵰属","Aquila_fasciata",NA,NA,NA,"Aquila_fasciata",TRUE,FALSE,FALSE,"Exact match"
"Aquila heliaca","白肩雕","Accipitriformes","鹰形目","Accipitridae","鹰科","Aquila","鵰属","Aquila_heliaca",NA,NA,NA,"Aquila_heliaca",TRUE,FALSE,FALSE,"Exact match"
"Aquila nipalensis","草原雕","Accipitriformes","鹰形目","Accipitridae","鹰科","Aquila","鵰属","Aquila_nipalensis",NA,NA,NA,"Aquila_nipalensis",TRUE,FALSE,FALSE,"Exact match"
"Aviceda jerdoni","褐冠鹃隼","Accipitriformes","鹰形目","Accipitridae","鹰科","Aviceda","鹃隼属","Aviceda_jerdoni",NA,NA,NA,"Aviceda_jerdoni",TRUE,FALSE,FALSE,"Exact match"
"Aviceda leuphotes","黑冠鹃隼","Accipitriformes","鹰形目","Accipitridae","鹰科","Aviceda","鹃隼属","Aviceda_leuphotes",NA,NA,NA,"Aviceda_leuphotes",TRUE,FALSE,FALSE,"Exact match"
"Butastur indicus","灰脸鵟鹰","Accipitriformes","鹰形目","Accipitridae","鹰科","Butastur","鵟鹰属","Butastur_indicus",NA,NA,NA,"Butastur_indicus",TRUE,FALSE,FALSE,"Exact match"
"Butastur liventer","棕翅鵟鹰","Accipitriformes","鹰形目","Accipitridae","鹰科","Butastur","鵟鹰属","Butastur_liventer",NA,NA,NA,"Butastur_liventer",TRUE,FALSE,FALSE,"Exact match"
"Butastur teesa","白眼鵟鹰","Accipitriformes","鹰形目","Accipitridae","鹰科","Butastur","鵟鹰属","Butastur_teesa",NA,NA,NA,"Butastur_teesa",TRUE,FALSE,FALSE,"Exact match"
"Buteo buteo","欧亚鵟","Accipitriformes","鹰形目","Accipitridae","鹰科","Buteo","鵟属","Buteo_buteo",NA,NA,NA,"Buteo_buteo",TRUE,FALSE,FALSE,"Exact match"
"Buteo hemilasius","大鵟","Accipitriformes","鹰形目","Accipitridae","鹰科","Buteo","鵟属","Buteo_hemilasius",NA,NA,NA,"Buteo_hemilasius",TRUE,FALSE,FALSE,"Exact match"
"Buteo japonicus","普通鵟","Accipitriformes","鹰形目","Accipitridae","鹰科","Buteo","鵟属","Buteo_japonicus",NA,NA,NA,"Buteo_japonicus",TRUE,FALSE,FALSE,"Exact match"
"Buteo lagopus","毛脚鵟","Accipitriformes","鹰形目","Accipitridae","鹰科","Buteo","鵟属","Buteo_lagopus",NA,NA,NA,"Buteo_lagopus",TRUE,FALSE,FALSE,"Exact match"
"Buteo refectus","喜山鵟","Accipitriformes","鹰形目","Accipitridae","鹰科","Buteo","鵟属","Buteo_refectus",NA,NA,NA,"Buteo_refectus",TRUE,FALSE,FALSE,"Exact match"
"Buteo rufinus","棕尾鵟","Accipitriformes","鹰形目","Accipitridae","鹰科","Buteo","鵟属","Buteo_rufinus",NA,NA,NA,"Buteo_rufinus",TRUE,FALSE,FALSE,"Exact match"
"Circaetus gallicus","短趾雕","Accipitriformes","鹰形目","Accipitridae","鹰科","Circaetus","短趾鵰属","Circaetus_gallicus",NA,NA,NA,"Circaetus_gallicus",TRUE,FALSE,FALSE,"Exact match"
"Circus aeruginosus","白头鹞","Accipitriformes","鹰形目","Accipitridae","鹰科","Circus","鹞属","Circus_aeruginosus",NA,NA,NA,"Circus_aeruginosus",TRUE,FALSE,FALSE,"Exact match"
"Circus cyaneus","白尾鹞","Accipitriformes","鹰形目","Accipitridae","鹰科","Circus","鹞属","Circus_cyaneus",NA,NA,NA,"Circus_cyaneus",TRUE,FALSE,FALSE,"Exact match"
"Circus macrourus","草原鹞","Accipitriformes","鹰形目","Accipitridae","鹰科","Circus","鹞属","Circus_macrourus",NA,NA,NA,"Circus_macrourus",TRUE,FALSE,FALSE,"Exact match"
"Circus melanoleucos","鹊鹞","Accipitriformes","鹰形目","Accipitridae","鹰科","Circus","鹞属","Circus_melanoleucos",NA,NA,NA,"Circus_melanoleucos",TRUE,FALSE,FALSE,"Exact match"
"Circus pygargus","乌灰鹞","Accipitriformes","鹰形目","Accipitridae","鹰科","Circus","鹞属","Circus_pygargus",NA,NA,NA,"Circus_pygargus",TRUE,FALSE,FALSE,"Exact match"
"Circus spilonotus","白腹鹞","Accipitriformes","鹰形目","Accipitridae","鹰科","Circus","鹞属","Circus_spilonotus",NA,NA,NA,"Circus_spilonotus",TRUE,FALSE,FALSE,"Exact match"
"Clanga clanga","乌雕","Accipitriformes","鹰形目","Accipitridae","鹰科","Clanga",NA,"Clanga_clanga",NA,NA,NA,"Clanga_clanga",TRUE,FALSE,FALSE,"Exact match"
"Elanus caeruleus","黑翅鸢","Accipitriformes","鹰形目","Accipitridae","鹰科","Elanus","黑翅鸢属","Elanus_caeruleus",NA,NA,NA,"Elanus_caeruleus",TRUE,FALSE,FALSE,"Exact match"
"Gypaetus barbatus","胡兀鹫","Accipitriformes","鹰形目","Accipitridae","鹰科","Gypaetus","胡兀鹫属","Gypaetus_barbatus",NA,NA,NA,"Gypaetus_barbatus",TRUE,FALSE,FALSE,"Exact match"
