"species","species_cn","english_name","order","iucn","n_event_records","tree_label_direct","target_tree_label","bridge_type","bridge_note","tree_label_final","exact_match","bridged_match","unresolved","match_status"
"Accipiter badius","褐耳鹰","Accipiter badius","Accipitriformes","LC",1,"Accipiter_badius",NA,NA,NA,"Accipiter_badius",TRUE,FALSE,FALSE,"Exact match"
"Accipiter gularis","日本松雀鹰","Japanese Sparrowhawk","Accipitriformes","LC",1,"Accipiter_gularis",NA,NA,NA,"Accipiter_gularis",TRUE,FALSE,FALSE,"Exact match"
"Accipiter soloensis","赤腹鹰","Chinese Sparrowhawk","Accipitriformes","LC",3,"Accipiter_soloensis",NA,NA,NA,"Accipiter_soloensis",TRUE,FALSE,FALSE,"Exact match"
"Accipiter trivirgatus","凤头鹰","Crested Goshawk","Accipitriformes","LC",7,"Accipiter_trivirgatus",NA,NA,NA,"Accipiter_trivirgatus",TRUE,FALSE,FALSE,"Exact match"
"Accipiter virgatus","松雀鹰","Besra","Accipitriformes","LC",1,"Accipiter_virgatus",NA,NA,NA,"Accipiter_virgatus",TRUE,FALSE,FALSE,"Exact match"
"Aquila fasciata","白腹隼雕","Bonelli's Eagle","Accipitriformes","LC",2,"Aquila_fasciata",NA,NA,NA,"Aquila_fasciata",TRUE,FALSE,FALSE,"Exact match"
"Aquila heliaca","白肩雕","Eastern Imperial Eagle","Accipitriformes","VU",2,"Aquila_heliaca",NA,NA,NA,"Aquila_heliaca",TRUE,FALSE,FALSE,"Exact match"
"Aviceda jerdoni","褐冠鹃隼","Jerdon's Baza","Accipitriformes","LC",2,"Aviceda_jerdoni",NA,NA,NA,"Aviceda_jerdoni",TRUE,FALSE,FALSE,"Exact match"
"Aviceda leuphotes","黑冠鹃隼","Black Baza","Accipitriformes","LC",4,"Aviceda_leuphotes",NA,NA,NA,"Aviceda_leuphotes",TRUE,FALSE,FALSE,"Exact match"
"Butastur indicus","灰脸鵟鹰","Grey-faced Buzzard","Accipitriformes","LC",2,"Butastur_indicus",NA,NA,NA,"Butastur_indicus",TRUE,FALSE,FALSE,"Exact match"
"Circaetus gallicus","短趾雕","Short-toed Snake-eagle","Accipitriformes","LC",3,"Circaetus_gallicus",NA,NA,NA,"Circaetus_gallicus",TRUE,FALSE,FALSE,"Exact match"
"Circus aeruginosus","白头鹞","Western Marsh Harrier","Accipitriformes","LC",2,"Circus_aeruginosus",NA,NA,NA,"Circus_aeruginosus",TRUE,FALSE,FALSE,"Exact match"
"Circus macrourus","草原鹞","Pallid Harrier","Accipitriformes","NT",1,"Circus_macrourus",NA,NA,NA,"Circus_macrourus",TRUE,FALSE,FALSE,"Exact match"
"Circus spilonotus","白腹鹞","Eastern Marsh-harrier","Accipitriformes","LC",1,"Circus_spilonotus",NA,NA,NA,"Circus_spilonotus",TRUE,FALSE,FALSE,"Exact match"
"Clanga clanga","乌雕","Greater Spotted Eagle","Accipitriformes","VU",1,"Clanga_clanga",NA,NA,NA,"Clanga_clanga",TRUE,FALSE,FALSE,"Exact match"
"Elanus caeruleus","黑翅鸢","Black-winged Kite","Accipitriformes","LC",8,"Elanus_caeruleus",NA,NA,NA,"Elanus_caeruleus",TRUE,FALSE,FALSE,"Exact match"
"Gypaetus barbatus","胡兀鹫","Bearded Vulture","Accipitriformes","NT",2,"Gypaetus_barbatus",NA,NA,NA,"Gypaetus_barbatus",TRUE,FALSE,FALSE,"Exact match"
"Gyps himalayensis","高山兀鹫","Himalayan Griffon","Accipitriformes","NT",2,"Gyps_himalayensis",NA,NA,NA,"Gyps_himalayensis",TRUE,FALSE,FALSE,"Exact match"
"Gyps tenuirostris","细嘴兀鹫","Slender-billed Vulture","Accipitriformes","CR",1,"Gyps_tenuirostris",NA,NA,NA,"Gyps_tenuirostris",TRUE,FALSE,FALSE,"Exact match"
"Haliaeetus leucoryphus","玉带海雕","Pallas's Fish-eagle","Accipitriformes","EN",1,"Haliaeetus_leucoryphus",NA,NA,NA,"Haliaeetus_leucoryphus",TRUE,FALSE,FALSE,"Exact match"
"Haliaeetus pelagicus","虎头海雕","Steller's Sea-eagle","Accipitriformes","VU",1,"Haliaeetus_pelagicus",NA,NA,NA,"Haliaeetus_pelagicus",TRUE,FALSE,FALSE,"Exact match"
"Haliastur indus","栗鸢","Brahminy Kite","Accipitriformes","LC",1,"Haliastur_indus",NA,NA,NA,"Haliastur_indus",TRUE,FALSE,FALSE,"Exact match"
"Hieraaetus pennatus","靴隼雕","Booted Eagle","Accipitriformes","LC",7,"Hieraaetus_pennatus",NA,NA,NA,"Hieraaetus_pennatus",TRUE,FALSE,FALSE,"Exact match"
"Ictinaetus malaiensis","林雕","Black Eagle","Accipitriformes","LC",2,"Ictinaetus_malaiensis",NA,NA,NA,"Ictinaetus_malaiensis",TRUE,FALSE,FALSE,"Exact match"
"Lophotriorchis kienerii","棕腹隼雕","Rufous-bellied Eagle","Accipitriformes","NT",1,"Lophotriorchis_kienerii",NA,NA,NA,"Lophotriorchis_kienerii",TRUE,FALSE,FALSE,"Exact match"
"Nisaetus nipalensis","鹰雕","Mountain Hawk-eagle","Accipitriformes","EN",2,"Nisaetus_nipalensis",NA,NA,NA,"Nisaetus_nipalensis",TRUE,FALSE,FALSE,"Exact match"
"Pernis ptilorhynchus","凤头蜂鹰","Oriental Honey-buzzard","Accipitriformes","LC",2,"Pernis_ptilorhynchus",NA,NA,NA,"Pernis_ptilorhynchus",TRUE,FALSE,FALSE,"Exact match"
"Spilornis cheela","蛇雕","Crested Serpent-eagle","Accipitriformes","LC",2,"Spilornis_cheela",NA,NA,NA,"Spilornis_cheela",TRUE,FALSE,FALSE,"Exact match"
"Aix galericulata","鸳鸯","Mandarin Duck","Anseriformes","LC",2,"Aix_galericulata",NA,NA,NA,"Aix_galericulata",TRUE,FALSE,FALSE,"Exact match"
"Anas carolinensis","美洲绿翅鸭","Green-Winged Teal","Anseriformes","LC",1,"Anas_carolinensis","Anas_crecca","Checklist-tree concept bridge","Tree follows a less split taxonomic concept than the checklist for this teal.","Anas_crecca",FALSE,TRUE,FALSE,"Bridged match"
"Anser albifrons","白额雁","Greater White-fronted Goose","Anseriformes","LC",1,"Anser_albifrons",NA,NA,NA,"Anser_albifrons",TRUE,FALSE,FALSE,"Exact match"
"Anser anser","灰雁","Greylag Goose","Anseriformes","LC",1,"Anser_anser",NA,NA,NA,"Anser_anser",TRUE,FALSE,FALSE,"Exact match"
"Anser caerulescens","雪雁","Snow Goose","Anseriformes","LC",4,"Anser_caerulescens",NA,NA,NA,"Anser_caerulescens",TRUE,FALSE,FALSE,"Exact match"
"Anser erythropus","小白额雁","Lesser White-fronted Goose","Anseriformes","VU",1,"Anser_erythropus",NA,NA,NA,"Anser_erythropus",TRUE,FALSE,FALSE,"Exact match"
"Anser fabalis","豆雁","Bean Goose","Anseriformes","LC",1,"Anser_fabalis",NA,NA,NA,"Anser_fabalis",TRUE,FALSE,FALSE,"Exact match"
"Anser indicus","斑头雁","Bar-headed Goose","Anseriformes","LC",2,"Anser_indicus",NA,NA,NA,"Anser_indicus",TRUE,FALSE,FALSE,"Exact match"
"Asarcornis scutulata","白翅栖鸭","White-winged Duck","Anseriformes","CR",1,"Asarcornis_scutulata",NA,NA,NA,"Asarcornis_scutulata",TRUE,FALSE,FALSE,"Exact match"
"Aythya collaris","环颈潜鸭","Ring-necked Duck","Anseriformes","LC",1,"Aythya_collaris",NA,NA,NA,"Aythya_collaris",TRUE,FALSE,FALSE,"Exact match"
"Aythya fuligula","凤头潜鸭","Tufted Duck","Anseriformes","LC",1,"Aythya_fuligula",NA,NA,NA,"Aythya_fuligula",TRUE,FALSE,FALSE,"Exact match"
"Aythya nyroca","白眼潜鸭","Ferruginous Duck","Anseriformes","NT",2,"Aythya_nyroca",NA,NA,NA,"Aythya_nyroca",TRUE,FALSE,FALSE,"Exact match"
"Branta bernicla","黑雁","Brent Goose","Anseriformes","LC",2,"Branta_bernicla",NA,NA,NA,"Branta_bernicla",TRUE,FALSE,FALSE,"Exact match"
"Branta canadensis","加拿大雁","Canada Goose","Anseriformes","LC",3,"Branta_canadensis",NA,NA,NA,"Branta_canadensis",TRUE,FALSE,FALSE,"Exact match"
"Branta hutchinsii","小美洲黑雁","Cackling Goose","Anseriformes","LC",3,"Branta_hutchinsii",NA,NA,NA,"Branta_hutchinsii",TRUE,FALSE,FALSE,"Exact match"
