"order","n_china_species","n_new_species","prop_new_species","prop_pct"
"Passeriformes",860,289,0.336046511627907,33.6046511627907
"Charadriiformes",142,60,0.422535211267606,42.2535211267606
"Anseriformes",58,29,0.5,50
"Accipitriformes",55,28,0.509090909090909,50.9090909090909
"Pelecaniformes",35,18,0.514285714285714,51.4285714285714
"Gruiformes",29,15,0.517241379310345,51.7241379310345
"Strigiformes",32,11,0.34375,34.375
"Columbiformes",34,11,0.323529411764706,32.3529411764706
"Galliformes",64,9,0.140625,14.0625
"Coraciiformes",23,8,0.347826086956522,34.7826086956522
"Piciformes",43,8,0.186046511627907,18.6046511627907
"Suliformes",13,6,0.461538461538462,46.1538461538462
"Procellariiformes",19,5,0.263157894736842,26.3157894736842
"Ciconiiformes",7,4,0.571428571428571,57.1428571428571
"Cuculiformes",20,4,0.2,20
"Caprimulgiformes",22,4,0.181818181818182,18.1818181818182
"Gaviiformes",4,3,0.75,75
"Podicipediformes",5,3,0.6,60
"Phoenicopteriformes",1,1,1,100
"Otidiformes",3,1,0.333333333333333,33.3333333333333
"Pterocliformes",3,1,0.333333333333333,33.3333333333333
"Trogoniformes",3,1,0.333333333333333,33.3333333333333
"Falconiformes",12,1,0.0833333333333333,8.33333333333333
"Bucerotiformes",6,0,0,0
"Phaethontiformes",3,0,0,0
"Psittaciformes",9,0,0,0
