"source_species","target_tree_label","bridge_type","bridge_note"
"Haliaeetus humilis","Icthyophaga_humilis","Genus update","Checklist genus differs from McTavish/Clements tree taxonomy."
"Haliaeetus leucogaster","Icthyophaga_leucogaster","Genus update","Checklist genus differs from McTavish/Clements tree taxonomy."
"Charadrius alexandrinus","Anarhynchus_alexandrinus","Genus update","Recent plover generic revision."
"Charadrius asiaticus","Anarhynchus_asiaticus","Genus update","Recent plover generic revision."
"Charadrius atrifrons","Anarhynchus_atrifrons","Genus update","Recent plover generic revision."
"Charadrius dealbatus","Anarhynchus_dealbatus","Genus update","Recent plover generic revision."
"Charadrius leschenaultii","Anarhynchus_leschenaultii","Genus update","Recent plover generic revision."
"Charadrius mongolus","Anarhynchus_mongolus","Genus update","Recent plover generic revision."
"Charadrius veredus","Anarhynchus_veredus","Genus update","Recent plover generic revision."
"Larus brunnicephalus","Chroicocephalus_brunnicephalus","Genus update","Checklist gull genus differs from tree taxonomy."
"Larus genei","Chroicocephalus_genei","Genus update","Checklist gull genus differs from tree taxonomy."
"Larus ichthyaetus","Ichthyaetus_ichthyaetus","Genus update","Checklist gull genus differs from tree taxonomy."
"Larus relictus","Ichthyaetus_relictus","Genus update","Checklist gull genus differs from tree taxonomy."
"Grus canadensis","Antigone_canadensis","Genus update","Crane genus placement updated in the tree taxonomy."
"Grus vipio","Antigone_vipio","Genus update","Crane genus placement updated in the tree taxonomy."
"Grus virgo","Anthropoides_virgo","Genus update","Crane genus placement updated in the tree taxonomy."
"Amaurornis cinerea","Poliolimnas_cinereus","Genus and epithet update","Checklist rail concept linked to current tree taxonomy."
"Gorsachius magnificus","Oroanassa_magnifica","Genus and epithet update","White-eared Night Heron updated in tree taxonomy."
"Otocichla mupinensis","Turdus_mupinensis","Genus update","Chinese Thrush placed in Turdus in the tree taxonomy."
"Paradoxornis gularis","Psittiparus_gularis","Genus update","Parrotbill generic revision."
"Paradoxornis heudei","Calamornis_heudei","Genus update","Parrotbill generic revision."
"Pardaliparus venustulus","Periparus_venustulus","Genus update","Tit generic revision."
"Bubo nipalensis","Ketupa_nipalensis","Genus update","Eagle-owl generic revision in the tree taxonomy."
"Leiopicus auriceps","Dendrocoptes_auriceps","Genus update","Woodpecker generic revision."
"Anas carolinensis","Anas_crecca","Checklist-tree concept bridge","Tree follows a less split taxonomic concept than the checklist for this teal."
"Phoenicopterus roseus","Phoenicopterus_roseus","Direct-format safeguard","Explicit bridge retained to make the audit table complete."
