"species","order","family","genus","iucn"
"Abroscopus albogularis","Passeriformes","Scotocercidae","Abroscopus","LC"
"Acanthis flammea","Passeriformes","Fringillidae","Acanthis","LC"
"Accipiter badius","Accipitriformes","Accipitridae","Accipiter","LC"
"Accipiter gularis","Accipitriformes","Accipitridae","Accipiter","LC"
"Accipiter soloensis","Accipitriformes","Accipitridae","Accipiter","LC"
"Accipiter trivirgatus","Accipitriformes","Accipitridae","Accipiter","LC"
"Accipiter virgatus","Accipitriformes","Accipitridae","Accipiter","LC"
"Acridotheres cristatellus","Passeriformes","Sturnidae","Acridotheres","LC"
"Acridotheres tristis","Passeriformes","Sturnidae","Acridotheres","LC"
"Acrocephalus agricola","Passeriformes","Acrocephalidae","Acrocephalus","LC"
"Acrocephalus bistrigiceps","Passeriformes","Acrocephalidae","Acrocephalus","LC"
"Acrocephalus concinens","Passeriformes","Acrocephalidae","Acrocephalus","LC"
"Acrocephalus dumetorum","Passeriformes","Acrocephalidae","Acrocephalus","LC"
"Acrocephalus orientalis","Passeriformes","Acrocephalidae","Acrocephalus","LC"
"Acrocephalus tangorum","Passeriformes","Acrocephalidae","Acrocephalus","VU"
"Aegithalos bonvaloti","Passeriformes","Aegithalidae","Aegithalos","LC"
"Aegithalos caudatus","Passeriformes","Aegithalidae","Aegithalos","LC"
"Aegithalos concinnus","Passeriformes","Aegithalidae","Aegithalos","LC"
"Aegithalos fuliginosus","Passeriformes","Aegithalidae","Aegithalos","LC"
"Aerodramus brevirostris","Caprimulgiformes","Apodidae","Aerodramus","LC"
"Aethopyga christinae","Passeriformes","Nectariniidae","Aethopyga","LC"
"Aethopyga gouldiae","Passeriformes","Nectariniidae","Aethopyga","LC"
"Agropsar philippensis","Passeriformes","Sturnidae","Agropsar","LC"
"Agropsar sturninus","Passeriformes","Sturnidae","Agropsar","LC"
"Aix galericulata","Anseriformes","Anatidae","Aix","LC"
"Alauda gulgula","Passeriformes","Alaudidae","Alauda","LC"
"Alaudala cheleensis","Passeriformes","Alaudidae","Alaudala","LC"
"Alaudala heinei","Passeriformes","Alaudidae","Alaudala","LC"
"Alcedo hercules","Coraciiformes","Alcedinidae","Alcedo","NT"
"Alcippe morrisonia","Passeriformes","Alcippeidae","Alcippe","NA"
"Amaurornis cinerea","Gruiformes","Rallidae","Poliolimnas","LC"
"Amaurornis phoenicurus","Gruiformes","Rallidae","Amaurornis","LC"
"Anas carolinensis","Anseriformes","Anatidae","Anas","LC"
"Anastomus oscitans","Ciconiiformes","Ciconiidae","Anastomus","LC"
"Anhinga melanogaster","Suliformes","Anhingidae","Anhinga","LC"
"Anous stolidus","Charadriiformes","Laridae","Anous","LC"
"Anser albifrons","Anseriformes","Anatidae","Anser","LC"
"Anser anser","Anseriformes","Anatidae","Anser","LC"
"Anser caerulescens","Anseriformes","Anatidae","Anser","LC"
"Anser erythropus","Anseriformes","Anatidae","Anser","VU"
"Anser fabalis","Anseriformes","Anatidae","Anser","LC"
"Anser indicus","Anseriformes","Anatidae","Anser","LC"
"Anthreptes malacensis","Passeriformes","Nectariniidae","Aethopyga","LC"
"Anthus godlewskii","Passeriformes","Motacillidae","Anthus","LC"
"Anthus gustavi","Passeriformes","Motacillidae","Anthus","LC"
"Anthus pratensis","Passeriformes","Motacillidae","Anthus","LC"
"Anthus richardi","Passeriformes","Motacillidae","Anthus","LC"
"Anthus roseatus","Passeriformes","Motacillidae","Anthus","LC"
"Anthus trivialis","Passeriformes","Motacillidae","Anthus","LC"
"Aquila fasciata","Accipitriformes","Accipitridae","Aquila","LC"
"Aquila heliaca","Accipitriformes","Accipitridae","Aquila","VU"
"Ardea intermedia","Pelecaniformes","Ardeidae","Ardea","LC"
"Ardea purpurea","Pelecaniformes","Ardeidae","Ardea","LC"
"Ardenna pacifica","Procellariiformes","Procellariidae","Ardenna","LC"
"Ardenna tenuirostris","Procellariiformes","Procellariidae","Ardenna","LC"
"Ardeola bacchus","Pelecaniformes","Ardeidae","Ardeola","LC"
"Ardeola grayii","Pelecaniformes","Ardeidae","Ardeola","LC"
"Ardeola speciosa","Pelecaniformes","Ardeidae","Ardeola","LC"
"Arenaria interpres","Charadriiformes","Scolopacidae","Arenaria","NT"
"Artamus fuscus","Passeriformes","Artamidae","Artamus","LC"
"Asarcornis scutulata","Anseriformes","Anatidae","Asarcornis","CR"
"Asio flammeus","Strigiformes","Strigidae","Asio","LC"
"Athene noctua","Strigiformes","Strigidae","Athene","LC"
"Aviceda jerdoni","Accipitriformes","Accipitridae","Aviceda","LC"
"Aviceda leuphotes","Accipitriformes","Accipitridae","Aviceda","LC"
"Aythya collaris","Anseriformes","Anatidae","Aythya","LC"
"Aythya fuligula","Anseriformes","Anatidae","Aythya","LC"
"Aythya nyroca","Anseriformes","Anatidae","Aythya","NT"
"Bombycilla japonica","Passeriformes","Bombycillidae","Bombycilla","NT"
"Brachyramphus perdix","Charadriiformes","Alcidae","Brachyramphus","NT"
"Branta bernicla","Anseriformes","Anatidae","Branta","LC"
"Branta canadensis","Anseriformes","Anatidae","Branta","LC"
"Branta hutchinsii","Anseriformes","Anatidae","Branta","LC"
"Branta leucopsis","Anseriformes","Anatidae","Branta","LC"
"Branta ruficollis","Anseriformes","Anatidae","Branta","VU"
"Bubo nipalensis","Strigiformes","Strigidae","Bubo","LC"
"Bubulcus ibis","Pelecaniformes","Ardeidae","Bubulcus","NA"
"Bucanetes mongolicus","Passeriformes","Fringillidae","Bucanetes","LC"
"Bulweria bulwerii","Procellariiformes","Procellariidae","Bulweria","LC"
"Butastur indicus","Accipitriformes","Accipitridae","Butastur","LC"
"Cacomantis merulinus","Cuculiformes","Cuculidae","Cacomantis","LC"
"Calandrella brachydactyla","Passeriformes","Alaudidae","Calandrella","LC"
"Calidris acuminata","Charadriiformes","Scolopacidae","Calidris","VU"
"Calidris alba","Charadriiformes","Scolopacidae","Calidris","LC"
"Calidris alpina","Charadriiformes","Scolopacidae","Calidris","NT"
"Calidris bairdii","Charadriiformes","Scolopacidae","Calidris","LC"
"Calidris canutus","Charadriiformes","Scolopacidae","Calidris","NT"
"Calidris falcinellus","Charadriiformes","Scolopacidae","Calidris","VU"
"Calidris melanotos","Charadriiformes","Scolopacidae","Calidris","LC"
