species,scenario,gcm,total_area_km2,delta_area_km2
Phasianus colchicus,current,ensemble_mean,3491408.5909994976,0
Chrysolophus pictus,current,ensemble_mean,1393661.2936404417,0
Lophura nycthemera,current,ensemble_mean,2223386.698920488,0
Tragopan temminckii,current,ensemble_mean,1387512.1909371954,0
Syrmaticus reevesii,current,ensemble_mean,1195742.994167844,0
Tragopan caboti,current,ensemble_mean,929817.9532592684,0
Cygnus cygnus,current,ensemble_mean,7514842.17420678,0
Syrmaticus humiae,current,ensemble_mean,251693.1444034471,0
Pardaliparus venustulus,current,ensemble_mean,2846830.480351535,0
Phylloscopus yunnanensis,current,ensemble_mean,908133.8476818629,0
Gracupica nigricollis,current,ensemble_mean,4026181.0063192905,0
Grus nigricollis,current,ensemble_mean,4057546.968105426,0
Podiceps nigricollis,current,ensemble_mean,4267116.792750172,0
Ciconia boyciana,current,ensemble_mean,6288716.857113045,0
Pseudopodoces humilis,current,ensemble_mean,2724884.7718074145,0
Crossoptilon mantchuricum,current,ensemble_mean,2455827.2472843667,0
Parayuhina diademata,current,ensemble_mean,592548.0617428399,0
Aythya nyroca,current,ensemble_mean,1646754.3962307516,0
Otus semitorques,current,ensemble_mean,2195031.658334164,0
Spizixos semitorques,current,ensemble_mean,1758466.1403018055,0
Haliaeetus leucoryphus,current,ensemble_mean,2498210.974726738,0
Cygnus columbianus,current,ensemble_mean,6546728.766845473,0
Ficedula albicilla,current,ensemble_mean,9497588.343125427,0
Carpodacus vinaceus,current,ensemble_mean,4839815.640439537,0
Grus japonensis,current,ensemble_mean,2162213.9732896094,0
Gypaetus barbatus,current,ensemble_mean,1348992.5713631436,0
Aquila heliaca,current,ensemble_mean,3379648.640154549,0
Clanga clanga,current,ensemble_mean,3867982.838835359,0
Garrulax canorus,current,ensemble_mean,1688956.1253803347,0
Sibirionetta formosa,current,ensemble_mean,1848357.804657517,0
Leucogeranus leucogeranus,current,ensemble_mean,1611909.7710229307,0
Grus monacha,current,ensemble_mean,2204500.3611573447,0
Sitta villosa,current,ensemble_mean,3989626.5213570236,0
Emberiza siemsseni,current,ensemble_mean,1299400.3697486348,0
Glaucidium cuculoides,current,ensemble_mean,805527.6992702278,0
Emberiza yessoensis,current,ensemble_mean,2425615.0248397086,0
Bombycilla japonica,current,ensemble_mean,719529.3129089702,0
Syrrhaptes paradoxus,current,ensemble_mean,408979.8095414808,0
Otocichla mupinensis,current,ensemble_mean,1689918.120625778,0
Phylloscopus omeiensis,current,ensemble_mean,1001673.2455695499,0
Grus vipio,current,ensemble_mean,3379911.303451893,0
Aegithalos fuliginosus,current,ensemble_mean,2473497.2010514056,0
Cygnus olor,current,ensemble_mean,3089284.59222349,0
Gyps himalayensis,current,ensemble_mean,828610.7419405377,0
Platalea minor,current,ensemble_mean,3000707.540366251,0
Ciconia nigra,current,ensemble_mean,1289137.212887488,0
Circus macrourus,current,ensemble_mean,1213606.7418799133,0
Larus relictus,current,ensemble_mean,2837277.0273565846,0
Anser erythropus,current,ensemble_mean,3919496.1711537745,0
Limnodromus semipalmatus,current,ensemble_mean,4016768.273017788,0
Dicrurus remifer,current,ensemble_mean,401025.48224888614,0
Tetrax tetrax,current,ensemble_mean,2320182.9803890153,0
Egretta eulophotes,current,ensemble_mean,2898981.238532136,0
Tringa guttifer,current,ensemble_mean,5146930.207062169,0
Accipiter trivirgatus,current,ensemble_mean,2908259.7364402744,0
Crex crex,current,ensemble_mean,2037135.2930983144,0
Garrulax maesi,current,ensemble_mean,295158.48071114114,0
Moupinia poecilotis,current,ensemble_mean,1010583.2322858722,0
Parus monticolus,current,ensemble_mean,2691180.2189030433,0
Certhia tianquanensis,current,ensemble_mean,477458.34468986053,0
Pericrocotus ethologus,current,ensemble_mean,2162578.193883656,0
