new_record_species,new_record_order,record_count_new_record,first_year,provinces_recorded,matched_species,match_status,match_type,taxonomy_source,review_flag,avibase_ioc_review,birdlife_review,candidate_species,note,model_ready
Acanthis flammea,Passeriformes,1,2015,Qinghai,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,,NA,FALSE
Accipiter badius,Accipitriformes,1,2025,Hunan,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,Accipiter nisus | Accipiter trivirgatus | Accipiter gentilis | Accipiter virgatus affinis | Accipiter soloensis,same genus Accipiter nisus | Accipiter trivirgatus | Accipiter gentilis | Accipiter virgatus affinis | Accipiter soloensis,FALSE
Acridotheres cristatellus,Passeriformes,1,2023,Jilin,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,,NA,FALSE
Acridotheres tristis,Passeriformes,4,2010,Chongqing | Guizhou | Jiangxi | Shandong,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,,NA,FALSE
Acrocephalus agricola,Passeriformes,1,2023,Inner Mongolia,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,Acrocephalus sorghophilus | Acrocephalus tangorum,same genus Acrocephalus sorghophilus | Acrocephalus tangorum,FALSE
Acrocephalus bistrigiceps,Passeriformes,2,2017,Guizhou | Tibet,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,Acrocephalus sorghophilus | Acrocephalus tangorum,same genus Acrocephalus sorghophilus | Acrocephalus tangorum,FALSE
Acrocephalus concinens,Passeriformes,1,2006,Shanghai,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,Acrocephalus sorghophilus | Acrocephalus tangorum,same genus Acrocephalus sorghophilus | Acrocephalus tangorum,FALSE
Acrocephalus dumetorum,Passeriformes,1,2017,Sichuan,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,Acrocephalus sorghophilus | Acrocephalus tangorum,same genus Acrocephalus sorghophilus | Acrocephalus tangorum,FALSE
Acrocephalus orientalis,Passeriformes,1,2024,Tibet,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,Streptopelia orientalis orientalis | Merops orientalis,same epithet Streptopelia orientalis orientalis | Merops orientalis,FALSE
Aegithalos bonvaloti,Passeriformes,1,2007,Shaanxi,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,Aegithalos concinnus talifuensis | Aegithalos fuliginosus,same genus Aegithalos concinnus talifuensis | Aegithalos fuliginosus,FALSE
Aegithalos caudatus,Passeriformes,2,2020,Shandong | Tianjin,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,Aegithalos concinnus talifuensis | Aegithalos fuliginosus,same genus Aegithalos concinnus talifuensis | Aegithalos fuliginosus,FALSE
Aethopyga christinae,Passeriformes,2,2004,Anhui | Hubei,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,Aethopyga nipalensis koelzi | Aethopyga gouldiae dabryii | Aethopyga ignicauda ignicauda | Aethopyga saturata assamensis,same genus Aethopyga nipalensis koelzi | Aethopyga gouldiae dabryii | Aethopyga ignicauda ignicauda | Aethopyga saturata assamensis,FALSE
Agropsar sturninus,Passeriformes,1,2023,Tibet,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,,NA,FALSE
Alaudala cheleensis,Passeriformes,1,2024,Fujian,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,,NA,FALSE
Alaudala heinei,Passeriformes,1,2025,Yunnan,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,,NA,FALSE
Alcippe morrisonia,Passeriformes,1,2016,Henan,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,Alcippe morrisonia fraterculus | Alcippe morrisonia yunnanensis,same epithet Alcippe morrisonia fraterculus | Alcippe morrisonia yunnanensis,FALSE
Amaurornis cinerea,Gruiformes,1,2017,Yunnan,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,Motacilla cinerea | Motacilla cinerea robusta,same epithet Motacilla cinerea | Motacilla cinerea robusta,FALSE
Amaurornis phoenicurus,Gruiformes,5,2002,Heilongjiang | Inner Mongolia | Jilin | Qinghai,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,,NA,FALSE
Anas carolinensis,NA,1,2023,Shandong,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,Anas formosa | Anas strepera strepera | Anas clypeata | Anas platyrhynchos platyrhynchos | Anas poecilorhyncha zonorhyncha,same genus Anas formosa | Anas strepera strepera | Anas clypeata | Anas platyrhynchos platyrhynchos | Anas poecilorhyncha zonorhyncha,FALSE
Anastomus oscitans,Ciconiiformes,5,2018,Hebei | Hunan | Qinghai | Shaanxi | Sichuan,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,,NA,FALSE
Anhinga melanogaster,Suliformes,1,2024,Yunnan,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,,NA,FALSE
Anous stolidus,Charadriiformes,2,2020,Anhui | Jiangsu,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,,NA,FALSE
Anser albifrons,Anseriformes,1,2023,Gansu,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,Anser erythropus | Anser cygnoides | Anser anser,same genus Anser erythropus | Anser cygnoides | Anser anser,FALSE
Anser caerulescens,Anseriformes,4,2000,Guizhou | Jilin | Liaoning | Shandong,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,Anser erythropus | Anser cygnoides | Anser anser,same genus Anser erythropus | Anser cygnoides | Anser anser,FALSE
Anser fabalis,Anseriformes,1,2016,Tibet,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,Anser erythropus | Anser cygnoides | Anser anser,same genus Anser erythropus | Anser cygnoides | Anser anser,FALSE
Anser indicus,Anseriformes,2,2007,Chongqing | Henan,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,Caprimulgus indicus jotaka | Tarsiger indicus yunnanensis | Butastur indicus | Tarsiger indicus,same epithet Caprimulgus indicus jotaka | Tarsiger indicus yunnanensis | Butastur indicus | Tarsiger indicus,FALSE
Anthreptes malacensis,Passeriformes,1,2010,Yunnan,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,,NA,FALSE
Anthus godlewskii,Passeriformes,1,2007,Shaanxi,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,Anthus sylvanus | Anthus roseatus,same genus Anthus sylvanus | Anthus roseatus,FALSE
Anthus gustavi,Passeriformes,4,2010,Anhui | Hubei | Xinjiang,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,Anthus sylvanus | Anthus roseatus,same genus Anthus sylvanus | Anthus roseatus,FALSE
Anthus pratensis,Passeriformes,1,2025,Jiangsu,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,Anthus sylvanus | Anthus roseatus,same genus Anthus sylvanus | Anthus roseatus,FALSE
Anthus richardi,Passeriformes,1,2017,Tibet,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,Anthus sylvanus | Anthus roseatus,same genus Anthus sylvanus | Anthus roseatus,FALSE
Anthus trivialis,Passeriformes,1,2024,Jiangsu,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,Anthus sylvanus | Anthus roseatus,same genus Anthus sylvanus | Anthus roseatus,FALSE
Aquila fasciata,Accipitriformes,2,2020,Liaoning | Shaanxi,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,Aquila clanga | Aquila chrysaetos | Aquila heliaca | Aquila nipalensis,same genus Aquila clanga | Aquila chrysaetos | Aquila heliaca | Aquila nipalensis,FALSE
Ardea intermedia,Pelecaniformes,2,2006,Jilin | Liaoning,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,,NA,FALSE
Ardea purpurea,Pelecaniformes,1,2019,Xinjiang,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,,NA,FALSE
Ardenna pacifica,Procellariiformes,2,2013,Shanghai | Zhejiang,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,,NA,FALSE
Ardenna tenuirostris,Procellariiformes,2,2014,Fujian | Hebei,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,,NA,FALSE
