variable,keep,rationale
bio_13,TRUE,Retained after correlation screening
bio_14,TRUE,Retained after correlation screening
bio_4,TRUE,Retained after correlation screening
bio_7,TRUE,Retained after correlation screening
elev,TRUE,Retained after correlation screening
bio_1,FALSE,Dropped because |r| >= 0.7 with a higher-priority variable
bio_10,FALSE,Dropped because |r| >= 0.7 with a higher-priority variable
bio_11,FALSE,Dropped because |r| >= 0.7 with a higher-priority variable
bio_12,FALSE,Dropped because |r| >= 0.7 with a higher-priority variable
bio_15,FALSE,Dropped because |r| >= 0.7 with a higher-priority variable
bio_16,FALSE,Dropped because |r| >= 0.7 with a higher-priority variable
bio_17,FALSE,Dropped because |r| >= 0.7 with a higher-priority variable
bio_18,FALSE,Dropped because |r| >= 0.7 with a higher-priority variable
bio_19,FALSE,Dropped because |r| >= 0.7 with a higher-priority variable
bio_2,FALSE,Dropped because |r| >= 0.7 with a higher-priority variable
bio_3,FALSE,Dropped because |r| >= 0.7 with a higher-priority variable
bio_5,FALSE,Dropped because |r| >= 0.7 with a higher-priority variable
bio_6,FALSE,Dropped because |r| >= 0.7 with a higher-priority variable
bio_8,FALSE,Dropped because |r| >= 0.7 with a higher-priority variable
bio_9,FALSE,Dropped because |r| >= 0.7 with a higher-priority variable
