algorithm,mean_auc,mean_tss,mean_threshold,available,species
GAM,0.6781029462714027,0.40093419307642186,0.11775616953027503,TRUE,Pycnonotus sinensis
GBM,0.6404263962306833,0.44752293904281265,0.08746188319439396,TRUE,Pycnonotus sinensis
GLM,0.7400588186516883,0.46142347720889376,0.15840745308950427,TRUE,Pycnonotus sinensis
MaxEnt,NA,NA,NA,TRUE,Pycnonotus sinensis
RF,0.6036411944107565,0.13513428514016623,0.005333333333333334,TRUE,Pycnonotus sinensis
GAM,0.7319961103733422,0.46979301241344296,0.11403110273296589,TRUE,Spilopelia chinensis
GBM,0.697539965992988,0.48181665036917243,0.08895166024357685,TRUE,Spilopelia chinensis
GLM,0.78830051940073,0.540066708977521,0.18320514131942855,TRUE,Spilopelia chinensis
MaxEnt,NA,NA,NA,TRUE,Spilopelia chinensis
RF,0.5919207122326655,0.22778119866738109,0.008,TRUE,Spilopelia chinensis
GAM,0.7524552607190829,0.4934779569840443,0.11749481044212308,TRUE,Egretta garzetta
GBM,0.7429345256778198,0.54325457329164,0.08814021495044999,TRUE,Egretta garzetta
GLM,0.813603201614551,0.5813321763677377,0.1714496773820699,TRUE,Egretta garzetta
MaxEnt,NA,NA,NA,TRUE,Egretta garzetta
RF,0.6169785476976937,0.24586743953334703,0.01,TRUE,Egretta garzetta
GAM,0.7432195068150188,0.48814812915590877,0.13748837766798244,TRUE,Turdus mandarinus
GBM,0.7075427186570205,0.4856690728156968,0.08291539938683856,TRUE,Turdus mandarinus
GLM,0.7831938166823263,0.5199689967123899,0.1599664964874964,TRUE,Turdus mandarinus
MaxEnt,NA,NA,NA,TRUE,Turdus mandarinus
RF,0.589503140099843,0.21223687119827167,0.004666666666666667,TRUE,Turdus mandarinus
GAM,0.6401527563732293,0.18933813242682793,0.23505846694131757,TRUE,Hirundo rustica
GBM,0.6339680761671356,0.20115849052315368,0.06906466776129506,TRUE,Hirundo rustica
GLM,0.6986254983315292,0.3703634019229159,0.17638596395757636,TRUE,Hirundo rustica
MaxEnt,NA,NA,NA,TRUE,Hirundo rustica
RF,0.6164157537234116,0.03994950981709837,0.002,TRUE,Hirundo rustica
GAM,0.7648307921703579,0.5122804004371501,0.15263085988669342,TRUE,Lanius schach
GBM,0.6961181172765624,0.47351238468449436,0.082048402538076,TRUE,Lanius schach
GLM,0.8034836959366075,0.5552123954964661,0.17211603816265866,TRUE,Lanius schach
MaxEnt,NA,NA,NA,TRUE,Lanius schach
RF,0.5888453478132718,0.24113067745641992,0.004666666666666667,TRUE,Lanius schach
GAM,0.7765022039913818,0.5743889374237119,0.14391271472511388,TRUE,Acridotheres cristatellus
GBM,0.7254414507703133,0.525245942603219,0.09496864974746126,TRUE,Acridotheres cristatellus
GLM,0.8023779701480559,0.566845080570957,0.152821642853258,TRUE,Acridotheres cristatellus
MaxEnt,NA,NA,NA,TRUE,Acridotheres cristatellus
RF,0.5861348737240766,0.26132474841266384,0.005333333333333334,TRUE,Acridotheres cristatellus
GAM,0.7562335616701186,0.5015509638280836,0.09062854001048584,TRUE,Copsychus saularis
GBM,0.6996403889030569,0.5027272322374352,0.06578549160487238,TRUE,Copsychus saularis
GLM,0.8091950130095243,0.5656670126586696,0.17100047432737633,TRUE,Copsychus saularis
MaxEnt,NA,NA,NA,TRUE,Copsychus saularis
RF,0.6057408791425882,0.32141934863344873,0.007333333333333333,TRUE,Copsychus saularis
GAM,0.6822813899775565,0.3974721795235061,0.1226701276399857,TRUE,Chloris sinica
GBM,0.6352689860217485,0.37790537824827053,0.07812447674547915,TRUE,Chloris sinica
GLM,0.7364707186827211,0.46034132085266316,0.17781886490470575,TRUE,Chloris sinica
MaxEnt,NA,NA,NA,TRUE,Chloris sinica
RF,0.5922969696378223,0.1308138471263825,0.006666666666666667,TRUE,Chloris sinica
GAM,0.7490318165316779,0.4569172986232098,0.08179285530135712,TRUE,Nycticorax nycticorax
GBM,0.7323646856497958,0.5092550183830085,0.09235188734059419,TRUE,Nycticorax nycticorax
GLM,0.8160840275017078,0.5727776390168081,0.22991607067206274,TRUE,Nycticorax nycticorax
MaxEnt,NA,NA,NA,TRUE,Nycticorax nycticorax
RF,0.6128181826457185,0.21125058846531056,0.020666666666666667,TRUE,Nycticorax nycticorax
GAM,0.7420790167151317,0.46001204369642656,0.08099000366565043,TRUE,Ardeola bacchus
GBM,0.6889377711552245,0.4116043237143886,0.0863117075789837,TRUE,Ardeola bacchus
GLM,0.7824909275604874,0.5409029294568335,0.1698372130071746,TRUE,Ardeola bacchus
MaxEnt,NA,NA,NA,TRUE,Ardeola bacchus
RF,0.6420086477913242,0.2008064196040465,0.010666666666666668,TRUE,Ardeola bacchus
GAM,0.7024542455140456,0.435686924780509,0.12544050683212177,TRUE,Spodiopsar sericeus
GBM,0.6804536464955394,0.49491177464114294,0.08768361072498847,TRUE,Spodiopsar sericeus
GLM,0.7676306829081782,0.5081449341517807,0.1591158355546689,TRUE,Spodiopsar sericeus
MaxEnt,NA,NA,NA,TRUE,Spodiopsar sericeus
RF,0.5795766328500217,0.2187165949704688,0.006,TRUE,Spodiopsar sericeus
GAM,0.7399328770476934,0.37632960272303695,0.27717831037794494,TRUE,Spodiopsar cineraceus
GBM,0.6957975163386778,0.3725913775833074,0.10067259886719632,TRUE,Spodiopsar cineraceus
GLM,0.7246636920070948,0.42133222082619,0.23359409925363764,TRUE,Spodiopsar cineraceus
MaxEnt,NA,NA,NA,TRUE,Spodiopsar cineraceus
RF,0.5822064947634994,0.11980217133956397,0.006,TRUE,Spodiopsar cineraceus
GAM,0.7194182293504023,0.4831997606473518,0.0852447095064702,TRUE,Aegithalos concinnus
GBM,0.6719148878230182,0.4219643201185603,0.0468056680420944,TRUE,Aegithalos concinnus
GLM,0.7738896841200154,0.5481967611007252,0.15354559934569006,TRUE,Aegithalos concinnus
MaxEnt,NA,NA,NA,TRUE,Aegithalos concinnus
RF,0.594533792031265,0.2729395457408167,0.007333333333333334,TRUE,Aegithalos concinnus
GAM,0.6771388137784085,0.44495797473040116,0.10727640299256312,TRUE,Spizixos semitorques
GBM,0.643329640847943,0.3445983007789552,0.06356647817906536,TRUE,Spizixos semitorques
GLM,0.7171329207136058,0.4519976950045073,0.17906993284536618,TRUE,Spizixos semitorques
MaxEnt,NA,NA,NA,TRUE,Spizixos semitorques
RF,0.5740100777584842,0.20059525346529067,0.004,TRUE,Spizixos semitorques
GAM,0.6561459727002449,0.2439232493537243,0.10043410830870321,TRUE,Phasianus colchicus
GBM,0.6197689501716853,0.23396516005639642,0.057809447444646084,TRUE,Phasianus colchicus
GLM,0.6448073872025567,0.25900530091757695,0.15654065190836508,TRUE,Phasianus colchicus
MaxEnt,NA,NA,NA,TRUE,Phasianus colchicus
RF,0.6017725573051794,0.023238279092779025,0.017333333333333333,TRUE,Phasianus colchicus
GAM,0.675703015215197,0.31082554717104477,0.08388101018415196,TRUE,Cecropis daurica
GBM,0.6267359086212025,0.3030038991956244,0.07933712534112973,TRUE,Cecropis daurica
GLM,0.7150258489796169,0.4446621973144609,0.15438713676643775,TRUE,Cecropis daurica
MaxEnt,NA,NA,NA,TRUE,Cecropis daurica
RF,0.6007971735541767,0.07678988197155938,0.004,TRUE,Cecropis daurica
GAM,0.7359648528756537,0.4689371014977467,0.10649315837516757,TRUE,Prinia inornata
GBM,0.662411352472551,0.4570149775255749,0.08330803253952915,TRUE,Prinia inornata
GLM,0.7814336529115422,0.4922924857343083,0.14426146366709383,TRUE,Prinia inornata
MaxEnt,NA,NA,NA,TRUE,Prinia inornata
RF,0.5647172908988471,0.28178296631141697,0.005333333333333334,TRUE,Prinia inornata
GAM,0.7114973557246502,0.3773082508405422,0.10035122001789233,TRUE,Phylloscopus proregulus
GBM,0.6618080946481181,0.34510466130207396,0.06202795234236708,TRUE,Phylloscopus proregulus
GLM,0.7432817792618093,0.4803313254503193,0.15278898711290434,TRUE,Phylloscopus proregulus
MaxEnt,NA,NA,NA,TRUE,Phylloscopus proregulus
RF,0.6061545510309729,0.1192818549637074,0.01,TRUE,Phylloscopus proregulus
GAM,0.7347743920648087,0.40502410016216356,0.10291741639107464,TRUE,Emberiza pusilla
GBM,0.6927670302150357,0.4182713390745005,0.0788336119373252,TRUE,Emberiza pusilla
GLM,0.7728267803535742,0.5132576189962319,0.17421381352114296,TRUE,Emberiza pusilla
MaxEnt,NA,NA,NA,TRUE,Emberiza pusilla
RF,0.5649605506812689,0.1646706445511949,0.013333333333333334,TRUE,Emberiza pusilla
GAM,0.6779110056509198,0.44410707478416256,0.0959559482604393,TRUE,Pterorhinus sannio
GBM,0.6437295396562199,0.4110059533099852,0.0626119728915555,TRUE,Pterorhinus sannio
GLM,0.7252341312718061,0.4915330734952651,0.13528817510316074,TRUE,Pterorhinus sannio
