species,scenario,cell_threshold,n_provinces,suitable_area_km2
Abroscopus albogularis,current,3,31,2207415.942288658
Abroscopus albogularis,current,10,30,2207415.942288658
Abroscopus albogularis,current,20,30,2207415.942288658
Abroscopus albogularis,current,50,29,2207415.942288658
Abroscopus albogularis,current,100,25,2207415.942288658
Abroscopus albogularis,current,200,23,2207415.942288658
Acanthis flammea,current,3,28,2568647.3853933783
Acanthis flammea,current,10,27,2568647.3853933783
Acanthis flammea,current,20,27,2568647.3853933783
Acanthis flammea,current,50,25,2568647.3853933783
Acanthis flammea,current,100,22,2568647.3853933783
Acanthis flammea,current,200,20,2568647.3853933783
Accipiter badius,current,3,22,437205.14136134053
Accipiter badius,current,10,22,437205.14136134053
Accipiter badius,current,20,22,437205.14136134053
Accipiter badius,current,50,21,437205.14136134053
Accipiter badius,current,100,18,437205.14136134053
Accipiter badius,current,200,17,437205.14136134053
Accipiter gularis,current,3,32,2817265.790375667
Accipiter gularis,current,10,32,2817265.790375667
Accipiter gularis,current,20,32,2817265.790375667
Accipiter gularis,current,50,31,2817265.790375667
Accipiter gularis,current,100,30,2817265.790375667
Accipiter gularis,current,200,29,2817265.790375667
Accipiter soloensis,current,3,32,3092963.831233578
Accipiter soloensis,current,10,32,3092963.831233578
Accipiter soloensis,current,20,32,3092963.831233578
Accipiter soloensis,current,50,32,3092963.831233578
Accipiter soloensis,current,100,29,3092963.831233578
Accipiter soloensis,current,200,28,3092963.831233578
Accipiter trivirgatus,current,3,24,2051410.7722390378
Accipiter trivirgatus,current,10,23,2051410.7722390378
Accipiter trivirgatus,current,20,23,2051410.7722390378
Accipiter trivirgatus,current,50,22,2051410.7722390378
Accipiter trivirgatus,current,100,20,2051410.7722390378
Accipiter trivirgatus,current,200,20,2051410.7722390378
Accipiter virgatus,current,3,27,2306011.864008288
Accipiter virgatus,current,10,26,2306011.864008288
Accipiter virgatus,current,20,25,2306011.864008288
Accipiter virgatus,current,50,25,2306011.864008288
Accipiter virgatus,current,100,24,2306011.864008288
Accipiter virgatus,current,200,22,2306011.864008288
Acridotheres cristatellus,current,3,26,2220082.49590683
Acridotheres cristatellus,current,10,26,2220082.49590683
Acridotheres cristatellus,current,20,25,2220082.49590683
Acridotheres cristatellus,current,50,25,2220082.49590683
Acridotheres cristatellus,current,100,24,2220082.49590683
Acridotheres cristatellus,current,200,24,2220082.49590683
Acridotheres tristis,current,3,30,1392416.4697166502
Acridotheres tristis,current,10,29,1392416.4697166502
Acridotheres tristis,current,20,29,1392416.4697166502
Acridotheres tristis,current,50,29,1392416.4697166502
Acridotheres tristis,current,100,27,1392416.4697166502
Acridotheres tristis,current,200,24,1392416.4697166502
Acrocephalus agricola,current,3,30,2658424.465716287
Acrocephalus agricola,current,10,30,2658424.465716287
Acrocephalus agricola,current,20,30,2658424.465716287
Acrocephalus agricola,current,50,29,2658424.465716287
Acrocephalus agricola,current,100,27,2658424.465716287
Acrocephalus agricola,current,200,22,2658424.465716287
Acrocephalus bistrigiceps,current,3,30,2425664.175317491
