new_record_species,new_record_order,record_count_new_record,first_year,provinces_recorded,matched_species,match_status,match_type,taxonomy_source,review_flag,avibase_ioc_review,birdlife_review,candidate_species,note,model_ready
Abroscopus albogularis,Passeriformes,5,2017,Hebei | Jiangsu | Ningxia | Shanghai | Tibet,Abroscopus albogularis,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Acanthis flammea,Passeriformes,1,2015,Qinghai,Acanthis flammea,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Accipiter badius,Accipitriformes,1,2025,Hunan,Accipiter badius,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Accipiter gularis,Accipitriformes,1,2013,Xinjiang,Accipiter gularis,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Accipiter soloensis,Accipitriformes,3,2015,Gansu | Heilongjiang | Inner Mongolia,Accipiter soloensis,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Accipiter trivirgatus,Accipitriformes,7,2001,Anhui | Beijing | Fujian | Gansu | Henan | Liaoning | Shaanxi,Accipiter trivirgatus,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Accipiter virgatus,Accipitriformes,1,2012,Anhui,Accipiter virgatus,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Acridotheres cristatellus,Passeriformes,1,2023,Jilin,Acridotheres cristatellus,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Acridotheres tristis,Passeriformes,4,2010,Chongqing | Guizhou | Jiangxi | Shandong,Acridotheres tristis,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Acrocephalus agricola,Passeriformes,1,2023,Inner Mongolia,Acrocephalus agricola,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Acrocephalus bistrigiceps,Passeriformes,2,2017,Guizhou | Tibet,Acrocephalus bistrigiceps,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Acrocephalus concinens,Passeriformes,1,2006,Shanghai,Acrocephalus concinens,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Acrocephalus dumetorum,Passeriformes,1,2017,Sichuan,Acrocephalus dumetorum,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Acrocephalus orientalis,Passeriformes,1,2024,Tibet,Acrocephalus orientalis,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Acrocephalus tangorum,Passeriformes,2,2020,Hubei | Zhejiang,Acrocephalus tangorum,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Aegithalos bonvaloti,Passeriformes,1,2007,Shaanxi,Aegithalos bonvaloti,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Aegithalos caudatus,Passeriformes,2,2020,Shandong | Tianjin,Aegithalos caudatus,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Aegithalos concinnus,Passeriformes,2,2020,Gansu | Hebei,Aegithalos concinnus,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Aegithalos fuliginosus,Passeriformes,2,2010,Hunan | Shanxi,Aegithalos fuliginosus,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Aerodramus brevirostris,Caprimulgiformes,1,2010,Guizhou,Aerodramus brevirostris,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Aethopyga christinae,Passeriformes,2,2004,Anhui | Hubei,Aethopyga christinae,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Aethopyga gouldiae,Passeriformes,1,2017,Henan,Aethopyga gouldiae,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Agropsar philippensis,Passeriformes,1,2025,Shandong,Agropsar philippensis,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Agropsar sturninus,Passeriformes,1,2023,Tibet,Agropsar sturninus,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Aix galericulata,Anseriformes,2,2015,Tibet | Xinjiang,Aix galericulata,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Alauda gulgula,Passeriformes,1,2023,Inner Mongolia,Alauda gulgula,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Alaudala cheleensis,Passeriformes,1,2024,Fujian,Alaudala cheleensis,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Alaudala heinei,Passeriformes,1,2025,Yunnan,Alaudala heinei,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Alcedo hercules,Coraciiformes,1,2006,Fujian,Alcedo hercules,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Alcippe morrisonia,Passeriformes,1,2016,Henan,Alcippe morrisonia,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Amaurornis cinerea,Gruiformes,1,2017,Yunnan,Amaurornis cinerea,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Amaurornis phoenicurus,Gruiformes,5,2002,Heilongjiang | Inner Mongolia | Jilin | Qinghai,Amaurornis phoenicurus,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Anas carolinensis,NA,1,2023,Shandong,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,,NA,FALSE
Anastomus oscitans,Ciconiiformes,5,2018,Hebei | Hunan | Qinghai | Shaanxi | Sichuan,Anastomus oscitans,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Anhinga melanogaster,Suliformes,1,2024,Yunnan,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,,NA,FALSE
