species,match_status,n_raw,n_clean,n_cell_unique,model_status,skip_reason,cv_strategy,maxent_engine
Abroscopus albogularis,matched,3859,2265,2265,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Acanthis flammea,matched,243,177,177,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Accipiter badius,matched,315,183,183,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Accipiter gularis,matched,1038,661,661,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Accipiter soloensis,matched,1619,1020,1020,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Accipiter trivirgatus,matched,3189,1782,1782,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Accipiter virgatus,matched,1719,1149,1149,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Acridotheres cristatellus,matched,12943,5774,5774,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Acridotheres tristis,matched,773,504,504,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Acrocephalus agricola,matched,147,109,109,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Acrocephalus bistrigiceps,matched,1456,832,832,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Acrocephalus concinens,matched,96,58,58,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Acrocephalus dumetorum,matched,136,136,136,failed,runtime_error,NA,maxnet::maxnet
Acrocephalus orientalis,matched,2481,1359,1359,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Acrocephalus tangorum,matched,50,35,35,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Aegithalos bonvaloti,matched,205,139,139,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Aegithalos caudatus,matched,1094,588,588,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Aegithalos concinnus,matched,8860,4324,4324,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Aegithalos fuliginosus,matched,336,218,218,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Aerodramus brevirostris,matched,390,251,251,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Aethopyga christinae,matched,2924,1500,1500,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Aethopyga gouldiae,matched,809,453,453,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Agropsar philippensis,matched,32,23,23,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Agropsar sturninus,matched,437,296,296,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Aix galericulata,matched,2259,1105,1105,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Alauda gulgula,matched,1560,1040,1040,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Alaudala cheleensis,matched,423,348,348,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Alaudala heinei,matched,13,11,11,modeled,NA,random_repeated,maxnet::maxnet
Alcedo hercules,matched,33,22,22,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Alcippe morrisonia,matched,41,35,35,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Amaurornis cinerea,matched,49,18,18,modeled,NA,random_repeated,maxnet::maxnet
Amaurornis phoenicurus,matched,3506,1882,1882,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Anas carolinensis,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Anastomus oscitans,matched,31,20,20,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Anhinga melanogaster,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Anous stolidus,matched,10,7,7,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Anser albifrons,matched,1138,645,645,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Anser anser,matched,1880,1109,1109,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Anser caerulescens,matched,84,58,58,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Anser erythropus,matched,324,196,196,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Anser fabalis,matched,1939,1110,1110,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Anser indicus,matched,891,607,607,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Anthreptes malacensis,matched,1,1,1,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Anthus godlewskii,matched,220,188,188,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Anthus gustavi,matched,161,113,113,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Anthus pratensis,matched,61,48,48,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Anthus richardi,matched,2099,1286,1286,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Anthus roseatus,matched,999,703,703,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Anthus trivialis,matched,169,132,132,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Aquila fasciata,matched,243,188,188,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Aquila heliaca,matched,244,171,171,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Ardea intermedia,matched,4045,2363,2363,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Ardea purpurea,matched,1239,810,810,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Ardenna pacifica,matched,5,5,5,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Ardenna tenuirostris,matched,8,4,4,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Ardeola bacchus,matched,9857,5010,5010,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Ardeola grayii,matched,2,2,2,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Ardeola speciosa,matched,12,5,5,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Arenaria interpres,matched,449,273,273,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Artamus fuscus,matched,329,195,195,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Asarcornis scutulata,matched,1,1,1,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Asio flammeus,matched,583,373,373,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Athene noctua,matched,834,642,642,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Aviceda jerdoni,matched,213,122,122,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Aviceda leuphotes,matched,645,426,426,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Aythya collaris,matched,1,1,1,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Aythya fuligula,matched,2565,1368,1368,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Aythya nyroca,matched,2181,1299,1299,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Bombycilla japonica,matched,831,434,434,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Brachyramphus perdix,matched,2,2,2,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Branta bernicla,matched,41,26,26,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Branta canadensis,matched,11,7,7,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Branta hutchinsii,matched,25,17,17,modeled,NA,random_repeated,maxnet::maxnet
Branta leucopsis,matched,29,24,24,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Branta ruficollis,matched,44,32,32,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Bubo nipalensis,matched,18,11,11,modeled,NA,random_repeated,maxnet::maxnet
Bubulcus ibis,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Bucanetes mongolicus,matched,135,117,117,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Bulweria bulwerii,matched,13,13,13,modeled,NA,random_repeated,maxnet::maxnet
Butastur indicus,matched,1248,802,802,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Cacomantis merulinus,matched,933,491,491,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Calandrella brachydactyla,matched,141,116,116,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Calidris acuminata,matched,696,454,454,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Calidris alba,matched,321,206,206,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Calidris alpina,matched,1392,777,777,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Calidris bairdii,matched,1,1,1,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Calidris canutus,matched,263,162,162,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Calidris falcinellus,matched,372,220,220,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Calidris melanotos,matched,51,28,28,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Calidris minuta,matched,283,200,200,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Calidris pugnax,matched,318,218,218,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Calidris pygmaea,matched,116,56,56,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Calidris subminuta,matched,898,589,589,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Calidris tenuirostris,matched,370,221,221,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Callacanthis burtoni,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Calliope obscura,matched,21,19,19,modeled,NA,random_repeated,maxnet::maxnet
Calonectris leucomelas,matched,20,17,17,modeled,NA,random_repeated,maxnet::maxnet
Caprimulgus macrurus,matched,46,23,23,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Carduelis carduelis,matched,358,250,250,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Carpodacus roborowskii,matched,25,18,18,modeled,NA,random_repeated,maxnet::maxnet
Carpodacus vinaceus,matched,437,279,279,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Cecropis daurica,matched,8101,4723,4723,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Cecropis striolata,matched,57,55,55,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Centropus bengalensis,matched,1091,744,744,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Cephalopyrus flammiceps,matched,149,98,98,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Certhia familiaris,matched,564,341,341,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Certhia himalayana,matched,129,104,104,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Certhia tianquanensis,matched,133,80,80,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Ceryle rudis,matched,2971,1630,1630,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Cettia brunnifrons,matched,85,55,55,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Cettia castaneocoronata,matched,146,89,89,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Chalcophaps indica,matched,235,143,143,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Charadrius asiaticus,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Charadrius atrifrons,matched,268,201,201,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Charadrius dealbatus,matched,233,159,159,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Charadrius hiaticula,matched,46,37,37,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Charadrius mongolus,matched,700,419,419,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Charadrius placidus,matched,1780,1102,1102,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Charadrius veredus,matched,205,133,133,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Chlidonias leucopterus,matched,1089,781,781,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Chlidonias niger,matched,131,94,94,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Chloris ambigua,matched,178,122,122,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Chloris chloris,matched,404,249,249,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Chloris sinica,matched,11709,5903,5903,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Chrysolophus pictus,matched,553,348,348,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Ciconia boyciana,matched,1438,814,814,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Ciconia episcopus,matched,1,1,1,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Ciconia nigra,matched,1520,977,977,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Circaetus gallicus,matched,174,104,104,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Circus aeruginosus,matched,102,90,90,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Circus macrourus,matched,26,24,24,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Circus spilonotus,matched,1827,1014,1014,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Cisticola exilis,matched,131,85,85,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Cisticola juncidis,matched,1919,1148,1148,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Clamator coromandus,matched,541,370,370,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Clamator jacobinus,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Clanga clanga,matched,426,266,266,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Clangula hyemalis,matched,162,82,82,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Columba oenas,matched,218,165,165,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Copsychus saularis,matched,11870,4816,4816,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Coracias garrulus,matched,401,294,294,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Coracina macei,matched,73,49,49,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Coturnicops exquisitus,matched,14,9,9,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Crex crex,matched,30,26,26,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Crossoptilon mantchuricum,matched,47,30,30,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Curruca communis,matched,276,191,191,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Curruca crassirostris,matched,1018,589,589,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Curruca curruca,matched,238,173,173,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Cutia nipalensis,matched,42,17,17,modeled,NA,random_repeated,maxnet::maxnet
Cyanistes cyanus,matched,635,375,375,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Cyanoderma pyrrhops,matched,16,11,11,modeled,NA,random_repeated,maxnet::maxnet
Cyanoderma rufifrons,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Cygnus columbianus,matched,1660,911,911,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Cygnus cygnus,matched,1034,640,640,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
