species,threshold_type,threshold_name,algorithm,threshold_value
Temnurus temnurus,model_config,presence_cell_threshold,NA,10
Temnurus temnurus,model_config,presence_cell_maximum,NA,10000
Temnurus temnurus,model_config,pseudoabsence_multiplier,NA,3
Temnurus temnurus,model_config,pseudoabsence_minimum,NA,1000
Temnurus temnurus,model_config,pseudoabsence_maximum,NA,20000
Temnurus temnurus,model_config,cv_folds,NA,5
Temnurus temnurus,model_config,cv_presence_threshold_spatial,NA,20
Temnurus temnurus,model_config,tss_selection_threshold,NA,0.6
Temnurus temnurus,model_config,buffer_km,NA,500
Temnurus temnurus,algorithm_mean_threshold,mean_threshold,GAM,0.004579812721732015
Temnurus temnurus,algorithm_mean_threshold,mean_threshold,GBM,7.238887396602932e-4
Temnurus temnurus,algorithm_mean_threshold,mean_threshold,GLM,0.005870359893346095
Temnurus temnurus,algorithm_mean_threshold,mean_threshold,MaxEnt,NA
Temnurus temnurus,algorithm_mean_threshold,mean_threshold,RF,0.013400000000000054
Temnurus temnurus,ensemble_binary_threshold,ensemble_binary_threshold,GAM | GBM | GLM | RF,0.006143515338684615
Anthreptes malacensis,model_config,presence_cell_threshold,NA,10
Anthreptes malacensis,model_config,presence_cell_maximum,NA,10000
Anthreptes malacensis,model_config,pseudoabsence_multiplier,NA,3
Anthreptes malacensis,model_config,pseudoabsence_minimum,NA,1000
Anthreptes malacensis,model_config,pseudoabsence_maximum,NA,20000
Anthreptes malacensis,model_config,cv_folds,NA,5
Anthreptes malacensis,model_config,cv_presence_threshold_spatial,NA,20
Anthreptes malacensis,model_config,tss_selection_threshold,NA,0.6
Anthreptes malacensis,model_config,buffer_km,NA,500
Anthreptes malacensis,algorithm_mean_threshold,mean_threshold,GAM,0.027495874671486533
Anthreptes malacensis,algorithm_mean_threshold,mean_threshold,GBM,0.005110166522271476
Anthreptes malacensis,algorithm_mean_threshold,mean_threshold,GLM,0.030581336373630474
Anthreptes malacensis,algorithm_mean_threshold,mean_threshold,MaxEnt,NA
Anthreptes malacensis,algorithm_mean_threshold,mean_threshold,RF,0.039666666666666586
Anthreptes malacensis,ensemble_binary_threshold,ensemble_binary_threshold,GAM | GBM | GLM | RF,0.025713511058513768
Hemiprocne coronata,model_config,presence_cell_threshold,NA,10
Hemiprocne coronata,model_config,presence_cell_maximum,NA,10000
Hemiprocne coronata,model_config,pseudoabsence_multiplier,NA,3
Hemiprocne coronata,model_config,pseudoabsence_minimum,NA,1000
Hemiprocne coronata,model_config,pseudoabsence_maximum,NA,20000
Hemiprocne coronata,model_config,cv_folds,NA,5
Hemiprocne coronata,model_config,cv_presence_threshold_spatial,NA,20
Hemiprocne coronata,model_config,tss_selection_threshold,NA,0.6
Hemiprocne coronata,model_config,buffer_km,NA,500
Hemiprocne coronata,algorithm_mean_threshold,mean_threshold,GAM,0.007675950599988566
