record_type,species,match_status,model_status,skip_reason,scenario,gcm,province,cell_threshold,suitable_cell_count,suitable_area_km2,province_total_area_km2,suitable_area_prop_of_species,suitable_area_prop_of_province,presence_flag
potential_province,Anous stolidus,matched,modeled,NA,current,ensemble_mean,上海市,3,329,6040.110062147133,7206.952766383157,0,0.8380948589424974,TRUE
potential_province,Anous stolidus,matched,modeled,NA,current,ensemble_mean,台湾省,3,35,681.2666227192706,36351.44194848129,0,0.018741116891175563,TRUE
potential_province,Anous stolidus,matched,modeled,NA,current,ensemble_mean,四川省,3,30,563.4883184639891,485830.5974072148,0,0.001159845265965583,TRUE
potential_province,Anous stolidus,matched,modeled,NA,current,ensemble_mean,安徽省,3,338,6215.436409953057,140281.72378677767,0,0.044306815187132,TRUE
potential_province,Anous stolidus,matched,modeled,NA,current,ensemble_mean,广东省,3,269,5354.621842694213,178715.97296891178,0,0.029961629918919822,TRUE
potential_province,Anous stolidus,matched,modeled,NA,current,ensemble_mean,广西壮族自治区,3,752,14764.821910377661,236490.79679029615,0,0.06243296614823491,TRUE
potential_province,Anous stolidus,matched,modeled,NA,current,ensemble_mean,新疆维吾尔自治区,3,6055,94344.05591282822,1630319.3783117495,0,0.05786845029746543,TRUE
potential_province,Anous stolidus,matched,modeled,NA,current,ensemble_mean,江苏省,3,683,12502.687072897259,102736.86676680206,0,0.12169620766493262,TRUE
potential_province,Anous stolidus,matched,modeled,NA,current,ensemble_mean,江西省,3,1273,24132.900462000438,167050.58408785737,0,0.14446462784774314,TRUE
potential_province,Anous stolidus,matched,modeled,NA,current,ensemble_mean,浙江省,3,1136,21101.88891824359,104159.37596561894,0,0.20259231319904344,TRUE
potential_province,Anous stolidus,matched,modeled,NA,current,ensemble_mean,海南省,3,273,5519.9756918727235,40083.43316462411,0,0.13771214828834605,TRUE
potential_province,Anous stolidus,matched,modeled,NA,current,ensemble_mean,湖北省,3,2365,43795.97760961852,185936.23455607134,0,0.23554299523265493,TRUE
potential_province,Anous stolidus,matched,modeled,NA,current,ensemble_mean,湖南省,3,4363,82693.60020343562,212031.06107909585,0,0.39000701021152595,TRUE
potential_province,Anous stolidus,matched,modeled,NA,current,ensemble_mean,福建省,3,623,12098.519852571224,122484.33467498337,0,0.09877605887050851,TRUE
potential_province,Anous stolidus,matched,modeled,NA,current,ensemble_mean,重庆市,3,265,4944.702654168918,82424.43806740544,0,0.059990735394825696,TRUE
potential_province,Anous stolidus,matched,modeled,NA,current,ensemble_mean,上海市,10,329,6040.110062147133,7206.952766383157,0,0.8380948589424974,TRUE
potential_province,Anous stolidus,matched,modeled,NA,current,ensemble_mean,台湾省,10,35,681.2666227192706,36351.44194848129,0,0.018741116891175563,TRUE
potential_province,Anous stolidus,matched,modeled,NA,current,ensemble_mean,四川省,10,30,563.4883184639891,485830.5974072148,0,0.001159845265965583,TRUE
potential_province,Anous stolidus,matched,modeled,NA,current,ensemble_mean,安徽省,10,338,6215.436409953057,140281.72378677767,0,0.044306815187132,TRUE
potential_province,Anous stolidus,matched,modeled,NA,current,ensemble_mean,广东省,10,269,5354.621842694213,178715.97296891178,0,0.029961629918919822,TRUE
potential_province,Anous stolidus,matched,modeled,NA,current,ensemble_mean,广西壮族自治区,10,752,14764.821910377661,236490.79679029615,0,0.06243296614823491,TRUE
potential_province,Anous stolidus,matched,modeled,NA,current,ensemble_mean,新疆维吾尔自治区,10,6055,94344.05591282822,1630319.3783117495,0,0.05786845029746543,TRUE
potential_province,Anous stolidus,matched,modeled,NA,current,ensemble_mean,江苏省,10,683,12502.687072897259,102736.86676680206,0,0.12169620766493262,TRUE
potential_province,Anous stolidus,matched,modeled,NA,current,ensemble_mean,江西省,10,1273,24132.900462000438,167050.58408785737,0,0.14446462784774314,TRUE
potential_province,Anous stolidus,matched,modeled,NA,current,ensemble_mean,浙江省,10,1136,21101.88891824359,104159.37596561894,0,0.20259231319904344,TRUE
potential_province,Anous stolidus,matched,modeled,NA,current,ensemble_mean,海南省,10,273,5519.9756918727235,40083.43316462411,0,0.13771214828834605,TRUE
potential_province,Anous stolidus,matched,modeled,NA,current,ensemble_mean,湖北省,10,2365,43795.97760961852,185936.23455607134,0,0.23554299523265493,TRUE
potential_province,Anous stolidus,matched,modeled,NA,current,ensemble_mean,湖南省,10,4363,82693.60020343562,212031.06107909585,0,0.39000701021152595,TRUE
potential_province,Anous stolidus,matched,modeled,NA,current,ensemble_mean,福建省,10,623,12098.519852571224,122484.33467498337,0,0.09877605887050851,TRUE
potential_province,Anous stolidus,matched,modeled,NA,current,ensemble_mean,重庆市,10,265,4944.702654168918,82424.43806740544,0,0.059990735394825696,TRUE
potential_province,Anous stolidus,matched,modeled,NA,current,ensemble_mean,上海市,20,329,6040.110062147133,7206.952766383157,0,0.8380948589424974,TRUE
potential_province,Anous stolidus,matched,modeled,NA,current,ensemble_mean,台湾省,20,35,681.2666227192706,36351.44194848129,0,0.018741116891175563,TRUE
potential_province,Anous stolidus,matched,modeled,NA,current,ensemble_mean,四川省,20,30,563.4883184639891,485830.5974072148,0,0.001159845265965583,TRUE
potential_province,Anous stolidus,matched,modeled,NA,current,ensemble_mean,安徽省,20,338,6215.436409953057,140281.72378677767,0,0.044306815187132,TRUE
potential_province,Anous stolidus,matched,modeled,NA,current,ensemble_mean,广东省,20,269,5354.621842694213,178715.97296891178,0,0.029961629918919822,TRUE
potential_province,Anous stolidus,matched,modeled,NA,current,ensemble_mean,广西壮族自治区,20,752,14764.821910377661,236490.79679029615,0,0.06243296614823491,TRUE
potential_province,Anous stolidus,matched,modeled,NA,current,ensemble_mean,新疆维吾尔自治区,20,6055,94344.05591282822,1630319.3783117495,0,0.05786845029746543,TRUE
potential_province,Anous stolidus,matched,modeled,NA,current,ensemble_mean,江苏省,20,683,12502.687072897259,102736.86676680206,0,0.12169620766493262,TRUE
potential_province,Anous stolidus,matched,modeled,NA,current,ensemble_mean,江西省,20,1273,24132.900462000438,167050.58408785737,0,0.14446462784774314,TRUE
potential_province,Anous stolidus,matched,modeled,NA,current,ensemble_mean,浙江省,20,1136,21101.88891824359,104159.37596561894,0,0.20259231319904344,TRUE
potential_province,Anous stolidus,matched,modeled,NA,current,ensemble_mean,海南省,20,273,5519.9756918727235,40083.43316462411,0,0.13771214828834605,TRUE
potential_province,Anous stolidus,matched,modeled,NA,current,ensemble_mean,湖北省,20,2365,43795.97760961852,185936.23455607134,0,0.23554299523265493,TRUE
potential_province,Anous stolidus,matched,modeled,NA,current,ensemble_mean,湖南省,20,4363,82693.60020343562,212031.06107909585,0,0.39000701021152595,TRUE
potential_province,Anous stolidus,matched,modeled,NA,current,ensemble_mean,福建省,20,623,12098.519852571224,122484.33467498337,0,0.09877605887050851,TRUE
potential_province,Anous stolidus,matched,modeled,NA,current,ensemble_mean,重庆市,20,265,4944.702654168918,82424.43806740544,0,0.059990735394825696,TRUE
potential_province,Anous stolidus,matched,modeled,NA,current,ensemble_mean,上海市,50,329,6040.110062147133,7206.952766383157,0,0.8380948589424974,TRUE
potential_province,Anous stolidus,matched,modeled,NA,current,ensemble_mean,安徽省,50,338,6215.436409953057,140281.72378677767,0,0.044306815187132,TRUE
potential_province,Anous stolidus,matched,modeled,NA,current,ensemble_mean,广东省,50,269,5354.621842694213,178715.97296891178,0,0.029961629918919822,TRUE
potential_province,Anous stolidus,matched,modeled,NA,current,ensemble_mean,广西壮族自治区,50,752,14764.821910377661,236490.79679029615,0,0.06243296614823491,TRUE
potential_province,Anous stolidus,matched,modeled,NA,current,ensemble_mean,新疆维吾尔自治区,50,6055,94344.05591282822,1630319.3783117495,0,0.05786845029746543,TRUE
potential_province,Anous stolidus,matched,modeled,NA,current,ensemble_mean,江苏省,50,683,12502.687072897259,102736.86676680206,0,0.12169620766493262,TRUE
potential_province,Anous stolidus,matched,modeled,NA,current,ensemble_mean,江西省,50,1273,24132.900462000438,167050.58408785737,0,0.14446462784774314,TRUE
potential_province,Anous stolidus,matched,modeled,NA,current,ensemble_mean,浙江省,50,1136,21101.88891824359,104159.37596561894,0,0.20259231319904344,TRUE
potential_province,Anous stolidus,matched,modeled,NA,current,ensemble_mean,海南省,50,273,5519.9756918727235,40083.43316462411,0,0.13771214828834605,TRUE
potential_province,Anous stolidus,matched,modeled,NA,current,ensemble_mean,湖北省,50,2365,43795.97760961852,185936.23455607134,0,0.23554299523265493,TRUE
potential_province,Anous stolidus,matched,modeled,NA,current,ensemble_mean,湖南省,50,4363,82693.60020343562,212031.06107909585,0,0.39000701021152595,TRUE
potential_province,Anous stolidus,matched,modeled,NA,current,ensemble_mean,福建省,50,623,12098.519852571224,122484.33467498337,0,0.09877605887050851,TRUE
potential_province,Anous stolidus,matched,modeled,NA,current,ensemble_mean,重庆市,50,265,4944.702654168918,82424.43806740544,0,0.059990735394825696,TRUE
potential_province,Anous stolidus,matched,modeled,NA,current,ensemble_mean,上海市,100,329,6040.110062147133,7206.952766383157,0,0.8380948589424974,TRUE
potential_province,Anous stolidus,matched,modeled,NA,current,ensemble_mean,安徽省,100,338,6215.436409953057,140281.72378677767,0,0.044306815187132,TRUE
potential_province,Anous stolidus,matched,modeled,NA,current,ensemble_mean,广东省,100,269,5354.621842694213,178715.97296891178,0,0.029961629918919822,TRUE
potential_province,Anous stolidus,matched,modeled,NA,current,ensemble_mean,广西壮族自治区,100,752,14764.821910377661,236490.79679029615,0,0.06243296614823491,TRUE
potential_province,Anous stolidus,matched,modeled,NA,current,ensemble_mean,新疆维吾尔自治区,100,6055,94344.05591282822,1630319.3783117495,0,0.05786845029746543,TRUE
potential_province,Anous stolidus,matched,modeled,NA,current,ensemble_mean,江苏省,100,683,12502.687072897259,102736.86676680206,0,0.12169620766493262,TRUE
potential_province,Anous stolidus,matched,modeled,NA,current,ensemble_mean,江西省,100,1273,24132.900462000438,167050.58408785737,0,0.14446462784774314,TRUE
potential_province,Anous stolidus,matched,modeled,NA,current,ensemble_mean,浙江省,100,1136,21101.88891824359,104159.37596561894,0,0.20259231319904344,TRUE
potential_province,Anous stolidus,matched,modeled,NA,current,ensemble_mean,海南省,100,273,5519.9756918727235,40083.43316462411,0,0.13771214828834605,TRUE
