species,scenario,gcm,raster_type,raster_path
Temnurus temnurus,current,ensemble_mean,probability,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/rasters/temnurus_temnurus/temnurus_temnurus_current_probability.tif
Temnurus temnurus,current,ensemble_mean,binary,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/rasters/temnurus_temnurus/temnurus_temnurus_current_binary.tif
Anthreptes malacensis,current,ensemble_mean,probability,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/rasters/anthreptes_malacensis/anthreptes_malacensis_current_probability.tif
Anthreptes malacensis,current,ensemble_mean,binary,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/rasters/anthreptes_malacensis/anthreptes_malacensis_current_binary.tif
Hemiprocne coronata,current,ensemble_mean,probability,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/rasters/hemiprocne_coronata/hemiprocne_coronata_current_probability.tif
Hemiprocne coronata,current,ensemble_mean,binary,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/rasters/hemiprocne_coronata/hemiprocne_coronata_current_binary.tif
Vanellus indicus,current,ensemble_mean,probability,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/rasters/vanellus_indicus/vanellus_indicus_current_probability.tif
Vanellus indicus,current,ensemble_mean,binary,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/rasters/vanellus_indicus/vanellus_indicus_current_binary.tif
Syrmaticus humiae,current,ensemble_mean,probability,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/rasters/syrmaticus_humiae/syrmaticus_humiae_current_probability.tif
Syrmaticus humiae,current,ensemble_mean,binary,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/rasters/syrmaticus_humiae/syrmaticus_humiae_current_binary.tif
Phalaropus fulicarius,current,ensemble_mean,probability,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/rasters/phalaropus_fulicarius/phalaropus_fulicarius_current_probability.tif
Phalaropus fulicarius,current,ensemble_mean,binary,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/rasters/phalaropus_fulicarius/phalaropus_fulicarius_current_binary.tif
Coturnicops exquisitus,current,ensemble_mean,probability,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/rasters/coturnicops_exquisitus/coturnicops_exquisitus_current_probability.tif
Coturnicops exquisitus,current,ensemble_mean,binary,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/rasters/coturnicops_exquisitus/coturnicops_exquisitus_current_binary.tif
Hirundo smithii,current,ensemble_mean,probability,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/rasters/hirundo_smithii/hirundo_smithii_current_probability.tif
Hirundo smithii,current,ensemble_mean,binary,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/rasters/hirundo_smithii/hirundo_smithii_current_binary.tif
Gavia pacifica,current,ensemble_mean,probability,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/rasters/gavia_pacifica/gavia_pacifica_current_probability.tif
Gavia pacifica,current,ensemble_mean,binary,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/rasters/gavia_pacifica/gavia_pacifica_current_binary.tif
Cyornis rubeculoides,current,ensemble_mean,probability,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/rasters/cyornis_rubeculoides/cyornis_rubeculoides_current_probability.tif
Cyornis rubeculoides,current,ensemble_mean,binary,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/rasters/cyornis_rubeculoides/cyornis_rubeculoides_current_binary.tif
Lophotriorchis kienerii,current,ensemble_mean,probability,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/rasters/lophotriorchis_kienerii/lophotriorchis_kienerii_current_probability.tif
Lophotriorchis kienerii,current,ensemble_mean,binary,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/rasters/lophotriorchis_kienerii/lophotriorchis_kienerii_current_binary.tif
Ficedula owstoni,current,ensemble_mean,probability,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/rasters/ficedula_owstoni/ficedula_owstoni_current_probability.tif
Ficedula owstoni,current,ensemble_mean,binary,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/rasters/ficedula_owstoni/ficedula_owstoni_current_binary.tif
Grus canadensis,current,ensemble_mean,probability,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/rasters/grus_canadensis/grus_canadensis_current_probability.tif
Grus canadensis,current,ensemble_mean,binary,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/rasters/grus_canadensis/grus_canadensis_current_binary.tif
Halcyon coromanda,current,ensemble_mean,probability,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/rasters/halcyon_coromanda/halcyon_coromanda_current_probability.tif
Halcyon coromanda,current,ensemble_mean,binary,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/rasters/halcyon_coromanda/halcyon_coromanda_current_binary.tif
Branta canadensis,current,ensemble_mean,probability,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/rasters/branta_canadensis/branta_canadensis_current_probability.tif
