species,record_count_new_record,first_year,provinces_recorded,new_record_order,previous_match_status,previous_model_status,previous_skip_reason
Acrocephalus dumetorum,1,2017,Sichuan,Passeriformes,matched,failed,runtime_error
Anas carolinensis,1,2023,Shandong,NA,unmatched,unmatched,taxonomy_unmatched
Anhinga melanogaster,1,2024,Yunnan,Suliformes,unmatched,unmatched,taxonomy_unmatched
Anous stolidus,2,2020,Anhui | Jiangsu,Charadriiformes,matched,skipped,insufficient_occurrence_points
Anthreptes malacensis,1,2010,Yunnan,Passeriformes,matched,skipped,insufficient_occurrence_points
Ardenna pacifica,2,2013,Shanghai | Zhejiang,Procellariiformes,matched,skipped,insufficient_occurrence_points
Ardenna tenuirostris,2,2014,Fujian | Hebei,Procellariiformes,matched,skipped,insufficient_occurrence_points
Ardeola grayii,2,2016,Guangdong | Yunnan,Pelecaniformes,matched,skipped,insufficient_occurrence_points
Ardeola speciosa,1,2025,Guangxi,Pelecaniformes,matched,skipped,insufficient_occurrence_points
Asarcornis scutulata,1,2019,Yunnan,Anseriformes,matched,skipped,insufficient_occurrence_points
Aythya collaris,1,2023,Shandong,Anseriformes,matched,skipped,insufficient_occurrence_points
Brachyramphus perdix,1,2016,Jiangsu,Charadriiformes,matched,skipped,insufficient_occurrence_points
Branta canadensis,4,2017,Heilongjiang | Liaoning | Tianjin | Zhejiang,Anseriformes,matched,skipped,insufficient_occurrence_points
Bubulcus ibis,3,2002,Heilongjiang | Shanxi | Tianjin,NA,unmatched,unmatched,taxonomy_unmatched
Calidris bairdii,1,2023,Zhejiang,Charadriiformes,matched,skipped,insufficient_occurrence_points
Callacanthis burtoni,1,2015,Tibet,Passeriformes,unmatched,unmatched,taxonomy_unmatched
Charadrius asiaticus,1,2001,Hubei,Charadriiformes,unmatched,unmatched,taxonomy_unmatched
Ciconia episcopus,1,2011,Yunnan,Ciconiiformes,matched,skipped,insufficient_occurrence_points
Clamator jacobinus,1,2021,Yunnan,Cuculiformes,unmatched,unmatched,taxonomy_unmatched
Coturnicops exquisitus,1,2004,Yunnan,Gruiformes,matched,skipped,insufficient_occurrence_points
Cyanoderma rufifrons,1,2006,Guangxi,NA,unmatched,unmatched,taxonomy_unmatched
Cyornis poliogenys,1,2014,Guangxi,Passeriformes,unmatched,unmatched,taxonomy_unmatched
Cyornis rubeculoides,1,2010,Hunan,Passeriformes,matched,skipped,insufficient_occurrence_points
Egretta picata,1,2025,Jiangsu,Pelecaniformes,not_evaluated,not_evaluated,NA
Emberiza stewarti,1,2013,Xinjiang,Passeriformes,matched,skipped,insufficient_occurrence_points
Ficedula hypoleuca,1,2008,Xinjiang,Passeriformes,matched,skipped,insufficient_occurrence_points
Ficedula owstoni,1,2024,Jiangsu,Passeriformes,matched,skipped,insufficient_occurrence_points
Ficedula ruficauda,1,2017,Sichuan,Passeriformes,matched,skipped,insufficient_occurrence_points
Fregata andrewsi,2,2006,Fujian | Liaoning,Suliformes,not_evaluated,not_evaluated,NA
Gavia adamsii,3,2006,Jiangsu | Jilin | Sichuan,Gaviiformes,matched,skipped,insufficient_occurrence_points
Gavia pacifica,1,2025,Zhejiang,Gaviiformes,matched,skipped,insufficient_occurrence_points
Geokichla wardii,1,2024,Tibet,NA,matched,skipped,insufficient_occurrence_points
Geopelia striata,1,2021,Yunnan,Columbiformes,matched,skipped,insufficient_occurrence_points
Glareola lactea,2,2019,Guangxi | Hainan,Charadriiformes,unmatched,unmatched,taxonomy_unmatched
Grus canadensis,4,2011,Anhui | Jilin | Liaoning | Yunnan,NA,matched,skipped,insufficient_occurrence_points
Grus vipio,3,2019,Gansu | Shanxi | Sichuan,NA,unmatched,unmatched,taxonomy_unmatched
Gygis alba,1,2006,Fujian,Charadriiformes,matched,skipped,insufficient_occurrence_points
