new_record_species,new_record_order,record_count_new_record,first_year,provinces_recorded,matched_species,match_status,match_type,taxonomy_source,review_flag,avibase_ioc_review,birdlife_review,candidate_species,note,model_ready
Anas carolinensis,NA,1,2023,Shandong,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,,NA,FALSE
Anhinga melanogaster,Suliformes,1,2024,Yunnan,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,,NA,FALSE
Anous stolidus,Charadriiformes,2,2020,Anhui | Jiangsu,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,,NA,FALSE
Anthreptes malacensis,Passeriformes,1,2010,Yunnan,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,,NA,FALSE
Ardenna pacifica,Procellariiformes,2,2013,Shanghai | Zhejiang,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,,NA,FALSE
Ardenna tenuirostris,Procellariiformes,2,2014,Fujian | Hebei,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,,NA,FALSE
Ardeola grayii,Pelecaniformes,2,2016,Guangdong | Yunnan,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,,NA,FALSE
Ardeola speciosa,Pelecaniformes,1,2025,Guangxi,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,,NA,FALSE
Asarcornis scutulata,Anseriformes,1,2019,Yunnan,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,,NA,FALSE
Aythya collaris,Anseriformes,1,2023,Shandong,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,,NA,FALSE
Brachyramphus perdix,Charadriiformes,1,2016,Jiangsu,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,,NA,FALSE
Branta canadensis,Anseriformes,4,2017,Heilongjiang | Liaoning | Tianjin | Zhejiang,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,,NA,FALSE
Bubulcus ibis,NA,3,2002,Heilongjiang | Shanxi | Tianjin,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,,NA,FALSE
Calidris bairdii,Charadriiformes,1,2023,Zhejiang,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,,NA,FALSE
Callacanthis burtoni,Passeriformes,1,2015,Tibet,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,,NA,FALSE
