province_std,province_label_map,x,y
Henan,Henan,113.07411913849612,33.8769835
Zhejiang,Zhejiang,120.2,29
Hainan,Hainan,109.6,19.4
Taiwan,Taiwan,121,23.8
Gansu,Gansu,102.90361663612768,37.69004799999999
Hubei,Hubei,112.8749379487966,31.158867
Tianjin,Tianjin,117.8,39.5
Inner Mongolia,Inner Mongolia,111.2,43.5
Guangxi,Guangxi,108.9842838066102,23.892935
Jiangsu,Jiangsu,119.3,33.1
Shandong,Shandong,118.01054751648434,36.331007
Beijing,Beijing,116.9,40.8
Xizang,Xizang,88,31.2
Qinghai,Qinghai,95.94667600582383,35.405552
Chongqing,Chongqing,107.5,30.2
Jilin,Jilin,126.12597680691185,43.576605
Fujian,Fujian,118.4,25.7
Guangdong,Guangdong,113.6,23.2
Shanghai,Shanghai,121.5,31.2
Jiangxi,Jiangxi,115.51265139558394,27.282698500000002
Hong Kong,Hong Kong,114.6,22.6
Heilongjiang,Heilongjiang,127.57758466134982,48.491257
Shanxi,Shanxi,112.4531700446768,37.664215
Yunnan,Yunnan,101.26597861639398,25.197216
Sichuan,Sichuan,102.28706990693541,30.185286500000004
Anhui,Anhui,117.2,31.7
Ningxia,Ningxia,106.5,37.5
Liaoning,Liaoning,122.39480090390217,41.1108435
Hunan,Hunan,111.35434650402198,27.378441000000002
Shaanxi,Shaanxi,109.56042999674688,35.654281999999995
Hebei,Hebei,115.67047399857353,39.3326585
Xinjiang,Xinjiang,87.17215838514362,41.757469
Guizhou,Guizhou,106.62405401146046,26.923606
