province_cn,province_std,province_label_map,province_label_bar,n_records,area_km2,density_100k,count_class,density_class
北京市,Beijing,Beijing,Beijing,18,28169.99456339312,63.89777591008477,11 - 20,41-100
天津市,Tianjin,Tianjin,Tianjin,26,19968.49425197919,130.2051104700746,21 - 30,101-200
河北省,Hebei,Hebei,Hebei,13,316979.6569006047,4.1012095625040095,11 - 20,0-5
山西省,Shanxi,Shanxi,Shanxi,11,250110.40051544263,4.398057808603935,11 - 20,0-5
内蒙古自治区,Inner Mongolia,Inner Mongolia,Neimenggu,36,2241127.1822275883,1.6063345393998336,31 - 40,0-5
辽宁省,Liaoning,Liaoning,Liaoning,35,261071.18420906094,13.406305297934624,31 - 40,6-20
吉林省,Jilin,Jilin,Jilin,28,365480.70240629965,7.661143205550919,21 - 30,6-20
黑龙江省,Heilongjiang,Heilongjiang,Heilongjiang,22,1009425.1874744071,2.1794581978922323,21 - 30,0-5
上海市,Shanghai,Shanghai,Shanghai,25,9882.349323592496,252.97628308196494,21 - 30,>200
江苏省,Jiangsu,Jiangsu,Jiangsu,50,146428.58881248694,34.14633740958116,41 - 50,21-40
浙江省,Zhejiang,Zhejiang,Zhejiang,38,137181.88198833034,27.700450999230753,31 - 40,21-40
安徽省,Anhui,Anhui,Anhui,44,195030.00496487122,22.560631123362416,41 - 50,21-40
福建省,Fujian,Fujian,Fujian,16,152502.26335255447,10.491647565263493,11 - 20,6-20
江西省,Jiangxi,Jiangxi,Jiangxi,31,213727.30399335554,14.504464062749673,31 - 40,6-20
山东省,Shandong,Shandong,Shandong,31,240658.6748060895,12.881314178671607,31 - 40,6-20
河南省,Henan,Henan,Henan,38,241005.9893940132,15.767243003191503,31 - 40,6-20
湖北省,Hubei,Hubei,Hubei,35,253829.39608283117,13.788789060735338,31 - 40,6-20
湖南省,Hunan,Hunan,Hunan,62,271229.469126821,22.85887304192973,61 - 71,21-40
广东省,Guangdong,Guangdong,Guangdong,14,213018.30080076147,6.572205274087866,11 - 20,6-20
广西壮族自治区,Guangxi,Guangxi,Guangxi,38,284030.74841096485,13.37883317654668,31 - 40,6-20
海南省,Hainan,Hainan,Hainan,31,44646.32613809769,69.43460454979524,31 - 40,41-100
重庆市,Chongqing,Chongqing,Chongqing,12,110438.72461508609,10.865753875575619,11 - 20,6-20
四川省,Sichuan,Sichuan,Sichuan,35,659128.5645733272,5.3100414518761605,31 - 40,6-20
贵州省,Guizhou,Guizhou,Guizhou,35,221922.11798281924,15.771298651137437,31 - 40,6-20
云南省,Yunnan,Yunnan,Yunnan,63,468967.23233423324,13.433774399636489,61 - 71,6-20
西藏自治区,Xizang,Xizang,Xizang,68,1661690.4712561965,4.09221820647462,61 - 71,0-5
陕西省,Shaanxi,Shaanxi,Shaanxi,59,309184.6872018523,19.08244568447261,51 - 60,6-20
甘肃省,Gansu,Gansu,Gansu,53,686317.5151847742,7.722373220466485,51 - 60,6-20
青海省,Qinghai,Qinghai,Qinghai,31,1059575.8993936384,2.925698859113379,31 - 40,0-5
宁夏回族自治区,Ningxia,Ningxia,Ningxia,24,82270.96558958826,29.171895367953844,21 - 30,21-40
新疆维吾尔自治区,Xinjiang,Xinjiang,Xinjiang,35,2892257.8395419302,1.2101272411294848,31 - 40,0-5
香港特别行政区,Hong Kong,Hong Kong,Hong Kong,1,1271.1481964204231,78.6690334625041,0 - 10,41-100
澳门特别行政区,Macau,Macau,Macau,0,29.46527007674802,0,0 - 10,0-5
台湾省,Taiwan,Taiwan,Taiwan,1,43599.50616228874,2.2936039602782174,0 - 10,0-5
