total_records,percentage,year
6,0.0056657223796034,2000
11,0.010387157695939566,2001
8,0.007554296506137866,2002
10,0.009442870632672332,2003
7,0.0066100094428706326,2004
7,0.0066100094428706326,2005
49,0.04627006610009443,2006
28,0.02644003777148253,2007
20,0.018885741265344664,2008
22,0.02077431539187913,2009
49,0.04627006610009443,2010
41,0.03871576959395656,2011
23,0.021718602455146365,2012
41,0.03871576959395656,2013
47,0.044381491973559964,2014
34,0.03210576015108593,2015
42,0.039660056657223795,2016
69,0.06515580736543909,2017
58,0.05476864966949953,2018
73,0.06893295561850803,2019
42,0.039660056657223795,2020
60,0.056657223796033995,2021
63,0.059490084985835696,2022
77,0.07271010387157696,2023
92,0.08687440982058546,2024
80,0.07554296506137866,2025
